Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
Sstr2	GeneProduct	ncbigene:54305	""	ensembl:ENSRNOG00000002793	ncbigene:54305		uniprot:P30680								
Il8ra	GeneProduct	ncbigene:54258	""	ensembl:ENSRNOG00000048239	ncbigene:54258		uniprot:P70612								
Npy2r	GeneProduct	ncbigene:66024	""	ensembl:ENSRNOG00000049213	ncbigene:66024										
Cxcr3	GeneProduct	ncbigene:84475	""												
Ccr5	GeneProduct	ncbigene:117029	""	ensembl:ENSRNOG00000049115	ncbigene:117029		uniprot:Q68G28								
Galr3	GeneProduct	ncbigene:29235	""												
Tacr1	GeneProduct	ncbigene:24807	""	ensembl:ENSRNOG00000005853	ncbigene:24807		uniprot:P14600								
Bdkrb2	GeneProduct	ncbigene:25245	""												
Fpr1	GeneProduct	ncbigene:292409	""	ensembl:ENSRNOG00000011174	ncbigene:292409		uniprot:D4A7Q2								
Agtr2	GeneProduct	ncbigene:24182	""	ensembl:ENSRNOG00000050006	ncbigene:24182		uniprot:P35351;uniprot:B1WBL8								
Nmbr	GeneProduct	ncbigene:25264	""	ensembl:ENSRNOG00000012103	ncbigene:25264		uniprot:P24053;uniprot:A0A096MJ45								
Avpr2	GeneProduct	ncbigene:25108	""	ensembl:ENSRNOG00000059862	ncbigene:25108		uniprot:Q00788								
TAC4	GeneProduct	ncbigene:282829	""	ensembl:ENSRNOG00000004404	ncbigene:282829		uniprot:Q8CH01								
Cxcr5	GeneProduct	ncbigene:29363	""												
Agtr1a	GeneProduct	ncbigene:24180	""	ensembl:ENSRNOG00000018346	ncbigene:24180		uniprot:P25095								
Sstr4	GeneProduct	ncbigene:25555	""	ensembl:ENSRNOG00000004641	ncbigene:25555		uniprot:P30937								
Bdkrb1	GeneProduct	ncbigene:81509	""												
NTSR2	GeneProduct	ncbigene:64636	"CAA71233 - human AA# "												
Cxcr4	GeneProduct	ncbigene:60628	""	ensembl:ENSRNOG00000003866	ncbigene:60628		uniprot:O08565								
Npy5r	GeneProduct	ncbigene:25340	""	ensembl:ENSRNOG00000014172	ncbigene:25340		uniprot:Q63634								
Ccr7	GeneProduct	ncbigene:287673	""	ensembl:ENSRNOG00000010665	ncbigene:287673		uniprot:A0A8I6A7I0;uniprot:Q6U2D6								
Fpr2	GeneProduct	ncbigene:690158	""	ensembl:ENSRNOG00000042605	ncbigene:690158		uniprot:A0A8I6AM80								
ATP8A1	GeneProduct	ncbigene:289615	""	ensembl:ENSRNOG00000034200	ncbigene:289615		uniprot:A0A8I5ZXX6;uniprot:A0A8I6AVY6;uniprot:A0A8I5ZKC1;uniprot:A0A8I6G2I8;uniprot:D3ZJK8;uniprot:F1LUT4								
Fpr3	GeneProduct	ncbigene:292413	""	ensembl:ENSRNOG00000031331	ncbigene:292413		uniprot:D4A8L8								
Oprm1	GeneProduct	ncbigene:25601	""	ensembl:ENSRNOG00000018191	ncbigene:25601		uniprot:A0A8L2R8W0;uniprot:A0A8L2R6Q6;uniprot:A0A8I5ZZ23;uniprot:A0A8I6ADZ9;uniprot:A0A8L2QEH9;uniprot:A0A8I6A3E3;uniprot:A0A8L2R051;uniprot:A0A8I5ZVK2								
Avpr1a	GeneProduct	ncbigene:25107	""												
GALR1	GeneProduct	ncbigene:50577	""	ensembl:ENSRNOG00000016654	ncbigene:50577		uniprot:Q62805								
Cckar	GeneProduct	ncbigene:24889	""	ensembl:ENSRNOG00000043124	ncbigene:24889		uniprot:F1LQR7								
Mc3r	GeneProduct	ncbigene:29310	""	ensembl:ENSRNOG00000004451	ncbigene:29310		uniprot:P32244								
Lhcgr	GeneProduct	ncbigene:25477	""	ensembl:ENSRNOG00000016712	ncbigene:25477		uniprot:A0A8I6GK42;uniprot:F1LMG6;uniprot:A0A8I6G8J2;uniprot:P16235								
Cckbr	GeneProduct	ncbigene:25706	""	ensembl:ENSRNOG00000017679	ncbigene:25706		uniprot:A0A0G2K3V3;uniprot:A0A8I5ZR98;uniprot:G3V8A8								
Ednra	GeneProduct	ncbigene:24326	""	ensembl:ENSRNOG00000012721	ncbigene:24326		uniprot:A0A0G2JSX5;uniprot:A1Y2R7;uniprot:A1Y2R9;uniprot:A1Y2R8;uniprot:A0A0G2K118								
Cx3cr1	GeneProduct	ncbigene:171056	""	ensembl:ENSRNOG00000018509	ncbigene:171056		uniprot:P35411								
Ghsr	GeneProduct	ncbigene:84022	""	ensembl:ENSRNOG00000024119	ncbigene:84022		uniprot:O08725								
Ccr8	GeneProduct	ncbigene:301066	""												
Sstr3	GeneProduct	ncbigene:171044	""												
Grpr	GeneProduct	ncbigene:24938	""	ensembl:ENSRNOG00000004124	ncbigene:24938		uniprot:P52500								
Ednrb	GeneProduct	ncbigene:50672	""	ensembl:ENSRNOG00000010997	ncbigene:50672		uniprot:P21451								
Mc4r	GeneProduct	ncbigene:25635	""	ensembl:ENSRNOG00000018692	ncbigene:25635		uniprot:P70596								
Fshr	GeneProduct	ncbigene:25449	""	ensembl:ENSRNOG00000016783	ncbigene:25449		uniprot:P20395								
Tshr	GeneProduct	ncbigene:25360	""	ensembl:ENSRNOG00000003972	ncbigene:25360		uniprot:G3V6J1;uniprot:A0A8I6GBW4								
Tacr3	GeneProduct	ncbigene:24808	""	ensembl:ENSRNOG00000009372	ncbigene:24808		uniprot:P16177								
