Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
Indolelactate	Metabolite	chebi:17282	"Indolelactate"					wikidata:Q22984456	chebi:17282	inchikey:XGILAAMKEQUXLS-UHFFFAOYSA-M	pubchem.compound:9548603	chemspider:7827526		kegg.compound:C02043	
C00877	Metabolite	chebi:15473	"Crotonoyl-CoA"					wikidata:Q303169	chebi:15473	inchikey:KFWWCMJSYSSPSK-PAXLJYGASA-N	pubchem.compound:5497143	chemspider:4593713	hmdb:HMDB0002009	kegg.compound:C00877	lipidmaps:LMFA07050307
4-(2-Amino-5-hydroxyphenyl)-2,4-dioxobutanoate	Metabolite	chemspider:389617	"4-(2-Amino-5-hydroxyphenyl)-2,4-dioxobutanoate"					wikidata:Q28000021		inchikey:MISPYSDHCLFNAO-UHFFFAOYSA-N	pubchem.compound:440746	chemspider:389617			
Indolepyruvate	Metabolite	pubchem.compound:803	"Indolepyruvate"					wikidata:Q23905803	chebi:29750	inchikey:RSTKLPZEZYGQPY-UHFFFAOYSA-N	pubchem.compound:803	chemspider:781	hmdb:HMDB0060484	kegg.compound:C00331	
Melatonin	Metabolite	chebi:16796	""					wikidata:Q180912	chebi:16796	inchikey:DRLFMBDRBRZALE-UHFFFAOYSA-N	pubchem.compound:896	chemspider:872	hmdb:HMDB0001389	kegg.compound:C01598	
Kynurenate	Metabolite	chebi:58454	"4-Hydroxy-2-quinolinecarboxylic"					wikidata:Q27104834	chebi:58454	inchikey:HCZHHEIFKROPDY-UHFFFAOYSA-M	pubchem.compound:6924655	chemspider:5299267			
C01144	Metabolite	chebi:15453	"(S)-3-Hydroxybutanoyl-CoA"					wikidata:Q27089442	chebi:15453	inchikey:QHHKKMYHDBRONY-VKBDFPRVSA-N	pubchem.compound:9543037	chemspider:7822010	hmdb:HMDB0303997	kegg.compound:C01144	lipidmaps:LMFA07050153
5-Hydroxykynurenamine	Metabolite	chebi:28715	"5-Hydroxykynurenamine"					wikidata:Q27103857	chebi:28715	inchikey:JANBBPTXDKFOQR-UHFFFAOYSA-N	pubchem.compound:164719	chemspider:144400	hmdb:HMDB0004076	kegg.compound:C05638	
4,6-Dihydroxyquinoline	Metabolite	chebi:28799	"4,6-Dihydroxyquinoline"					wikidata:Q27103902	chebi:28799	inchikey:XFALURCRIGINGT-UHFFFAOYSA-N	pubchem.compound:440738	chemspider:389609	hmdb:HMDB0004077	kegg.compound:C05639	
Quinolinate	Metabolite	chebi:29959	""					wikidata:Q27104094	chebi:29959	inchikey:GJAWHXHKYYXBSV-UHFFFAOYSA-L	pubchem.compound:5460301	chemspider:4573883			
N-Acetylindoxyl	Metabolite	chebi:15363	"N-Acetylindoxyl"					wikidata:Q27089400	chebi:15363	inchikey:NNJXIAOPPYUVAX-UHFFFAOYSA-N	pubchem.compound:439701	chemspider:388767		kegg.compound:C02298	
C00332	Metabolite	chebi:15345	"Acetoacetyl-CoA"					wikidata:Q2639429	chebi:15345	inchikey:OJFDKHTZOUZBOS-CITAKDKDSA-N	pubchem.compound:92153	chemspider:83198	hmdb:HMDB0001484	kegg.compound:C00332	lipidmaps:LMFA07050030
6-Hydroxykynurenate	Metabolite	pubchem.compound:440752	"6-Hydroxykynurenate"					wikidata:Q18207933	chebi:2195	inchikey:CQUUHDQRJWXDPY-UHFFFAOYSA-N	pubchem.compound:440752	chemspider:389622	hmdb:HMDB0033528	kegg.compound:C08480	
Formylkynurenine	Metabolite	chebi:18377	"Formylkynurenine"					wikidata:Q71982	chebi:18377	inchikey:BYHJHXPTQMMKCA-UHFFFAOYSA-N	pubchem.compound:25245041;pubchem.compound:910	chemspider:886	hmdb:HMDB0001200	kegg.compound:C02406	
Acetyl-CoA	Metabolite	chebi:15351	"Acetyl-CoA"					wikidata:Q715317	chebi:15351	inchikey:ZSLZBFCDCINBPY-ZSJPKINUSA-N	pubchem.compound:444493	chemspider:392413	hmdb:HMDB0001206	kegg.compound:C00024	lipidmaps:LMFA07050281
Indole	Metabolite	chebi:35581	""					wikidata:Q77894008	chebi:35581						
L-Kynurenine	Metabolite	chebi:16946	"L-Kynurenine"					wikidata:Q415768;wikidata:Q106345652	chebi:57959;chebi:16946	inchikey:YGPSJZOEDVAXAB-QMMMGPOBSA-N	pubchem.compound:6971029;pubchem.compound:161166	chemspider:141580	hmdb:HMDB0000684	kegg.compound:C00328	
5-Hydroxykynurenine	Metabolite	chebi:2076	""					wikidata:Q27105549	chebi:2076	inchikey:OTDQYOVYQQZAJL-UHFFFAOYSA-N	pubchem.compound:440745	chemspider:389616	hmdb:HMDB0012819	kegg.compound:C05651	
Tryptamine	Metabolite	chebi:16765	""					wikidata:Q409439	chebi:16765	inchikey:APJYDQYYACXCRM-UHFFFAOYSA-N	pubchem.compound:1150	chemspider:1118	hmdb:HMDB0000303	kegg.compound:C00398	
N-Acetylisatin	Metabolite	chebi:16050	"N-Acetylisatin"					wikidata:Q27098352	chebi:16050	inchikey:LPGDEHBASRKTDG-UHFFFAOYSA-N	pubchem.compound:11321	chemspider:10845		kegg.compound:C02172	
L-Tryptophan	Metabolite	chebi:16828	""					wikidata:Q106345470;wikidata:Q181003	chebi:57912;chebi:16828	inchikey:QIVBCDIJIAJPQS-VIFPVBQESA-N	pubchem.compound:6305;pubchem.compound:6923516	chemspider:6066	hmdb:HMDB0000929	kegg.compound:C00078	
Indole-3-acetamide	Metabolite	chebi:16031	"Indole-3-acetamide"					wikidata:Q27097844	chebi:16031	inchikey:ZOAMBXDOGPRZLP-UHFFFAOYSA-N	pubchem.compound:397	chemspider:386	hmdb:HMDB0029739	kegg.compound:C02693	
2-Aminophenol	Metabolite	chebi:18112	"2-Aminophenol"					wikidata:Q1089204	chebi:18112	inchikey:CDAWCLOXVUBKRW-UHFFFAOYSA-N	pubchem.compound:5801	chemspider:5596		kegg.compound:C01987	
Cyp4f1	GeneProduct	ncbigene:56266	""												
Dd5	GeneProduct	ncbigene:117060	""												
Ido1	GeneProduct	ncbigene:66029	""	ensembl:ENSRNOG00000031189	ncbigene:66029		uniprot:A0A8I5ZM07;uniprot:F1LMC9								
Cyp2e1	GeneProduct	ncbigene:25086	""	ensembl:ENSRNOG00000012458	ncbigene:25086		uniprot:A0A8I5ZS79;uniprot:A0A8I5ZXI6;uniprot:A0A8L2Q8J4;uniprot:A0A0G2K5X9								
Rnf25	GeneProduct	ncbigene:301515	""												
Gcdh	GeneProduct	ncbigene:364975	"predicted"	ensembl:ENSRNOG00000003307	ncbigene:364975		uniprot:A0A8I5ZUK9;uniprot:D3ZT90;uniprot:A0A8I5ZN89								
Aldh9a1	GeneProduct	ncbigene:64040	""	ensembl:ENSRNOG00000004027	ncbigene:64040		uniprot:A0A8I6AQJ5;uniprot:A0A8I6ASL3;uniprot:A0A0G2JSI1								
Prmt1	GeneProduct	ncbigene:60421	""	ensembl:ENSRNOG00000026109	ncbigene:60421		uniprot:A0A8I5Y864;uniprot:A0A8I6A3L2;uniprot:A0A8I6GM37;uniprot:A0A8I5ZYM2;uniprot:A0A8L2QUM0;uniprot:A0A8I6A3V3								
Aldh2	GeneProduct	ncbigene:29539	""	ensembl:ENSRNOG00000037815	ncbigene:304500;ncbigene:29539		uniprot:F1LN88;uniprot:M0R6F2;uniprot:A0A8I6AVL2;uniprot:A0A8I6AGW1;uniprot:A0A8I6AV92;uniprot:B5DEF6;uniprot:A0A8I6A4Z6								
Aldh1a2	GeneProduct	ncbigene:116676	""												
Cyp2d2	GeneProduct	ncbigene:25053	""												
Asmt	GeneProduct	ncbigene:246281	""	ensembl:ENSRNOG00000001324	ncbigene:246281		uniprot:B3GSH5;uniprot:A0A3G1CV13								
Cyp1a1	GeneProduct	ncbigene:24296	""	ensembl:ENSRNOG00000019500	ncbigene:24296		uniprot:P00185								
Mdm2	GeneProduct	ncbigene:314856	""												
Ogdh	GeneProduct	ncbigene:360975	""	ensembl:ENSRNOG00000005130	ncbigene:360975		uniprot:A0A8L2R156;uniprot:A0A8I6AF05;uniprot:A0A8I6A1Y1;uniprot:Q5XI78								
Maob	GeneProduct	ncbigene:25750	""												
