Gene stable ID	Rat gene stable ID
ENSG00000210049	
ENSG00000211459	
ENSG00000210077	
ENSG00000210082	
ENSG00000209082	
ENSG00000198888	ENSRNOG00000030644
ENSG00000210100	
ENSG00000210107	
ENSG00000210112	
ENSG00000198763	ENSRNOG00000031033
ENSG00000210117	
ENSG00000210127	
ENSG00000210135	
ENSG00000210140	
ENSG00000210144	
ENSG00000198804	ENSRNOG00000034234
ENSG00000210151	
ENSG00000210154	
ENSG00000198712	ENSRNOG00000030371
ENSG00000210156	
ENSG00000228253	ENSRNOG00000033299
ENSG00000198899	ENSRNOG00000031979
ENSG00000198938	ENSRNOG00000030700
ENSG00000210164	
ENSG00000198840	ENSRNOG00000033615
ENSG00000210174	
ENSG00000212907	ENSRNOG00000031053
ENSG00000198886	ENSRNOG00000029707
ENSG00000210176	
ENSG00000210184	
ENSG00000210191	
ENSG00000198786	ENSRNOG00000029971
ENSG00000198695	ENSRNOG00000029042
ENSG00000210194	
ENSG00000198727	ENSRNOG00000031766
ENSG00000210195	
ENSG00000210196	
ENSG00000278457	
ENSG00000280538	
ENSG00000278704	
ENSG00000271254	
ENSG00000275151	
ENSG00000278294	
ENSG00000281806	
ENSG00000279969	
ENSG00000274882	
ENSG00000281362	
ENSG00000280663	
ENSG00000277995	
ENSG00000277044	
ENSG00000277339	
ENSG00000280695	
ENSG00000276876	
ENSG00000274324	
ENSG00000274130	
ENSG00000278731	
ENSG00000277620	
ENSG00000274826	
ENSG00000262826	
ENSG00000277355	
ENSG00000275699	
ENSG00000273755	
ENSG00000275407	
ENSG00000276379	
ENSG00000277616	
ENSG00000275751	
ENSG00000278805	
ENSG00000275442	
ENSG00000277345	
ENSG00000276459	
ENSG00000277484	
ENSG00000276858	
ENSG00000276424	
ENSG00000274861	
ENSG00000278248	
ENSG00000274339	
ENSG00000280579	
ENSG00000276501	
ENSG00000273775	
ENSG00000276970	
ENSG00000275018	
ENSG00000280708	
ENSG00000277272	
ENSG00000281416	
ENSG00000275974	
ENSG00000277070	
ENSG00000276676	
ENSG00000280460	
ENSG00000274574	
ENSG00000273990	
ENSG00000277376	
ENSG00000273757	
ENSG00000276258	
ENSG00000275946	
ENSG00000274189	
ENSG00000273735	
ENSG00000276820	
ENSG00000276433	
ENSG00000278306	
ENSG00000276357	
