Gene stable ID	Chimpanzee gene stable ID
ENSG00000210049	
ENSG00000211459	
ENSG00000210077	
ENSG00000210082	
ENSG00000209082	
ENSG00000198888	ENSPTRG00000042641
ENSG00000210100	
ENSG00000210107	
ENSG00000210112	
ENSG00000198763	ENSPTRG00000042626
ENSG00000210117	
ENSG00000210127	ENSPTRG00000042642
ENSG00000210135	
ENSG00000210140	
ENSG00000210144	
ENSG00000198804	ENSPTRG00000042657
ENSG00000210151	
ENSG00000210154	
ENSG00000198712	ENSPTRG00000042660
ENSG00000210156	
ENSG00000228253	ENSPTRG00000042653
ENSG00000198899	ENSPTRG00000042650
ENSG00000198938	ENSPTRG00000042661
ENSG00000210164	
ENSG00000198840	ENSPTRG00000042628
ENSG00000210174	
ENSG00000212907	ENSPTRG00000042631
ENSG00000212907	ENSPTRG00000048065
ENSG00000212907	ENSPTRG00000048958
ENSG00000212907	ENSPTRG00000047423
ENSG00000198886	ENSPTRG00000042639
ENSG00000210176	
ENSG00000210184	
ENSG00000210191	
ENSG00000198786	ENSPTRG00000042651
ENSG00000198695	ENSPTRG00000042630
ENSG00000210194	ENSPTRG00000042625
ENSG00000198727	ENSPTRG00000042637
ENSG00000210195	
ENSG00000210196	
ENSG00000278457	ENSPTRG00000043820
ENSG00000278457	ENSPTRG00000044467
ENSG00000280538	
ENSG00000278704	
ENSG00000271254	ENSPTRG00000000232
ENSG00000275151	
ENSG00000278294	ENSPTRG00000046396
ENSG00000278294	ENSPTRG00000044126
ENSG00000281806	
ENSG00000279969	
ENSG00000274882	
ENSG00000281362	
ENSG00000280663	
ENSG00000277995	
ENSG00000277044	
ENSG00000277339	
ENSG00000280695	
ENSG00000276876	
ENSG00000274324	
ENSG00000274130	
ENSG00000278731	
ENSG00000277620	
ENSG00000274826	
ENSG00000262826	
ENSG00000277355	
ENSG00000275699	
ENSG00000273755	
ENSG00000275407	
ENSG00000276379	
ENSG00000277616	
ENSG00000275751	
ENSG00000278805	
ENSG00000275442	
ENSG00000277345	
ENSG00000276459	
ENSG00000277484	
ENSG00000276858	
ENSG00000276424	
ENSG00000274861	
ENSG00000278248	
ENSG00000274339	
ENSG00000280579	
ENSG00000276501	
ENSG00000273775	
ENSG00000276970	
ENSG00000275018	
ENSG00000280708	
ENSG00000277272	
ENSG00000281416	
