Label	Type	Identifier	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI	PubChem	ChemSpider	HMDB	KEGG	LipidMaps
Xenobiotics	Metabolite	chebi:35703	""					wikidata:Q409205	chebi:35703					kegg.compound:C06708	
Fatty Acids	Metabolite	chebi:35366	""					wikidata:Q61476	chebi:35366					kegg.compound:C00162	lipidmaps:LMFA01010000
Cholesterol	Metabolite	hmdb:HMDB0000067	""						chebi:16113	inchikey:HVYWMOMLDIMFJA-DPAQBDIFSA-N	pubchem.compound:5997		hmdb:HMDB0000067	kegg.compound:C00187	
7-Dehydrocholesterol	Metabolite	hmdb:HMDB0000032	""						chebi:17759	inchikey:UCTLRSWJYQTBFZ-DDPQNLDTSA-N	pubchem.compound:439423		hmdb:HMDB0000032	kegg.compound:C01164	
Calcitriol	Metabolite	hmdb:HMDB0001903	""						chebi:17823	inchikey:GMRQFYUYWCNGIN-NKMMMXOESA-N	pubchem.compound:5280453	chemspider:4444108	hmdb:HMDB0001903	kegg.compound:C01673	
Bile Acids	Metabolite	chebi:3098	""					wikidata:Q59191092	chebi:3098					kegg.compound:C01558	
Retinoic acid	Metabolite	hmdb:HMDB0001852	""						chebi:15367	inchikey:SHGAZHPCJJPHSC-YCNIQYBTSA-N	pubchem.compound:444795	chemspider:392618	hmdb:HMDB0001852	kegg.compound:C00777	
Lanosterol	Metabolite	hmdb:HMDB0001251	""						chebi:16521	inchikey:CAHGCLMLTWQZNJ-BQNIITSRSA-N	pubchem.compound:246983	chemspider:216175	hmdb:HMDB0001251	kegg.compound:C01724	
Isoprenoids	Metabolite	chebi:24913	""					wikidata:Q1674528	chebi:24913						lipidmaps:LMPR01
Abca1	GeneProduct	ncbigene:313210	""	ensembl:ENSRNOG00000018126	ncbigene:313210		uniprot:A0A8I5ZLK5;uniprot:A0A8I6ATT1;uniprot:F1LNL3								
Ppara	GeneProduct	ncbigene:25747	""												
ABCC2	GeneProduct	ncbigene:25303	""	ensembl:ENSRNOG00000046727	ncbigene:25303		uniprot:A0A8I6G7X8;uniprot:A0A8I6A8L8;uniprot:Q63120								
Pparg	GeneProduct	ncbigene:25664	""	ensembl:ENSRNOG00000008839	ncbigene:25664		uniprot:O88275								
Nr1i2	GeneProduct	ncbigene:84385	""	ensembl:ENSRNOG00000002906	ncbigene:84385		uniprot:Q9R1A7								
ABCB11	GeneProduct	ncbigene:83569	""	ensembl:ENSRNOG00000050860	ncbigene:83569		uniprot:A0A8I5ZYZ3;uniprot:O70127;uniprot:A0A2P1EA62;uniprot:M0R4J2								
Rara	GeneProduct	ncbigene:24705	""	ensembl:ENSRNOG00000009972	ncbigene:24705		uniprot:Q499N1;uniprot:A0A0G2JW78								
Cyp8b1	GeneProduct	ncbigene:81924	""	ensembl:ENSRNOG00000019481	ncbigene:81924		uniprot:G3V8J2								
Cyp1a2	GeneProduct	ncbigene:24297	""												
Abcg5	GeneProduct	ncbigene:114628	""	ensembl:ENSRNOG00000005250	ncbigene:114628		uniprot:A0A8I6AHT3;uniprot:Q99PE7								
Abcg1	GeneProduct	ncbigene:85264	""	ensembl:ENSRNOG00000001158	ncbigene:85264		uniprot:A0A0G2JXH0;uniprot:G3V642;uniprot:A0A0G2K987								
Cyp2c	GeneProduct	ncbigene:29277	""	ensembl:ENSRNOG00000052810	ncbigene:29277		uniprot:A0A0G2K879;uniprot:P08683								
Cyp26a1	GeneProduct	ncbigene:154985	""	ensembl:ENSRNOG00000016750	ncbigene:154985		uniprot:G3V861								
Nr1i3	GeneProduct	ncbigene:65035	""	ensembl:ENSRNOG00000003260	ncbigene:65035		uniprot:A0A8I6AVD8;uniprot:Q76FN2;uniprot:Q402C1;uniprot:Q9QUS1;uniprot:A0A8I6A462								
Vdr	GeneProduct	ncbigene:24873	""												
Abcc3	GeneProduct	ncbigene:140668	""	ensembl:ENSRNOG00000002948	ncbigene:140668		uniprot:F1LMJ7;uniprot:D3ZF64;uniprot:A0A0G2JU97								
Cyp2b2	GeneProduct	ncbigene:361523	""	ensembl:ENSRNOG00000062471	ncbigene:361523		uniprot:A0A8I6GGX5								
Cyp7a1	GeneProduct	ncbigene:25428	""	ensembl:ENSRNOG00000009488	ncbigene:25428		uniprot:P18125								
RARB	GeneProduct	ncbigene:24706	""	ensembl:ENSRNOG00000024061	ncbigene:24706		uniprot:A0A8I6A7Z0;uniprot:A0A8I6AIB6;uniprot:D3ZFD9								
CYP27B1	GeneProduct	ncbigene:114700	""												
Rarg	GeneProduct	ncbigene:685072	""												
Cyp4b1	GeneProduct	ncbigene:24307	""	ensembl:ENSRNOG00000055078	ncbigene:24307		uniprot:P15129								
Abcb4	GeneProduct	ncbigene:24891	""	ensembl:ENSRNOG00000068001	ncbigene:24891		uniprot:A0A8I6ATW0;uniprot:G3V9C8;uniprot:A0A8I6AMR4								
Cyp24a1	GeneProduct	ncbigene:25279	""	ensembl:ENSRNOG00000013062	ncbigene:25279		uniprot:Q09128;uniprot:A0A8I6A8M6								
Nr1h3	GeneProduct	ncbigene:58852	""	ensembl:ENSRNOG00000013172	ncbigene:58852		uniprot:Q5I035;uniprot:A0A8I6ACE5;uniprot:A0A8I6GGE2								
Abcb1a	GeneProduct	ncbigene:170913	""	ensembl:ENSRNOG00000008012	ncbigene:170913		uniprot:A0A8I6GMN6;uniprot:F7FKA8;uniprot:A0A8I5Y6F1;uniprot:Q9JK64;uniprot:A0A8I5ZY39								
Nr1h4	GeneProduct	ncbigene:60351	"Farnesoid X-activated receptor"												
Cyp2e1	GeneProduct	ncbigene:25086	""	ensembl:ENSRNOG00000012458	ncbigene:25086		uniprot:A0A8I5ZS79;uniprot:A0A8I5ZXI6;uniprot:A0A8L2Q8J4;uniprot:A0A0G2K5X9								
Abcd2	GeneProduct	ncbigene:84356	""												
Ppard	GeneProduct	ncbigene:25682	""	ensembl:ENSRNOG00000000503	ncbigene:25682		uniprot:A0A0G2JVK6;uniprot:Q99ND3								
Abcd3	GeneProduct	ncbigene:25270	""	ensembl:ENSRNOG00000011929	ncbigene:25270		uniprot:A0A8I5ZN14;uniprot:A0A8I6ANP9;uniprot:P16970;uniprot:A0A8I6A495								
Abcb1	GeneProduct	ncbigene:170913	""	ensembl:ENSRNOG00000008012	ncbigene:170913		uniprot:A0A8I6GMN6;uniprot:F7FKA8;uniprot:A0A8I5Y6F1;uniprot:Q9JK64;uniprot:A0A8I5ZY39								
