Pathway	Homology Score	Total genes	Mapped genes	Multi-mapped genes	No homology mapping genes	No mapping genes	No xref genes	mapped genes	multi-mapped genes	no homology mapping genes	no mapping genes	no xref genes
FOXA2 pathway (WP5066)	82.0	23	19	0	4	0	0	[a6507 : APOB : En:ENSGALG00000016491, a809b : FOXA2 : En:ENSGALG00000030889, ada54 : FASN : En:ENSGALG00000040896, afba4 : GSTA2 : En:ENSGALG00000016328, afc0c : ACACA : En:ENSGALG00000005439, b22e0 : IRS1 : En:ENSGALG00000004959, b45fc : ABCC4 : En:ENSGALG00000016896, c5c85 : MLXIPL : En:ENSGALG00000034960, cb143 : SLC27A5 : En:ENSGALG00000050737, d08a5 : SLCO1B3 : En:ENSGALG00000019277, d7dc6 : SREBF1 : En:ENSGALG00000027188, d94fb : FOXO1 : En:ENSGALG00000017034, e6298 : GSTA2 : En:ENSGALG00000016328, f01e6 : INS : En:ENSGALG00000006552, f73b3 : FOXA1 : En:ENSGALG00000032713, fc7cf : GSTA2 : En:ENSGALG00000016328, fcda0 : MTTP : En:ENSGALG00000035619, ce4ba : FOXA2 : En:ENSGALG00000030889, f7346 : INS : En:ENSGALG00000006552]	[]	[a4688 : IRS2 : En:ENSG00000185950, ab370 : PPARGC1B : En:ENSG00000155846, b4ce9 : ABCC3 : En:ENSG00000108846, b7e83 : ABCC2 : En:ENSG00000023839]	[]	[]
Peroxisomal beta-oxidation of tetracosanoyl-CoA (WP1941)	100.0	5	5	0	0	0	0	[a3450 : HSD17B4 : En:ENSGALG00000002187, b0960 : ACAA1 : En:ENSGALG00000005860, cf671 : SCP2 : En:ENSGALG00000010652, fe505 : ACOX1 : En:ENSGALG00000002159, cbed1 : HSD17B4 : En:ENSGALG00000002187]	[]	[]	[]	[]
Nephrogenesis (WP5052)	89.0	19	17	0	1	1	0	[null : OSR1 : En:ENSGALG00000016473, null : FGF20 : En:ENSGALG00000013663, null : GREB1L : En:ENSGALG00000014935, null : SIX2 : En:ENSGALG00000023303, null : BMP7 : En:ENSGALG00000007668, null : TCF21 : En:ENSGALG00000029024, null : MEIS1 : En:ENSGALG00000041626, null : ALDH1A2 : En:ENSGALG00000004270, null : RSPO1 : En:ENSGALG00000001946, null : FGF8 : En:ENSGALG00000007706, null : JAG1 : En:ENSGALG00000009020, null : PAX2 : En:ENSGALG00000005689, d88f8 : RSPO3 : En:ENSGALG00000042607, e44e9 : WNT9B : En:ENSGALG00000001097, e4683 : WNT4 : En:ENSGALG00000041708, fd9b7 : WNT3A : En:ENSGALG00000042657, d64ee : NOTCH2 : En:ENSGALG00000002922]	[]	[null : FOXD1 : En:ENSG00000251493]	[f2c27 : LHX1 : En:ENSG00000274577]	[]
Development of ureteric collection system (WP5053)	88.0	62	55	0	6	1	0	[null : CTNNB1 : En:ENSGALG00000037203, null : ILK : En:ENSGALG00000031642, null : GATA3 : En:ENSGALG00000029270, null : ETV4 : En:ENSGALG00000036678, null : FREM2 : En:ENSGALG00000033671, null : GRIP1 : En:ENSGALG00000009895, null : VANGL2 : En:ENSGALG00000030643, null : ROBO1 : En:ENSGALG00000015511, null : FAT4 : En:ENSGALG00000011823, null : LHX1 : En:ENSGALG00000005409, null : ITGB1 : En:ENSGALG00000007145, null : FGFR2 : En:ENSGALG00000009495, null : ROBO2 : En:ENSGALG00000015519, a38ea : GPC3 : En:ENSGALG00000006087, a77a4 : HOXD11 : En:ENSGALG00000039629, a7bcf : BMP5 : En:ENSGALG00000016293, a8496 : CCND1 : En:ENSGALG00000007555, ac5fa : WT1 : En:ENSGALG00000012115, aec12 : RARA : En:ENSGALG00000037935, b0c84 : SHH : En:ENSGALG00000006379, b0ec7 : RET : En:ENSGALG00000002555, b5da3 : BMP4 : En:ENSGALG00000012429, b72ab : GREB1L : En:ENSGALG00000014935, b8011 : RARG : En:ENSGALG00000033404, ba31f : PBX1 : En:ENSGALG00000003429, ba57f : GDF11 : En:ENSGALG00000036806, bb495 : FST : En:ENSGALG00000014908, bdad2 : MYCN : En:ENSGALG00000016462, c2092 : TGFB2 : En:ENSGALG00000009612, c32f2 : BMPER : En:ENSGALG00000029811, c5008 : CRIM1 : En:ENSGALG00000032640, c7db5 : ANOS1 : En:ENSGALG00000035266, ca8c3 : SIX1 : En:ENSGALG00000029401, cb7ca : ITGA8 : En:ENSGALG00000008747, cf735 : SALL1 : En:ENSGALG00000039238, dbdb3 : HNF1B : En:ENSGALG00000005504, dda7c : SPRY1 : En:ENSGALG00000042067, ddf68 : BMPR1A : En:ENSGALG00000002003, e02bc : SMAD1 : En:ENSGALG00000009977, e2c10 : BMP7 : En:ENSGALG00000007668, e3325 : EYA1 : En:ENSGALG00000043033, e5571 : RARB : En:ENSGALG00000011298, e79e4 : HOXA11 : En:ENSGALG00000040021, e8411 : SLIT2 : En:ENSGALG00000041121, eaf6e : WNT11 : En:ENSGALG00000000839, eb4a2 : GFRA1 : En:ENSGALG00000009173, f0fd7 : PAX2 : En:ENSGALG00000005689, f69bc : GDNF : En:ENSGALG00000003716, f7577 : BMP2 : En:ENSGALG00000029301, f8c2d : GLI1 : En:ENSGALG00000042422, faf20 : SMO : En:ENSGALG00000036114, fd4bd : BMPR2 : En:ENSGALG00000008459, fe2be : GLI3 : En:ENSGALG00000040266, e6ffa : FREM1 : En:ENSGALG00000005426, bfd18 : SIX2 : En:ENSGALG00000023303]	[]	[null : CELSR1 : En:ENSG00000075275, a718e : FOXC1 : En:ENSG00000054598, bc6e4 : CTDNEP1 : En:ENSG00000175826, cfa0d : FRAS1 : En:ENSG00000138759, null : FRAS1 : En:ENSG00000138759, ac9c1 : GLI2 : En:ENSG00000074047]	[dded6 : GREM1 : En:ENSG00000276886]	[]
Steroid biosynthesis (WP496)	91.0	37	34	0	1	2	0	[a47 : HSD17B4 : En:ENSGALG00000002187, a4d : HSD3B1 : En:ENSGALG00000050866, a55 : CPN1 : En:ENSGALG00000007090, a5f : HSD17B2 : En:ENSGALG00000005467, a9d : HSD3B1 : En:ENSGALG00000050866, ab1 : HSD3B1 : En:ENSGALG00000050866, b64 : HSD3B1 : En:ENSGALG00000050866, b6a : HSD3B1 : En:ENSGALG00000050866, b9d : F13B : En:ENSGALG00000002369, bce : HSD3B1 : En:ENSGALG00000050866, c11 : HSD3B1 : En:ENSGALG00000050866, c4f : HSD3B1 : En:ENSGALG00000050866, c68 : CYP17A1 : En:ENSGALG00000008121, c90 : HSD3B1 : En:ENSGALG00000050866, ceb : HSD3B1 : En:ENSGALG00000050866, d04 : CYP17A1 : En:ENSGALG00000008121, d0d : HSD3B1 : En:ENSGALG00000050866, d18 : HSD3B1 : En:ENSGALG00000050866, d1c : HSD3B1 : En:ENSGALG00000050866, d38 : HSD3B1 : En:ENSGALG00000050866, d86 : HSD3B1 : En:ENSGALG00000050866, dad : HSD3B1 : En:ENSGALG00000050866, dc0 : HSD17B3 : En:ENSGALG00000045920, dcb : HSD3B1 : En:ENSGALG00000050866, e0d : HSD3B1 : En:ENSGALG00000050866, e35 : HSD3B1 : En:ENSGALG00000050866, e4d : HSD3B1 : En:ENSGALG00000050866, e69 : HSD17B7 : En:ENSGALG00000037852, ef5 : HSD3B1 : En:ENSGALG00000050866, f07 : HSD3B1 : En:ENSGALG00000050866, f52 : HSD3B1 : En:ENSGALG00000050866, fb1 : HSD3B1 : En:ENSGALG00000050866, fb9 : HSD3B1 : En:ENSGALG00000050866, abc1b : CPN1 : En:ENSGALG00000007090]	[]	[d3c : HSD17B1 : L:3292]	[b50 : Hydroxyprogesterone aldolase : E:4.1.2.30, f69 : Hydroxyprogesterone aldolase : E:4.1.2.30]	[]
Glycolysis in senescence (WP5049)	83.0	12	10	0	2	0	0	[a4df1 : ENO1 : En:ENSGALG00000002377, ac914 : ALDOC : En:ENSGALG00000026077, b4b0b : RB1 : En:ENSGALG00000016997, bfd61 : HK1 : En:ENSGALG00000004222, c41bb : LDHA : En:ENSGALG00000006300, e5486 : PRKAA1 : En:ENSGALG00000014832, e823d : PGK2 : En:ENSGALG00000007936, e9884 : GAPDH : En:ENSGALG00000014442, f39fc : PKLR : En:ENSGALG00000001992, f8ac6 : PKLR : En:ENSGALG00000001992]	[]	[c3fc5 : G6PD : En:ENSG00000160211, e982a : TP53 : En:ENSG00000141510]	[]	[]
Mevalonate arm of cholesterol biosynthesis pathway (WP4190)	100.0	17	17	0	0	0	0	[bf9be : FDFT1 : En:ENSGALG00000016665, c0a0e : ACAT1 : En:ENSGALG00000017163, e0598 : HMGCL : En:ENSGALG00000004057, ed3ae : HMGCS1 : En:ENSGALG00000014862, f1c29 : IDI1 : En:ENSGALG00000006723, f537e : MVK : En:ENSGALG00000013848, f9d3e : FDPS : En:ENSGALG00000028880, bd1ff : PMVK : En:ENSGALG00000046656, ed464 : MVD : En:ENSGALG00000007267, cb5cc : GGPS1 : En:ENSGALG00000042853, c128e : IDI2 : En:ENSGALG00000006723, b1566 : GGPS1 : En:ENSGALG00000042853, e7795 : ACAT1 : En:ENSGALG00000017163, b37d5 : HMGCL : En:ENSGALG00000004057, a42f5 : ACAT2 : En:ENSGALG00000011659, d4d61 : HMGCS1 : En:ENSGALG00000014862, cc384 : HMGCR : En:ENSGALG00000014948]	[]	[]	[]	[]
Insulin signaling (WP481)	87.0	163	143	0	20	0	0	[a0e : PIK3CD : En:ENSGALG00000002583, a11 : PIK3C3 : En:ENSGALG00000035773, a12 : CYTH3 : En:ENSGALG00000007149, a14 : PTPRF : En:ENSGALG00000010053, a24 : RAC1 : En:ENSGALG00000007130, a2b : GSK3B : En:ENSGALG00000014977, a38 : GRB2 : En:ENSGALG00000008016, a41 : SHC3 : En:ENSGALG00000010688, a45 : IRS1 : En:ENSGALG00000004959, a4f : SLC2A1 : En:ENSGALG00000004889, abe : IKBKB : En:ENSGALG00000031832, ac2 : MAP4K4 : En:ENSGALG00000016781, ac6 : SOCS3 : En:ENSGALG00000027786, ad5 : PRKCH : En:ENSGALG00000011889, adf : KIF5B : En:ENSGALG00000007215, ae8b4 : IRS1 : En:ENSGALG00000004959, aea : EHD2 : En:ENSGALG00000036498, aef : ARF6 : En:ENSGALG00000026944, af4 : GYG1 : En:ENSGALG00000035535, af6 : AKT2 : En:ENSGALG00000054458, aff : SRF : En:ENSGALG00000032029, b07 : MAP3K2 : En:ENSGALG00000011502, b0e : RAB4A : En:ENSGALG00000036218, b10 : PRKCD : En:ENSGALG00000002016, b14 : AKT1 : En:ENSGALG00000011620, b15 : CAP1 : En:ENSGALG00000036294, b1c : RHEB : En:ENSGALG00000039880, b2b : PFKM : En:ENSGALG00000033271, b47 : STXBP1 : En:ENSGALG00000040003, b59 : PIK3R3 : En:ENSGALG00000010335, b5a : MAPK12 : En:ENSGALG00000019384, b62 : PIK3R1 : En:ENSGALG00000014786, b67 : MAP3K5 : En:ENSGALG00000013892, bac : PIK3C2G : En:ENSGALG00000013117, bad : PIK3R2 : En:ENSGALG00000003428, bae : MAPK10 : En:ENSGALG00000011109, bdd : MAP3K3 : En:ENSGALG00000000525, be2 : MAP4K1 : En:ENSGALG00000048646, bf9 : RPS6KA3 : En:ENSGALG00000016406, bfc : PTEN : En:ENSGALG00000003634, c06 : SHC1 : En:ENSGALG00000039775, c09 : CRK : En:ENSGALG00000002656, c17 : STXBP4 : En:ENSGALG00000003033, c19 : RPS6KA6 : En:ENSGALG00000007097, c27 : INSR : En:ENSGALG00000040758, c3e : XBP1 : En:ENSGALG00000005796, c41 : FOXO1 : En:ENSGALG00000017034, c46 : EIF4EBP1 : En:ENSGALG00000003205, c48 : TBC1D4 : En:ENSGALG00000016925, c4e : PRKCB : En:ENSGALG00000037943, c52 : MAP2K7 : En:ENSGALG00000049026, c54 : RPS6KB2 : En:ENSGALG00000031629, c61 : SOS1 : En:ENSGALG00000039450, c74 : RAC2 : En:ENSGALG00000012456, c75 : FOS : En:ENSGALG00000028037, c78 : PIK3CG : En:ENSGALG00000008081, c81 : RRAD : En:ENSGALG00000005140, c8b78 : PIK3CA : En:ENSGALG00000008934, c8c : IRS4 : En:ENSGALG00000008107, c8d : SGK3 : En:ENSGALG00000043570, ca1 : MAPK13 : En:ENSGALG00000030966, ca6 : GYS1 : En:ENSGALG00000046826, ca9 : TSC2 : En:ENSGALG00000005646, cb5 : PIK3CB : En:ENSGALG00000005505, ccf : MAP3K1 : En:ENSGALG00000014718, cd1 : MAP4K3 : En:ENSGALG00000039720, cd8 : ENPP1 : En:ENSGALG00000054059, cdb : MAP2K6 : En:ENSGALG00000004370, ce3 : SLC2A4 : En:ENSGALG00000049504, cee : MAP3K8 : En:ENSGALG00000007356, d06 : PFKL : En:ENSGALG00000006543, d0b : TSC1 : En:ENSGALG00000003500, d13 : MAP3K12 : En:ENSGALG00000033791, d16 : RPS6KA5 : En:ENSGALG00000030580, d20 : IGF1R : En:ENSGALG00000040651, d24 : PRKCZ : En:ENSGALG00000001270, d37 : SNAP25 : En:ENSGALG00000009003, d40 : MAP2K4 : En:ENSGALG00000032178, d43 : GRB14 : En:ENSGALG00000020703, d50 : RPS6KA1 : En:ENSGALG00000037136, d54 : MAPK7 : En:ENSGALG00000050166, d5c : RPS6KA2 : En:ENSGALG00000011473, d77 : MAPK14 : En:ENSGALG00000042833, d80 : RPS6KB1 : En:ENSGALG00000005198, d8e : RHOQ : En:ENSGALG00000010010, d94 : PRKAA2 : En:ENSGALG00000010826, da5 : SNAP23 : En:ENSGALG00000009097, db4 : PTPN1 : En:ENSGALG00000008010, dc9 : MAPK8 : En:ENSGALG00000006109, dcb : INPPL1 : En:ENSGALG00000004336, dd0 : CBLB : En:ENSGALG00000015351, def : MAP3K7 : En:ENSGALG00000015596, dfa : STXBP3 : En:ENSGALG00000002001, dfc : INPP4A : En:ENSGALG00000029709, e07 : SGK1 : En:ENSGALG00000013971, e09 : CBL : En:ENSGALG00000029077, e1c : PIK3R4 : En:ENSGALG00000040917, e20 : MAPK11 : En:ENSGALG00000040023, e29 : MAPK9 : En:ENSGALG00000039099, e35 : PTPN11 : En:ENSGALG00000004821, e3a : GYS2 : En:ENSGALG00000013265, e41 : JUN : En:ENSGALG00000010870, e43 : SOCS1 : En:ENSGALG00000007158, e50 : MAPK4 : En:ENSGALG00000031448, e5c : EIF4E : En:ENSGALG00000042112, e67 : FLOT2 : En:ENSGALG00000031216, e74 : MYO1C : En:ENSGALG00000002709, e7b : GAB1 : En:ENSGALG00000009898, e7c : RHOJ : En:ENSGALG00000011855, e8c : PRKCI : En:ENSGALG00000009364, e9e : PRKAA1 : En:ENSGALG00000014832, ea4 : SORBS1 : En:ENSGALG00000038722, ea7 : SOS2 : En:ENSGALG00000012273, eab : MAP3K13 : En:ENSGALG00000006655, eb6 : PPP1R3A : En:ENSGALG00000009435, ebd : RAF1 : En:ENSGALG00000004998, edb : ARF1 : En:ENSGALG00000005393, eeb : MTOR : En:ENSGALG00000003339, ef6 : PRKCA : En:ENSGALG00000025950, efb : LIPE : En:ENSGALG00000052399, f07 : MAP2K3 : En:ENSGALG00000041285, f16 : PDPK1 : En:ENSGALG00000006418, f20 : H-RAS : En:ENSGALG00000029260, f46 : RAPGEF1 : En:ENSGALG00000003712, f4f : FOXO3A : En:ENSGALG00000015297, f56 : MAP2K5 : En:ENSGALG00000007930, f5b : GRB10 : En:ENSGALG00000013100, f71 : EGR1 : En:ENSGALG00000007669, f8a : VAMP2 : En:ENSGALG00000030350, f9d : PIK3C2A : En:ENSGALG00000006121, f9f : MAPK3 : En:ENSGALG00000001501, fa3 : FLOT1 : En:ENSGALG00000040703, fa4 : PIK3CA : En:ENSGALG00000008934, fb0 : MAP2K1 : En:ENSGALG00000007687, fb3 : MAP3K6 : En:ENSGALG00000030706, fb6 : SGK2 : En:ENSGALG00000003537, fc5 : MAP3K4 : En:ENSGALG00000020003, fc6 : MAP3K9 : En:ENSGALG00000037326, fcb : KIF3A : En:ENSGALG00000006860, fe3 : MAP4K5 : En:ENSGALG00000012321, fec : MAP2K2 : En:ENSGALG00000001267, ff3 : MAPK8 : En:ENSGALG00000006109, ff9 : MAP3K14 : En:ENSGALG00000000685]	[]	[a02 : STXBP2 : L:6813, a2c5c : PTP : L:5967, a2e : MINK1 : L:50488, ab4 : RPS6KA4 : L:8986, b8a : IRS2 : L:8660, bf3 : MAPK3 : L:5595, c00 : ELK1 : L:2002, c11 : TRIB3 : L:57761, c98 : APS : L:10603, cc4 : EHD1 : L:10938, cdc : SNX26 : L:115703, d1b : STX4A : L:6810, d4c : PRKCQ : L:5588, d93 : MAP3K11 : L:4296, e5f : SHC2 : L:25759, e73 : CBLC : L:23624, e87 : GSK3A : L:2931, f09 : MAPK4 : L:5596, f15 : MAP4K2 : L:5871, f76 : MAP3K10 : L:4294]	[]	[]
Genes associated with the development of rheumatoid arthritis (WP5033)	94.0	18	17	0	1	0	0	[adeae : FCRL4 : En:ENSGALG00000010507, b0000 : PHF19 : En:ENSGALG00000001595, b4b09 : PTPN22 : En:ENSGALG00000021656, d27f6 : CIITA : En:ENSGALG00000049356, d5e18 : TRAF1 : En:ENSGALG00000001583, dde08 : SLC22A4 : En:ENSGALG00000035026, c000b : PADI1 : En:ENSGALG00000039572, ffeed : IL6ST : En:ENSGALG00000014716, f4dc3 : STAT4 : En:ENSGALG00000033087, a5fa7 : BLK : En:ENSGALG00000016661, fed69 : CD40 : En:ENSGALG00000007015, ced68 : CD244 : En:ENSGALG00000040002, ed5a9 : IRF5 : En:ENSGALG00000039982, a31a0 : CTLA4 : En:ENSGALG00000008666, b595c : CCR6 : En:ENSGALG00000011418, c04ff : IL2RA : En:ENSGALG00000042471, eb5d3 : ITGAV : En:ENSGALG00000002655]	[]	[f49c4 : HLA-DRB1 : En:ENSG00000196126]	[]	[]
Angiotensin II receptor type 1 pathway (WP5036)	90.0	52	47	0	5	0	0	[ed53c : TGFBR1 : En:ENSGALG00000033179, df890 : NOX4 : En:ENSGALG00000017235, dad2e : MAP2K6 : En:ENSGALG00000004370, d24b1 : MAPK3 : En:ENSGALG00000001501, dd410 : MAS1 : En:ENSGALG00000011622, dad69 : TGFBR2 : En:ENSGALG00000011442, e6d9d : GNB2L1 : En:ENSGALG00000000122, d813c : ACE2 : En:ENSGALG00000016554, df283 : RAF1 : En:ENSGALG00000004998, dc71a : AGT : En:ENSGALG00000011117, cec82 : PDGFD : En:ENSGALG00000017179, d1dca : IL11RA : En:ENSGALG00000005848, f37f0 : ACTA2 : En:ENSGALG00000006343, c24f3 : SP1 : En:ENSGALG00000035487, fbeee : AGTR1 : En:ENSGALG00000038512, e3c7b : SMAD3 : En:ENSGALG00000035701, b4ae4 : JUND : En:ENSGALG00000043641, c0f20 : IL11 : En:ENSGALG00000054976, ca432 : NOV : En:ENSGALG00000037402, e6d8d : HIF1A : En:ENSGALG00000011870, ec0eb : TGFB1 : En:ENSGALG00000031325, e0e98 : IL6ST : En:ENSGALG00000014716, d0d33 : PTPN11 : En:ENSGALG00000004821, d00e9 : COL1A1 : En:ENSGALG00000041555, ac84d : AGTR1 : En:ENSGALG00000038512, f77c2 : AGTR1 : En:ENSGALG00000038512, cb643 : COL1A2 : En:ENSGALG00000009641, bdb9f : TGFB1 : En:ENSGALG00000031325, f35d9 : IL11 : En:ENSGALG00000054976, bc58d : COL1A1 : En:ENSGALG00000041555, df16f : COL1A2 : En:ENSGALG00000009641, c230d : TGFB1 : En:ENSGALG00000031325, b9f88 : SMAD3 : En:ENSGALG00000035701, f2f2c : AGT : En:ENSGALG00000011117, b1441 : MAPK3 : En:ENSGALG00000001501, b3672 : NOX4 : En:ENSGALG00000017235, ea34b : COL1A1 : En:ENSGALG00000041555, ba4b8 : COL1A1 : En:ENSGALG00000041555, c7493 : RAF1 : En:ENSGALG00000004998, ecc80 : MAP2K6 : En:ENSGALG00000004370, eb35a : MAPK3 : En:ENSGALG00000001501, da0b8 : MAPK3 : En:ENSGALG00000001501, f76a3 : TGFB1 : En:ENSGALG00000031325, bbf8c : TGFBR1 : En:ENSGALG00000033179, d3c58 : TGFBR2 : En:ENSGALG00000011442, d6f81 : SMAD3 : En:ENSGALG00000035701, a8bf8 : SMAD3 : En:ENSGALG00000035701]	[]	[daf0d : Ras : En:ENSG00000126458, c35f5 : SMAD4 : En:ENSG00000141646, c0fa3 : F12 : En:ENSG00000131187, de4b6 : Ras : En:ENSG00000126458, eaeb7 : SMAD4 : En:ENSG00000141646]	[]	[]
