Pathway	Homology Score	Total genes	Mapped genes	Multi-mapped genes	No homology mapping genes	No mapping genes	No xref genes	mapped genes	multi-mapped genes	no homology mapping genes	no mapping genes	no xref genes
FOXA2 pathway (WP5066)	86.0	23	20	0	3	0	0	[a4688 : irs2b : En:ENSDARG00000075282, a6507 : apobb.1 : En:ENSDARG00000022767, a809b : foxa2 : En:ENSDARG00000003411, ab370 : ppargc1b : En:ENSDARG00000101569, ada54 : fasn : En:ENSDARG00000087657, afba4 : gstp2 : En:ENSDARG00000103019, afc0c : acaca : En:ENSDARG00000078512, b22e0 : irs1 : En:ENSDARG00000054087, b45fc : abcc4 : En:ENSDARG00000058953, c5c85 : mlxipl : En:ENSDARG00000104054, cb143 : zgc:158482 : En:ENSDARG00000067520, d7dc6 : srebf1 : En:ENSDARG00000067607, d94fb : foxo1b : En:ENSDARG00000061549, e6298 : gstp2 : En:ENSDARG00000103019, f01e6 : insb : En:ENSDARG00000034610, f73b3 : foxa1 : En:ENSDARG00000102138, fc7cf : gstp2 : En:ENSDARG00000103019, fcda0 : mttp : En:ENSDARG00000008637, ce4ba : foxa2 : En:ENSDARG00000003411, f7346 : insb : En:ENSDARG00000034610]	[]	[b4ce9 : ABCC3 : En:ENSG00000108846, b7e83 : ABCC2 : En:ENSG00000023839, d08a5 : SLCO1B1 : En:ENSG00000134538]	[]	[]
Peroxisomal beta-oxidation of tetracosanoyl-CoA (WP1941)	100.0	5	5	0	0	0	0	[a3450 : hsd17b4 : En:ENSDARG00000101239, b0960 : acaa1 : En:ENSDARG00000004687, cf671 : scp2b : En:ENSDARG00000102356, fe505 : acox1 : En:ENSDARG00000014727, cbed1 : hsd17b4 : En:ENSDARG00000101239]	[]	[]	[]	[]
Fatty acid transporters (WP5061)	83.0	84	70	0	2	12	0	[a56e9 : acsbg1 : En:ENSDARG00000062077, ac9f6 : LO018363.1 : En:ENSDARG00000099648, af31c : cd36 : En:ENSDARG00000032639, b56b5 : nmnat1-rbp7a : En:ENSDARG00000055893, b7197 : fabp1a : En:ENSDARG00000019357, b7a11 : nmnat1-rbp7a : En:ENSDARG00000055893, b9f7b : acsl4b : En:ENSDARG00000010752, ba802 : acsbg1 : En:ENSDARG00000062077, bf774 : fabp3 : En:ENSDARG00000023290, c3bda : acsl3b : En:ENSDARG00000014674, cb2f2 : slc27a4 : En:ENSDARG00000017047, cc0ab : fabp7b : En:ENSDARG00000034650, d96ea : dbi : En:ENSDARG00000026369, df8f4 : nmnat1-rbp7a : En:ENSDARG00000055893, e4723 : fabp3 : En:ENSDARG00000023290, e612f : fabp2 : En:ENSDARG00000006427, a4559 : cd36 : En:ENSDARG00000032639, e547c : cd36 : En:ENSDARG00000032639, ea80d : cd36 : En:ENSDARG00000032639, b4321 : cd36 : En:ENSDARG00000032639, cb4fb : cd36 : En:ENSDARG00000032639, e0011 : acsl3b : En:ENSDARG00000014674, b767f : acsl5 : En:ENSDARG00000075931, aa18d : LO018363.1 : En:ENSDARG00000099648, c2954 : LO018363.1 : En:ENSDARG00000099648, a0192 : slc27a4 : En:ENSDARG00000017047, f9b83 : acsl4b : En:ENSDARG00000010752, f9c53 : acsl5 : En:ENSDARG00000075931, f71d9 : slc27a4 : En:ENSDARG00000017047, dada0 : cd36 : En:ENSDARG00000032639, b5bbd : cd36 : En:ENSDARG00000032639, e91cb : slc27a4 : En:ENSDARG00000017047, c4c53 : acsbg1 : En:ENSDARG00000062077, f3190 : acsl3b : En:ENSDARG00000014674, c9ac7 : acsbg1 : En:ENSDARG00000062077, d5e1d : cd36 : En:ENSDARG00000032639, a2b62 : cd36 : En:ENSDARG00000032639, d1bc1 : acsbg2 : En:ENSDARG00000004094, b40e1 : nmnat1-rbp7a : En:ENSDARG00000055893, e3088 : fabp1a : En:ENSDARG00000019357, a50e0 : nmnat1-rbp7a : En:ENSDARG00000055893, fdeca : nmnat1-rbp7a : En:ENSDARG00000055893, e2ed8 : fabp6 : En:ENSDARG00000044566, d31ef : fabp3 : En:ENSDARG00000023290, daf1a : dbi : En:ENSDARG00000026369, c431c : dbi : En:ENSDARG00000026369, ffbf5 : dbi : En:ENSDARG00000026369, c8499 : dbi : En:ENSDARG00000026369, c57f6 : dbi : En:ENSDARG00000026369, a847e : dbi : En:ENSDARG00000026369, a821e : dbi : En:ENSDARG00000026369, dda55 : dbi : En:ENSDARG00000026369, a0128 : dbi : En:ENSDARG00000026369, b52c4 : fabp3 : En:ENSDARG00000023290, b0d67 : nmnat1-rbp7a : En:ENSDARG00000055893, db9b7 : nmnat1-rbp7a : En:ENSDARG00000055893, e4d86 : fabp1a : En:ENSDARG00000019357, edc99 : nmnat1-rbp7a : En:ENSDARG00000055893, c8210 : fabp6 : En:ENSDARG00000044566, e7481 : fabp2 : En:ENSDARG00000006427, e2e7a : nmnat1-rbp7a : En:ENSDARG00000055893, de1b4 : fabp3 : En:ENSDARG00000023290, c43e8 : fabp3 : En:ENSDARG00000023290, a6a4c : fabp7b : En:ENSDARG00000034650, ebd89 : nmnat1-rbp7a : En:ENSDARG00000055893, e4f2e : nmnat1-rbp7a : En:ENSDARG00000055893, aa94f : fabp3 : En:ENSDARG00000023290, bb55d : nmnat1-rbp7a : En:ENSDARG00000055893, dc1e1 : fabp3 : En:ENSDARG00000023290, d01cf : nmnat1-rbp7a : En:ENSDARG00000055893]	[]	[b2ce9 : ACSL6 : En:ENSG00000164398, f6d56 : ACSL6 : En:ENSG00000164398]	[aa530 : SLC27A6  : H:HGNC:11000, b2acf : SLC27A2  : H:HGNC:10996, edccd : SLC27A5 : H:HGNC:10999, efa1d : FABP1 : H:HGNC:3555, f96ad : SLC27A3  : H:HGNC:10997, a712d : SLC27A1  : H:HGNC:10995, b1615 : SLC27A1  : H:HGNC:10995, dc96b : SLC27A2  : H:HGNC:10996, a102e : SLC27A3  : H:HGNC:10997, ac6d0 : SLC27A3  : H:HGNC:10997, a6eed : SLC27A3  : H:HGNC:10997, a5e65 : SLC27A3  : H:HGNC:10997]	[]
Nephrogenesis (WP5052)	89.0	19	17	0	1	1	0	[null : osr1 : En:ENSDARG00000014091, null : fgf20b : En:ENSDARG00000086070, null : greb1l : En:ENSDARG00000039196, null : six2a : En:ENSDARG00000058004, null : bmp7a : En:ENSDARG00000018260, null : foxd2 : En:ENSDARG00000058133, null : tcf21 : En:ENSDARG00000036869, null : meis1b : En:ENSDARG00000012078, null : aldh1a2 : En:ENSDARG00000053493, null : rspo1 : En:ENSDARG00000104340, null : fgf8b : En:ENSDARG00000039615, null : pax2b : En:ENSDARG00000032578, d88f8 : rspo3 : En:ENSDARG00000070081, e44e9 : wnt9b : En:ENSDARG00000037889, e4683 : wnt4 : En:ENSDARG00000071208, fd9b7 : wnt3a : En:ENSDARG00000058822, d64ee : notch2 : En:ENSDARG00000043130]	[]	[null : JAG1 : En:ENSG00000101384]	[f2c27 : LHX1 : En:ENSG00000274577]	[]
Development of ureteric collection system (WP5053)	85.0	62	53	0	8	1	0	[null : ctnnb2 : En:ENSDARG00000023472, null : ilk : En:ENSDARG00000056964, null : gata3 : En:ENSDARG00000016526, null : etv4 : En:ENSDARG00000018303, null : frem2b : En:ENSDARG00000102626, null : grip1 : En:ENSDARG00000015053, null : vangl2 : En:ENSDARG00000027397, null : celsr1b : En:ENSDARG00000058259, null : robo2 : En:ENSDARG00000078366, null : FAT4 : En:ENSDARG00000105285, null : CABZ01058721.1 : En:ENSDARG00000109929, null : fgfr2 : En:ENSDARG00000058115, null : robo2 : En:ENSDARG00000014891, a38ea : gpc3 : En:ENSDARG00000032199, a718e : foxc1a : En:ENSDARG00000091481, a77a4 : hoxd11a : En:ENSDARG00000059267, a7bcf : bmp5 : En:ENSDARG00000101701, a8496 : ccnd1 : En:ENSDARG00000101637, ac5fa : wt1b : En:ENSDARG00000007990, b0c84 : shhb : En:ENSDARG00000038867, b0ec7 : ret : En:ENSDARG00000055305, b5da3 : bmp4 : En:ENSDARG00000019995, b72ab : greb1l : En:ENSDARG00000039196, b8011 : rargb : En:ENSDARG00000054003, bb495 : fsta : En:ENSDARG00000052846, bc6e4 : ctdnep1b : En:ENSDARG00000035781, bdad2 : mycn : En:ENSDARG00000006837, c2092 : tgfb2 : En:ENSDARG00000027087, c32f2 : bmper : En:ENSDARG00000101980, c5008 : crim1 : En:ENSDARG00000029668, c7db5 : anos1a : En:ENSDARG00000012896, ca8c3 : six1b : En:ENSDARG00000026473, cb7ca : itga8 : En:ENSDARG00000078717, cf735 : sall1a : En:ENSDARG00000074319, dbdb3 : hnf1bb : En:ENSDARG00000022295, dda7c : spry1 : En:ENSDARG00000103985, ddf68 : bmpr1ab : En:ENSDARG00000105045, e02bc : smad1 : En:ENSDARG00000027199, e2c10 : bmp7a : En:ENSDARG00000018260, e79e4 : hoxa11a : En:ENSDARG00000104162, e8411 : slit2 : En:ENSDARG00000004246, eaf6e : wnt11 : En:ENSDARG00000014796, eb4a2 : gfra1b : En:ENSDARG00000102564, f0fd7 : pax2b : En:ENSDARG00000032578, f69bc : gdnfb : En:ENSDARG00000103764, f7577 : bmp2b : En:ENSDARG00000041430, f8c2d : gli1 : En:ENSDARG00000101244, faf20 : smo : En:ENSDARG00000002952, fd4bd : bmpr2b : En:ENSDARG00000020057, fe2be : gli3 : En:ENSDARG00000052131, e6ffa : frem1a : En:ENSDARG00000069473, bfd18 : six2a : En:ENSDARG00000058004, ac9c1 : gli2b : En:ENSDARG00000020884]	[]	[null : LHX1 : En:ENSG00000273706, aec12 : RARA : En:ENSG00000131759, ba31f : PBX1 : En:ENSG00000185630, ba57f : GDF11 : En:ENSG00000135414, cfa0d : FRAS1 : En:ENSG00000138759, e3325 : EYA1 : En:ENSG00000104313, e5571 : RARB : En:ENSG00000077092, null : FRAS1 : En:ENSG00000138759]	[dded6 : GREM1 : En:ENSG00000276886]	[]
Steroid biosynthesis (WP496)	94.0	37	35	0	0	2	0	[a47 : hsd17b4 : En:ENSDARG00000101239, a4d : tdh2 : En:ENSDARG00000001463, a55 : cpn1 : En:ENSDARG00000005185, a5f : hsd17b2 : En:ENSDARG00000045553, a9d : tdh2 : En:ENSDARG00000001463, ab1 : tdh2 : En:ENSDARG00000001463, b64 : tdh2 : En:ENSDARG00000001463, b6a : tdh2 : En:ENSDARG00000001463, b9d : ntd5 : En:ENSDARG00000040944, bce : tdh2 : En:ENSDARG00000001463, c11 : tdh2 : En:ENSDARG00000001463, c4f : tdh2 : En:ENSDARG00000001463, c68 : cyp17a1 : En:ENSDARG00000033566, c90 : tdh2 : En:ENSDARG00000001463, ceb : tdh2 : En:ENSDARG00000001463, d04 : cyp17a1 : En:ENSDARG00000033566, d0d : tdh2 : En:ENSDARG00000001463, d18 : tdh2 : En:ENSDARG00000001463, d1c : tdh2 : En:ENSDARG00000001463, d38 : tdh2 : En:ENSDARG00000001463, d3c : hsd17b1 : En:ENSDARG00000027469, d86 : tdh2 : En:ENSDARG00000001463, dad : tdh2 : En:ENSDARG00000001463, dc0 : hsd17b3 : En:ENSDARG00000023287, dcb : tdh2 : En:ENSDARG00000001463, e0d : tdh2 : En:ENSDARG00000001463, e35 : tdh2 : En:ENSDARG00000001463, e4d : tdh2 : En:ENSDARG00000001463, e69 : hsd17b7 : En:ENSDARG00000088140, ef5 : tdh2 : En:ENSDARG00000001463, f07 : tdh2 : En:ENSDARG00000001463, f52 : tdh2 : En:ENSDARG00000001463, fb1 : tdh2 : En:ENSDARG00000001463, fb9 : tdh2 : En:ENSDARG00000001463, abc1b : cpn1 : En:ENSDARG00000005185]	[]	[]	[b50 : Hydroxyprogesterone aldolase : E:4.1.2.30, f69 : Hydroxyprogesterone aldolase : E:4.1.2.30]	[]
TCA cycle in senescence (WP5050)	90.0	11	10	0	0	0	1	[a057c : fh : En:ENSDARG00000075132, add2d : braf : En:ENSDARG00000017661, af18c : tp53 : En:ENSDARG00000035559, b5ee3 : mdh1aa : En:ENSDARG00000017772, d05a7 : pdha1a : En:ENSDARG00000012387, d8281 : me2 : En:ENSDARG00000100718, dab63 : got1 : En:ENSDARG00000039093, db38c : pdp2 : En:ENSDARG00000058571, dfc95 : pdk1 : En:ENSDARG00000013128, fa1a6 : CABZ01025780.1 : En:ENSDARG00000099419]	[]	[]	[]	[a56a4 : AMPK : :]
Immune response to tuberculosis (WP4197)	82.0	47	39	0	4	0	4	[a2d99 : irf9 : En:ENSDARG00000016457, ab622 : psmb8a : En:ENSDARG00000001303, bc85a : irf1b : En:ENSDARG00000043249, bdfa2 : socs1a : En:ENSDARG00000038095, bfa49 : stat1a : En:ENSDARG00000006266, bfeee : pias1a : En:ENSDARG00000036094, c001a : stat1a : En:ENSDARG00000006266, c292f : si:dkey-204f11.3 : En:ENSDARG00000092616, c3ca9 : irf9 : En:ENSDARG00000016457, c454d : psmb8a : En:ENSDARG00000001303, c8726 : il10ra : En:ENSDARG00000100383, c8cd1 : irf9 : En:ENSDARG00000016457, cec9e : ptpn2b : En:ENSDARG00000035986, d36c0 : tap1 : En:ENSDARG00000079766, d807b : ifi35 : En:ENSDARG00000075643, d9a96 : ifit12 : En:ENSDARG00000090977, df84d : si:dkey-204f11.3 : En:ENSDARG00000092616, e30c3 : ifi35 : En:ENSDARG00000075643, e7b35 : tyk2 : En:ENSDARG00000020326, eb10a : jak1 : En:ENSDARG00000020625, f6a13 : ifit12 : En:ENSDARG00000090977, ffea2 : stat1a : En:ENSDARG00000006266, dc499 : stat1a : En:ENSDARG00000006266, cfcee : stat1a : En:ENSDARG00000006266, e44a9 : stat1a : En:ENSDARG00000006266, f3711 : stat2 : En:ENSDARG00000031647, fbb52 : stat1a : En:ENSDARG00000006266, a4f96 : stat2 : En:ENSDARG00000031647, e9cd1 : jak2b : En:ENSDARG00000018882, e08b5 : ptpn2b : En:ENSDARG00000035986, f0122 : jak1 : En:ENSDARG00000020625, f61c4 : jak2b : En:ENSDARG00000018882, c6917 : jak1 : En:ENSDARG00000020625, d05a6 : stat1a : En:ENSDARG00000006266, ec48d : stat2 : En:ENSDARG00000031647, f9601 : ptpn2b : En:ENSDARG00000035986, a1e4e : il10ra : En:ENSDARG00000100383, e58c2 : il10rb : En:ENSDARG00000078042, b1123 : il10ra : En:ENSDARG00000100383]	[]	[aea67 : OAS1 : En:ENSG00000089127, b1b9d : MX1 : En:ENSG00000157601, d0510 : IFNGR2 : En:ENSG00000159128, bc367 : IFNGR2 : En:ENSG00000159128]	[]	[a87b3 : IFNG : :, bea1c : GIP2 : :, f6872 : GIP3 : :, daf8b : IFNa/IFNb : :]
Pentose phosphate pathway in senescent cells (WP5043)	84.0	13	11	0	0	0	2	[a65df : rpe : En:ENSDARG00000005251, ab70f : rpe : En:ENSDARG00000005251, ad486 : taldo1 : En:ENSDARG00000103369, b2c18 : tp53 : En:ENSDARG00000035559, b3776 : prps1b : En:ENSDARG00000037506, b5dc3 : g6pd : En:ENSDARG00000071065, b622d : tkta : En:ENSDARG00000029689, e801b : dera : En:ENSDARG00000005897, e9731 : tkta : En:ENSDARG00000029689, fccd6 : rpia : En:ENSDARG00000056640, fd3d1 : pgls : En:ENSDARG00000021233]	[]	[]	[]	[c13fd : 6-phosphogluconolactonate dehydrogenase : Br:, e8f08 : Phosphoglucomutase : :]
Glycolysis in senescence (WP5049)	100.0	12	12	0	0	0	0	[a4df1 : eno1a : En:ENSDARG00000022456, ac914 : aldoca : En:ENSDARG00000057661, b4b0b : rb1 : En:ENSDARG00000006782, bfd61 : hk1 : En:ENSDARG00000039452, c3fc5 : g6pd : En:ENSDARG00000071065, c41bb : ldha : En:ENSDARG00000101251, e5486 : prkaa1 : En:ENSDARG00000060596, e823d : pgk1 : En:ENSDARG00000054191, e982a : tp53 : En:ENSDARG00000035559, e9884 : gapdh : En:ENSDARG00000043457, f39fc : pkma : En:ENSDARG00000099730, f8ac6 : pkma : En:ENSDARG00000099730]	[]	[]	[]	[]
