Pathway	Homology Score	Total genes	Mapped genes	Multi-mapped genes	No homology mapping genes	No mapping genes	No xref genes	mapped genes	multi-mapped genes	no homology mapping genes	no mapping genes	no xref genes
FOXA2 pathway (WP5066)	86.0	23	20	0	3	0	0	[a4688 : IRS2 : En:ENSECAG00000003315, a6507 : APOB : En:ENSECAG00000008600, a809b : FOXA2 : En:ENSECAG00000032004, ab370 : PPARGC1B : En:ENSECAG00000019769, ada54 : FASN : En:ENSECAG00000019125, afc0c : ACACA : En:ENSECAG00000010631, b22e0 : IRS1 : En:ENSECAG00000007393, b45fc : ABCC4 : En:ENSECAG00000017168, b4ce9 : ABCC3 : En:ENSECAG00000001014, b7e83 : ABCC2 : En:ENSECAG00000019828, c5c85 : MLXIPL : En:ENSECAG00000021590, cb143 : ZBTB45 : En:ENSECAG00000010390, d08a5 : SLCO1B3 : En:ENSECAG00000013008, d7dc6 : SREBF1 : En:ENSECAG00000019802, d94fb : FOXO1 : En:ENSECAG00000002212, f01e6 : INS : En:ENSECAG00000024609, f73b3 : FOXA1 : En:ENSECAG00000027995, fcda0 : MTTP : En:ENSECAG00000023109, ce4ba : FOXA2 : En:ENSECAG00000032004, f7346 : INS : En:ENSECAG00000024609]	[]	[afba4 : GSTA1 : En:ENSG00000243955, e6298 : GSTA2 : En:ENSG00000244067, fc7cf : GSTM2 : En:ENSG00000213366]	[]	[]
FOXP3 in COVID-19 (WP5063)	87.0	31	27	0	2	1	1	[b9eee : CD86 : En:ENSECAG00000012128, c88f4 : IL6ST : En:ENSECAG00000019750, e9a97 : IL6R : En:ENSECAG00000024047, ec7ef : CD28 : En:ENSECAG00000022853, f8f22 : CD80 : En:ENSECAG00000002211, bc300 : IL2RB : En:ENSECAG00000016033, f6c0b : FOXP3 : En:ENSECAG00000022667, dbe46 : IL2RA : En:ENSECAG00000018057, c6ad9 : FOXP3 : En:ENSECAG00000022667, d8de6 : IL6 : En:ENSECAG00000016482, bd0f4 : STAT3 : En:ENSECAG00000016439, d3b3a : IL7R : En:ENSECAG00000036014, d06a6 : IL2RG : En:ENSECAG00000016543, a9782 : IL2 : En:ENSECAG00000015616, fde26 : STAT5A : En:ENSECAG00000012328, d91fa : IL2 : En:ENSECAG00000015616, c175f : IL7R : En:ENSECAG00000036014, b90e9 : IL2RB : En:ENSECAG00000016033, f2e9c : IL2RA : En:ENSECAG00000018057, dcf7b : IL2RG : En:ENSECAG00000016543, cfeb2 : FOXP3 : En:ENSECAG00000022667, b80c0 : FOXP3 : En:ENSECAG00000022667, a3a45 : STAT3 : En:ENSECAG00000016439, db807 : STAT5A : En:ENSECAG00000012328, e7817 : IL6ST : En:ENSECAG00000019750, fab48 : IL6R : En:ENSECAG00000024047, b47d5 : IL6 : En:ENSECAG00000016482]	[]	[b3743 : STAT5B : En:ENSG00000173757, b23df : STAT5B : En:ENSG00000173757]	[b9b92 : MHC-II beta : Pf:PF00969]	[beee1 : TCR : :]
7-oxo-C and 7-beta-HC pathways (WP5064)	89.0	58	52	0	1	4	1	[c8d02 : CYP7A1 : En:ENSECAG00000012946, ce628 : NPC1 : En:ENSECAG00000021651, d8acd : HSD11B1 : En:ENSECAG00000019243, f0dd5 : HSD11B2 : En:ENSECAG00000014152, f42e2 : CYP27A1 : En:ENSECAG00000019737, d93c2 : ZBTB45 : En:ENSECAG00000010390, f16e6 : SLC27A2 : En:ENSECAG00000024288, ede2e : SLC45A2 : En:ENSECAG00000024359, fce34 : ACOX2 : En:ENSECAG00000011932, ff780 : DBP : En:ENSECAG00000014275, b8436 : SCP2 : En:ENSECAG00000018459, f3434 : DBP : En:ENSECAG00000014275, cc0ca : BAAT : En:ENSECAG00000015421, b0361 : ACOT1 : En:ENSECAG00000033024, d36d4 : ACOT2 : En:ENSECAG00000033024, a650f : ACOT4 : En:ENSECAG00000009756, a3420 : ACOT6 : En:ENSECAG00000016290, b2f31 : ACOT7 : En:ENSECAG00000023564, ef3e5 : ACOT8 : En:ENSECAG00000021884, b4e8e : ACOT9 : En:ENSECAG00000019023, ea41e : ACOT11 : En:ENSECAG00000000113, ac1e6 : ACOT12 : En:ENSECAG00000021196, ef31c : ACOT13 : En:ENSECAG00000020263, ced7f : THEM5 : En:ENSECAG00000020807, c8de2 : EPHX2 : En:ENSECAG00000023444, b8193 : CYP27A1 : En:ENSECAG00000019737, cd48d : ZBTB45 : En:ENSECAG00000010390, d3a48 : SLC27A2 : En:ENSECAG00000024288, ff065 : SLC45A2 : En:ENSECAG00000024359, e6239 : ACOX2 : En:ENSECAG00000011932, ce14d : DBP : En:ENSECAG00000014275, f9fcc : SCP2 : En:ENSECAG00000018459, bb16c : DBP : En:ENSECAG00000014275, d16c6 : BAAT : En:ENSECAG00000015421, e0b6f : ACOT1 : En:ENSECAG00000033024, f8041 : ACOT2 : En:ENSECAG00000033024, ef2be : ACOT4 : En:ENSECAG00000009756, e4d80 : ACOT6 : En:ENSECAG00000016290, f2d97 : ACOT7 : En:ENSECAG00000023564, ff78a : ACOT8 : En:ENSECAG00000021884, b4b9f : ACOT9 : En:ENSECAG00000019023, e2bec : ACOT11 : En:ENSECAG00000000113, bfaec : ACOT12 : En:ENSECAG00000021196, d31d9 : ACOT13 : En:ENSECAG00000020263, ce523 : THEM5 : En:ENSECAG00000020807, e110d : HSD11B2 : En:ENSECAG00000014152, ef9e7 : HSD11B1 : En:ENSECAG00000019243, ef5ba : HSD11B2 : En:ENSECAG00000014152, a399e : HSD11B1 : En:ENSECAG00000019243, a3f32 : HSD11B2 : En:ENSECAG00000014152, de27d : DHCR7 : En:ENSECAG00000023341, ea650 : NPC2 : En:ENSECAG00000018345]	[]	[b0a29 : D8D7I : S:Q15125]	[be891 : ACOT : E:3.1.2.2, b0e4a : ACOT7L : S:Q6ZUV0, e51c1 : ACOT : E:3.1.2.2, ffc11 : ACOT7L : S:Q6ZUV0]	[c699f : 5alpha-specific DDA synthase : :]
Peroxisomal beta-oxidation of tetracosanoyl-CoA (WP1941)	100.0	5	5	0	0	0	0	[a3450 : HSD17B4 : En:ENSECAG00000017805, b0960 : ACAA1 : En:ENSECAG00000008613, cf671 : SCP2 : En:ENSECAG00000018459, fe505 : ACOX1 : En:ENSECAG00000022905, cbed1 : HSD17B4 : En:ENSECAG00000017805]	[]	[]	[]	[]
Fatty acid transporters (WP5061)	85.0	84	72	0	0	12	0	[a56e9 : ACSBG1 : En:ENSECAG00000008703, ac9f6 : ACSL1 : En:ENSECAG00000008679, af31c : CD36 : En:ENSECAG00000015229, b2ce9 : ACSL6 : En:ENSECAG00000010126, b56b5 : FABP4 : En:ENSECAG00000023645, b7197 : FABP1 : En:ENSECAG00000015990, b7a11 : FABP5 : En:ENSECAG00000008270, b9f7b : ACSL4 : En:ENSECAG00000016854, ba802 : ACSBG1 : En:ENSECAG00000008703, bf774 : FABP3 : En:ENSECAG00000024852, c3bda : ACSL3 : En:ENSECAG00000010765, cb2f2 : SLC27A4 : En:ENSECAG00000011716, cc0ab : FABP7 : En:ENSECAG00000022399, d96ea : DBI : En:ENSECAG00000018949, df8f4 : FABP9 : En:ENSECAG00000006384, e4723 : FABP3 : En:ENSECAG00000024852, e612f : FABP2 : En:ENSECAG00000016345, a4559 : CD36 : En:ENSECAG00000015229, e547c : CD36 : En:ENSECAG00000015229, ea80d : CD36 : En:ENSECAG00000015229, b4321 : CD36 : En:ENSECAG00000015229, cb4fb : CD36 : En:ENSECAG00000015229, e0011 : ACSL3 : En:ENSECAG00000010765, b767f : ACSL5 : En:ENSECAG00000022003, aa18d : ACSL1 : En:ENSECAG00000008679, c2954 : ACSL1 : En:ENSECAG00000008679, a0192 : SLC27A4 : En:ENSECAG00000011716, f9b83 : ACSL4 : En:ENSECAG00000016854, f9c53 : ACSL5 : En:ENSECAG00000022003, f71d9 : SLC27A4 : En:ENSECAG00000011716, dada0 : CD36 : En:ENSECAG00000015229, b5bbd : CD36 : En:ENSECAG00000015229, e91cb : SLC27A4 : En:ENSECAG00000011716, f6d56 : ACSL6 : En:ENSECAG00000010126, c4c53 : ACSBG1 : En:ENSECAG00000008703, f3190 : ACSL3 : En:ENSECAG00000010765, c9ac7 : ACSBG1 : En:ENSECAG00000008703, d5e1d : CD36 : En:ENSECAG00000015229, a2b62 : CD36 : En:ENSECAG00000015229, d1bc1 : ACSBG2 : En:ENSECAG00000017087, b40e1 : FABP5 : En:ENSECAG00000008270, e3088 : FABP1 : En:ENSECAG00000015990, a50e0 : FABP5 : En:ENSECAG00000008270, fdeca : FABP5 : En:ENSECAG00000008270, e2ed8 : FABP6 : En:ENSECAG00000022261, d31ef : FABP3 : En:ENSECAG00000024852, daf1a : DBI : En:ENSECAG00000018949, c431c : DBI : En:ENSECAG00000018949, ffbf5 : DBI : En:ENSECAG00000018949, c8499 : DBI : En:ENSECAG00000018949, c57f6 : DBI : En:ENSECAG00000018949, a847e : DBI : En:ENSECAG00000018949, a821e : DBI : En:ENSECAG00000018949, dda55 : DBI : En:ENSECAG00000018949, a0128 : DBI : En:ENSECAG00000018949, b52c4 : FABP3 : En:ENSECAG00000024852, b0d67 : FABP5 : En:ENSECAG00000008270, db9b7 : FABP5 : En:ENSECAG00000008270, e4d86 : FABP1 : En:ENSECAG00000015990, edc99 : FABP5 : En:ENSECAG00000008270, c8210 : FABP6 : En:ENSECAG00000022261, e7481 : FABP2 : En:ENSECAG00000016345, e2e7a : FABP5 : En:ENSECAG00000008270, de1b4 : FABP3 : En:ENSECAG00000024852, c43e8 : FABP3 : En:ENSECAG00000024852, a6a4c : FABP7 : En:ENSECAG00000022399, ebd89 : FABP9 : En:ENSECAG00000006384, e4f2e : FABP5 : En:ENSECAG00000008270, aa94f : FABP3 : En:ENSECAG00000024852, bb55d : FABP5 : En:ENSECAG00000008270, dc1e1 : FABP3 : En:ENSECAG00000024852, d01cf : FABP5 : En:ENSECAG00000008270]	[]	[]	[aa530 : SLC27A6  : H:HGNC:11000, b2acf : SLC27A2  : H:HGNC:10996, edccd : SLC27A5 : H:HGNC:10999, efa1d : FABP1 : H:HGNC:3555, f96ad : SLC27A3  : H:HGNC:10997, a712d : SLC27A1  : H:HGNC:10995, b1615 : SLC27A1  : H:HGNC:10995, dc96b : SLC27A2  : H:HGNC:10996, a102e : SLC27A3  : H:HGNC:10997, ac6d0 : SLC27A3  : H:HGNC:10997, a6eed : SLC27A3  : H:HGNC:10997, a5e65 : SLC27A3  : H:HGNC:10997]	[]
Nephrogenesis (WP5052)	89.0	19	17	0	1	1	0	[null : OSR1 : En:ENSECAG00000013593, null : FGF20 : En:ENSECAG00000035169, null : GREB1L : En:ENSECAG00000019278, null : SIX2 : En:ENSECAG00000017789, null : BMP7 : En:ENSECAG00000002918, null : TCF21 : En:ENSECAG00000019197, null : MEIS1 : En:ENSECAG00000009387, null : ALDH1A2 : En:ENSECAG00000014750, null : RSPO1 : En:ENSECAG00000022683, null : FGF8 : En:ENSECAG00000037372, null : JAG1 : En:ENSECAG00000012993, null : PAX2 : En:ENSECAG00000021123, d88f8 : RSPO3 : En:ENSECAG00000020203, e44e9 : WNT9B : En:ENSECAG00000011600, e4683 : WNT4 : En:ENSECAG00000018933, fd9b7 : WNT3A : En:ENSECAG00000028812, d64ee : NOTCH2 : En:ENSECAG00000015266]	[]	[null : FOXD1 : En:ENSG00000251493]	[f2c27 : LHX1 : En:ENSG00000274577]	[]
Development of ureteric collection system (WP5053)	98.0	62	61	0	0	1	0	[null : CTNNB1 : En:ENSECAG00000006949, null : ILK : En:ENSECAG00000007599, null : GATA3 : En:ENSECAG00000024574, null : ETV4 : En:ENSECAG00000015611, null : FREM2 : En:ENSECAG00000020410, null : GRIP1 : En:ENSECAG00000008246, null : VANGL2 : En:ENSECAG00000021594, null : CELSR1 : En:ENSECAG00000010573, null : ROBO1 : En:ENSECAG00000017671, null : FAT4 : En:ENSECAG00000013233, null : LHX1 : En:ENSECAG00000001597, null : ITGB1 : En:ENSECAG00000022498, null : FGFR2 : En:ENSECAG00000013960, null : ROBO2 : En:ENSECAG00000010762, a38ea : GPC3 : En:ENSECAG00000010025, a718e : FOXC1 : En:ENSECAG00000029381, a77a4 : HOXD11 : En:ENSECAG00000003045, a7bcf : BMP5 : En:ENSECAG00000007138, a8496 : CCND1 : En:ENSECAG00000038536, ac5fa : WT1 : En:ENSECAG00000022308, aec12 : RARA : En:ENSECAG00000023358, b0c84 : SHH : En:ENSECAG00000023075, b0ec7 : RET : En:ENSECAG00000001064, b5da3 : BMP4 : En:ENSECAG00000017676, b72ab : GREB1L : En:ENSECAG00000019278, b8011 : RARG : En:ENSECAG00000016596, ba31f : PBX1 : En:ENSECAG00000013058, ba57f : GDF11 : En:ENSECAG00000020505, bb495 : FST : En:ENSECAG00000017783, bc6e4 : CTDNEP1 : En:ENSECAG00000006787, bdad2 : MYCN : En:ENSECAG00000002896, c2092 : TGFB2 : En:ENSECAG00000041678, c32f2 : BMPER : En:ENSECAG00000008055, c5008 : CRIM1 : En:ENSECAG00000015608, c7db5 : ANOS1 : En:ENSECAG00000035101, ca8c3 : SIX1 : En:ENSECAG00000022919, cb7ca : ITGA8 : En:ENSECAG00000012863, cf735 : SALL1 : En:ENSECAG00000011334, cfa0d : FRAS1 : En:ENSECAG00000007044, dbdb3 : HNF1B : En:ENSECAG00000015854, dda7c : SPRY1 : En:ENSECAG00000013746, ddf68 : BMPR1A : En:ENSECAG00000020461, e02bc : SMAD1 : En:ENSECAG00000022649, e2c10 : BMP7 : En:ENSECAG00000002918, e3325 : EYA1 : En:ENSECAG00000008636, e5571 : RARB : En:ENSECAG00000016976, e79e4 : HOXA11 : En:ENSECAG00000013229, e8411 : SLIT2 : En:ENSECAG00000022407, eaf6e : WNT11 : En:ENSECAG00000022188, eb4a2 : GFRA1 : En:ENSECAG00000006846, f0fd7 : PAX2 : En:ENSECAG00000021123, f69bc : GDNF : En:ENSECAG00000037655, f7577 : BMP2 : En:ENSECAG00000021201, f8c2d : GLI1 : En:ENSECAG00000011246, faf20 : SMO : En:ENSECAG00000004904, fd4bd : BMPR2 : En:ENSECAG00000025141, fe2be : GLI3 : En:ENSECAG00000009281, null : FRAS1 : En:ENSECAG00000007044, e6ffa : FREM1 : En:ENSECAG00000015567, bfd18 : SIX2 : En:ENSECAG00000017789, ac9c1 : GLI2 : En:ENSECAG00000008016]	[]	[]	[dded6 : GREM1 : En:ENSG00000276886]	[]
Steroid biosynthesis (WP496)	94.0	37	35	0	0	2	0	[a47 : HSD17B4 : En:ENSECAG00000017805, a4d : UXS1 : En:ENSECAG00000015049, a55 : CPN1 : En:ENSECAG00000024087, a5f : HSD17B2 : En:ENSECAG00000012114, a9d : UXS1 : En:ENSECAG00000015049, ab1 : UXS1 : En:ENSECAG00000015049, b64 : UXS1 : En:ENSECAG00000015049, b6a : UXS1 : En:ENSECAG00000015049, b9d : F13B : En:ENSECAG00000000283, bce : UXS1 : En:ENSECAG00000015049, c11 : UXS1 : En:ENSECAG00000015049, c4f : UXS1 : En:ENSECAG00000015049, c68 : CYP17A1 : En:ENSECAG00000010022, c90 : UXS1 : En:ENSECAG00000015049, ceb : UXS1 : En:ENSECAG00000015049, d04 : CYP17A1 : En:ENSECAG00000010022, d0d : UXS1 : En:ENSECAG00000015049, d18 : UXS1 : En:ENSECAG00000015049, d1c : UXS1 : En:ENSECAG00000015049, d38 : UXS1 : En:ENSECAG00000015049, d3c : HSD17B1 : En:ENSECAG00000011423, d86 : UXS1 : En:ENSECAG00000015049, dad : UXS1 : En:ENSECAG00000015049, dc0 : HSD17B3 : En:ENSECAG00000002868, dcb : UXS1 : En:ENSECAG00000015049, e0d : UXS1 : En:ENSECAG00000015049, e35 : UXS1 : En:ENSECAG00000015049, e4d : UXS1 : En:ENSECAG00000015049, e69 : HSD17B7 : En:ENSECAG00000024992, ef5 : UXS1 : En:ENSECAG00000015049, f07 : UXS1 : En:ENSECAG00000015049, f52 : UXS1 : En:ENSECAG00000015049, fb1 : UXS1 : En:ENSECAG00000015049, fb9 : UXS1 : En:ENSECAG00000015049, abc1b : CPN1 : En:ENSECAG00000024087]	[]	[]	[b50 : Hydroxyprogesterone aldolase : E:4.1.2.30, f69 : Hydroxyprogesterone aldolase : E:4.1.2.30]	[]
TCA cycle in senescence (WP5050)	90.0	11	10	0	0	0	1	[a057c : FH : En:ENSECAG00000020726, add2d : BRAF : En:ENSECAG00000002746, af18c : TP53 : En:ENSECAG00000008126, b5ee3 : MDH1 : En:ENSECAG00000010849, d05a7 : PDHA1 : En:ENSECAG00000001964, d8281 : ME2 : En:ENSECAG00000005517, dab63 : GOT1 : En:ENSECAG00000000095, db38c : PDP2 : En:ENSECAG00000006359, dfc95 : PDK1 : En:ENSECAG00000006213, fa1a6 : ME1 : En:ENSECAG00000024482]	[]	[]	[]	[a56a4 : AMPK : :]
Immune response to tuberculosis (WP4197)	91.0	47	43	0	0	0	4	[a2d99 : IRF9 : En:ENSECAG00000024429, ab622 : PSMB8 : En:ENSECAG00000018887, aea67 : OAS1 : En:ENSECAG00000013435, b1b9d : MX1 : En:ENSECAG00000011776, bc85a : IRF1 : En:ENSECAG00000017794, bdfa2 : SOCS1 : En:ENSECAG00000026965, bfa49 : STAT1 : En:ENSECAG00000009039, bfeee : PIAS1 : En:ENSECAG00000007993, c001a : STAT1 : En:ENSECAG00000009039, c292f : IFITM1 : En:ENSECAG00000024557, c3ca9 : IRF9 : En:ENSECAG00000024429, c454d : PSMB8 : En:ENSECAG00000018887, c8726 : IFNGR1 : En:ENSECAG00000009347, c8cd1 : IRF9 : En:ENSECAG00000024429, cec9e : PTPN2 : En:ENSECAG00000000624, d36c0 : TAP1 : En:ENSECAG00000022610, d807b : IFI35 : En:ENSECAG00000001598, d9a96 : IFIT1 : En:ENSECAG00000033029, df84d : IFITM1 : En:ENSECAG00000024557, e30c3 : IFI35 : En:ENSECAG00000001598, e7b35 : TYK2 : En:ENSECAG00000020260, eb10a : JAK1 : En:ENSECAG00000018673, f6a13 : IFIT3 : En:ENSECAG00000010153, ffea2 : STAT1 : En:ENSECAG00000009039, dc499 : STAT1 : En:ENSECAG00000009039, cfcee : STAT1 : En:ENSECAG00000009039, e44a9 : STAT1 : En:ENSECAG00000009039, f3711 : STAT2 : En:ENSECAG00000040275, fbb52 : STAT1 : En:ENSECAG00000009039, a4f96 : STAT2 : En:ENSECAG00000040275, e9cd1 : JAK2 : En:ENSECAG00000009119, e08b5 : PTPN2 : En:ENSECAG00000000624, f0122 : JAK1 : En:ENSECAG00000018673, f61c4 : JAK2 : En:ENSECAG00000009119, c6917 : JAK1 : En:ENSECAG00000018673, d05a6 : STAT1 : En:ENSECAG00000009039, ec48d : STAT2 : En:ENSECAG00000040275, f9601 : PTPN2 : En:ENSECAG00000000624, d0510 : IFNGR2 : En:ENSECAG00000014660, a1e4e : IFNGR1 : En:ENSECAG00000009347, bc367 : IFNGR2 : En:ENSECAG00000014660, e58c2 : IFNAR1 : En:ENSECAG00000010260, b1123 : IFNAR2 : En:ENSECAG00000003532]	[]	[]	[]	[a87b3 : IFNG : :, bea1c : GIP2 : :, f6872 : GIP3 : :, daf8b : IFNa/IFNb : :]
