Pathway	Homology Score	Total genes	Mapped genes	Multi-mapped genes	No homology mapping genes	No mapping genes	No xref genes	mapped genes	multi-mapped genes	no homology mapping genes	no mapping genes	no xref genes
FOXA2 pathway (WP5066)	91.0	23	21	0	2	0	0	[a4688 : IRS2 : En:ENSPTRG00000006030, a6507 : APOB : En:ENSPTRG00000011699, a809b : FOXA2 : En:ENSPTRG00000048023, ab370 : PPARGC1B : En:ENSPTRG00000017403, ada54 : FASN : En:ENSPTRG00000009791, afba4 : GSTA1 : En:ENSPTRG00000018280, afc0c : ACACA : En:ENSPTRG00000009052, b22e0 : IRS1 : En:ENSPTRG00000012989, b45fc : ABCC4 : En:ENSPTRG00000005971, b4ce9 : ABCC3 : En:ENSPTRG00000009406, b7e83 : ABCC2 : En:ENSPTRG00000049872, c5c85 : MLXIPL : En:ENSPTRG00000019274, cb143 : SLC27A5 : En:ENSPTRG00000011596, d08a5 : SLCO1B1 : En:ENSPTRG00000004754, d7dc6 : SREBF1 : En:ENSPTRG00000052349, d94fb : FOXO1 : En:ENSPTRG00000005806, e6298 : GSTA2 : En:ENSPTRG00000032454, f73b3 : FOXA1 : En:ENSPTRG00000006285, fc7cf : GSTM2 : En:ENSPTRG00000050199, fcda0 : MTTP : En:ENSPTRG00000023619, ce4ba : FOXA2 : En:ENSPTRG00000048023]	[]	[f01e6 : Insulin : S:A6XGL2, f7346 : Insulin : S:A6XGL2]	[]	[]
FOXP3 in COVID-19 (WP5063)	93.0	31	29	0	0	1	1	[b9eee : CD86 : En:ENSPTRG00000015288, c88f4 : IL6ST : En:ENSPTRG00000016887, e9a97 : IL6R : En:ENSPTRG00000001383, ec7ef : CD28 : En:ENSPTRG00000012833, f8f22 : CD80 : En:ENSPTRG00000015256, bc300 : IL2RB : En:ENSPTRG00000014328, f6c0b : FOXP3 : En:ENSPTRG00000021890, dbe46 : IL2RA : En:ENSPTRG00000002263, c6ad9 : FOXP3 : En:ENSPTRG00000021890, d8de6 : IL6 : En:ENSPTRG00000050502, bd0f4 : STAT3 : En:ENSPTRG00000009200, d3b3a : IL7R : En:ENSPTRG00000016790, d06a6 : IL2RG : En:ENSPTRG00000022005, a9782 : IL2 : En:ENSPTRG00000016418, fde26 : STAT5A : En:ENSPTRG00000009199, b3743 : STAT5B : En:ENSPTRG00000009198, d91fa : IL2 : En:ENSPTRG00000016418, c175f : IL7R : En:ENSPTRG00000016790, b90e9 : IL2RB : En:ENSPTRG00000014328, f2e9c : IL2RA : En:ENSPTRG00000002263, dcf7b : IL2RG : En:ENSPTRG00000022005, cfeb2 : FOXP3 : En:ENSPTRG00000021890, b80c0 : FOXP3 : En:ENSPTRG00000021890, a3a45 : STAT3 : En:ENSPTRG00000009200, db807 : STAT5A : En:ENSPTRG00000009199, b23df : STAT5B : En:ENSPTRG00000009198, e7817 : IL6ST : En:ENSPTRG00000016887, fab48 : IL6R : En:ENSPTRG00000001383, b47d5 : IL6 : En:ENSPTRG00000050502]	[]	[]	[b9b92 : MHC-II beta : Pf:PF00969]	[beee1 : TCR : :]
7-oxo-C and 7-beta-HC pathways (WP5064)	91.0	58	53	0	0	4	1	[c8d02 : CYP7A1 : En:ENSPTRG00000020275, ce628 : NPC1 : En:ENSPTRG00000009920, d8acd : HSD11B1 : En:ENSPTRG00000001938, f0dd5 : HSD11B2 : En:ENSPTRG00000008230, f42e2 : CYP27A1 : En:ENSPTRG00000012928, d93c2 : SLC27A5 : En:ENSPTRG00000011596, f16e6 : SLC27A2 : En:ENSPTRG00000007062, ede2e : AMACR : En:ENSPTRG00000016779, fce34 : ACOX2 : En:ENSPTRG00000015061, ff780 : DBP : En:ENSPTRG00000011247, b8436 : SCP2 : En:ENSPTRG00000000748, f3434 : DBP : En:ENSPTRG00000011247, cc0ca : BAAT : En:ENSPTRG00000045684, b0361 : ACOT1 : En:ENSPTRG00000006516, d36d4 : ACOT2 : En:ENSPTRG00000006516, a650f : ACOT4 : En:ENSPTRG00000006518, a3420 : ACOT6 : En:ENSPTRG00000030702, b2f31 : ACOT7 : En:ENSPTRG00000000084, ef3e5 : ACOT8 : En:ENSPTRG00000013567, b4e8e : ACOT9 : En:ENSPTRG00000021740, ea41e : ACOT11 : En:ENSPTRG00000000771, ac1e6 : ACOT12 : En:ENSPTRG00000017048, ef31c : ACOT13 : En:ENSPTRG00000044962, ced7f : THEM5 : En:ENSPTRG00000001300, c8de2 : EPHX2 : En:ENSPTRG00000020106, b8193 : CYP27A1 : En:ENSPTRG00000012928, cd48d : SLC27A5 : En:ENSPTRG00000011596, d3a48 : SLC27A2 : En:ENSPTRG00000007062, ff065 : AMACR : En:ENSPTRG00000016779, e6239 : ACOX2 : En:ENSPTRG00000015061, ce14d : DBP : En:ENSPTRG00000011247, f9fcc : SCP2 : En:ENSPTRG00000000748, bb16c : DBP : En:ENSPTRG00000011247, d16c6 : BAAT : En:ENSPTRG00000045684, e0b6f : ACOT1 : En:ENSPTRG00000006516, f8041 : ACOT2 : En:ENSPTRG00000006516, ef2be : ACOT4 : En:ENSPTRG00000006518, e4d80 : ACOT6 : En:ENSPTRG00000030702, f2d97 : ACOT7 : En:ENSPTRG00000000084, ff78a : ACOT8 : En:ENSPTRG00000013567, b4b9f : ACOT9 : En:ENSPTRG00000021740, e2bec : ACOT11 : En:ENSPTRG00000000771, bfaec : ACOT12 : En:ENSPTRG00000017048, d31d9 : ACOT13 : En:ENSPTRG00000044962, ce523 : THEM5 : En:ENSPTRG00000001300, e110d : HSD11B2 : En:ENSPTRG00000008230, ef9e7 : HSD11B1 : En:ENSPTRG00000001938, ef5ba : HSD11B2 : En:ENSPTRG00000008230, a399e : HSD11B1 : En:ENSPTRG00000001938, a3f32 : HSD11B2 : En:ENSPTRG00000008230, de27d : DHCR7 : En:ENSPTRG00000004013, b0a29 : EBP : En:ENSPTRG00000044865, ea650 : NPC2 : En:ENSPTRG00000006535]	[]	[]	[be891 : ACOT : E:3.1.2.2, b0e4a : ACOT7L : S:Q6ZUV0, e51c1 : ACOT : E:3.1.2.2, ffc11 : ACOT7L : S:Q6ZUV0]	[c699f : 5alpha-specific DDA synthase : :]
Peroxisomal beta-oxidation of tetracosanoyl-CoA (WP1941)	100.0	5	5	0	0	0	0	[a3450 : HSD17B4 : En:ENSPTRG00000017168, b0960 : ACAA1 : En:ENSPTRG00000014753, cf671 : SCP2 : En:ENSPTRG00000000748, fe505 : ACOX1 : En:ENSPTRG00000009665, cbed1 : HSD17B4 : En:ENSPTRG00000017168]	[]	[]	[]	[]
Fatty acid transporters (WP5061)	83.0	84	70	0	2	12	0	[a56e9 : ACSBG1 : En:ENSPTRG00000007337, ac9f6 : ACSL1 : En:ENSPTRG00000016644, af31c : CD36 : En:ENSPTRG00000019346, b56b5 : FABP4 : En:ENSPTRG00000020375, b7197 : FABP1 : En:ENSPTRG00000012169, b7a11 : FABP5 : En:ENSPTRG00000020373, b9f7b : ACSL4 : En:ENSPTRG00000022178, ba802 : ACSBG1 : En:ENSPTRG00000007337, bf774 : FABP3 : En:ENSPTRG00000000457, c3bda : ACSL3 : En:ENSPTRG00000012976, cb2f2 : SLC27A4 : En:ENSPTRG00000021425, cc0ab : FABP7 : En:ENSPTRG00000018564, d96ea : DBI : En:ENSPTRG00000012401, df8f4 : FABP9 : En:ENSPTRG00000030980, e4723 : FABP3 : En:ENSPTRG00000000457, e612f : FABP2 : En:ENSPTRG00000016399, a4559 : CD36 : En:ENSPTRG00000019346, e547c : CD36 : En:ENSPTRG00000019346, ea80d : CD36 : En:ENSPTRG00000019346, b4321 : CD36 : En:ENSPTRG00000019346, cb4fb : CD36 : En:ENSPTRG00000019346, e0011 : ACSL3 : En:ENSPTRG00000012976, b767f : ACSL5 : En:ENSPTRG00000002946, aa18d : ACSL1 : En:ENSPTRG00000016644, c2954 : ACSL1 : En:ENSPTRG00000016644, a0192 : SLC27A4 : En:ENSPTRG00000021425, f9b83 : ACSL4 : En:ENSPTRG00000022178, f9c53 : ACSL5 : En:ENSPTRG00000002946, f71d9 : SLC27A4 : En:ENSPTRG00000021425, dada0 : CD36 : En:ENSPTRG00000019346, b5bbd : CD36 : En:ENSPTRG00000019346, e91cb : SLC27A4 : En:ENSPTRG00000021425, c4c53 : ACSBG1 : En:ENSPTRG00000007337, f3190 : ACSL3 : En:ENSPTRG00000012976, c9ac7 : ACSBG1 : En:ENSPTRG00000007337, d5e1d : CD36 : En:ENSPTRG00000019346, a2b62 : CD36 : En:ENSPTRG00000019346, d1bc1 : ACSBG2 : En:ENSPTRG00000010354, b40e1 : FABP5 : En:ENSPTRG00000020373, e3088 : FABP1 : En:ENSPTRG00000012169, a50e0 : FABP5 : En:ENSPTRG00000020373, fdeca : FABP5 : En:ENSPTRG00000020373, e2ed8 : FABP6 : En:ENSPTRG00000050713, d31ef : FABP3 : En:ENSPTRG00000000457, daf1a : DBI : En:ENSPTRG00000012401, c431c : DBI : En:ENSPTRG00000012401, ffbf5 : DBI : En:ENSPTRG00000012401, c8499 : DBI : En:ENSPTRG00000012401, c57f6 : DBI : En:ENSPTRG00000012401, a847e : DBI : En:ENSPTRG00000012401, a821e : DBI : En:ENSPTRG00000012401, dda55 : DBI : En:ENSPTRG00000012401, a0128 : DBI : En:ENSPTRG00000012401, b52c4 : FABP3 : En:ENSPTRG00000000457, b0d67 : FABP5 : En:ENSPTRG00000020373, db9b7 : FABP5 : En:ENSPTRG00000020373, e4d86 : FABP1 : En:ENSPTRG00000012169, edc99 : FABP5 : En:ENSPTRG00000020373, c8210 : FABP6 : En:ENSPTRG00000050713, e7481 : FABP2 : En:ENSPTRG00000016399, e2e7a : FABP5 : En:ENSPTRG00000020373, de1b4 : FABP3 : En:ENSPTRG00000000457, c43e8 : FABP3 : En:ENSPTRG00000000457, a6a4c : FABP7 : En:ENSPTRG00000018564, ebd89 : FABP9 : En:ENSPTRG00000030980, e4f2e : FABP5 : En:ENSPTRG00000020373, aa94f : FABP3 : En:ENSPTRG00000000457, bb55d : FABP5 : En:ENSPTRG00000020373, dc1e1 : FABP3 : En:ENSPTRG00000000457, d01cf : FABP5 : En:ENSPTRG00000020373]	[]	[b2ce9 : ACSL6 : En:ENSG00000164398, f6d56 : ACSL6 : En:ENSG00000164398]	[aa530 : SLC27A6  : H:HGNC:11000, b2acf : SLC27A2  : H:HGNC:10996, edccd : SLC27A5 : H:HGNC:10999, efa1d : FABP1 : H:HGNC:3555, f96ad : SLC27A3  : H:HGNC:10997, a712d : SLC27A1  : H:HGNC:10995, b1615 : SLC27A1  : H:HGNC:10995, dc96b : SLC27A2  : H:HGNC:10996, a102e : SLC27A3  : H:HGNC:10997, ac6d0 : SLC27A3  : H:HGNC:10997, a6eed : SLC27A3  : H:HGNC:10997, a5e65 : SLC27A3  : H:HGNC:10997]	[]
Burn wound healing (WP5055)	82.0	129	107	0	11	10	1	[f29a2 : DCN : En:ENSPTRG00000005290, fc54f : EGF : En:ENSPTRG00000016367, c6e68 : CXCL1 : En:ENSPTRG00000016157, c8800 : CXCL14 : En:ENSPTRG00000017259, a6d9d : CD248 : En:ENSPTRG00000028521, e00df : VIM : En:ENSPTRG00000002328, b90e6 : PFN1 : En:ENSPTRG00000008616, d2cb7 : SPARC : En:ENSPTRG00000017436, fe569 : TLR4 : En:ENSPTRG00000021299, f99bc : CXCL8 : En:ENSPTRG00000016154, d4d4f : IL6 : En:ENSPTRG00000050502, ed7a6 : CCL2 : En:ENSPTRG00000008999, c2c6f : MYD88 : En:ENSPTRG00000014754, aafcf : DCN : En:ENSPTRG00000005290, e857a : ACHA7 : En:ENSPTRG00000006865, c8b80 : ACHE : En:ENSPTRG00000019514, c1769 : ptr-mir-29a : En:ENSPTRG00000040982, f5267 : LIN28A : En:ENSPTRG00000000384, cf715 : ptr-mir-126 : En:ENSPTRG00000027841, e2b4b : SCEL : En:ENSPTRG00000005944, a1437 : VEGFA : En:ENSPTRG00000043213, c09e5 : COL1A2 : En:ENSPTRG00000019409, fcc37 : MMP9 : En:ENSPTRG00000013577, c3814 : TGFB2 : En:ENSPTRG00000001992, fa58d : TGFB3 : En:ENSPTRG00000006562, a2eba : FST : En:ENSPTRG00000016863, d6f3e : COL1A1 : En:ENSPTRG00000009393, a5529 : INHBA : En:ENSPTRG00000044337, d8133 : AKT1 : En:ENSPTRG00000006775, c49cf : CXCR4 : En:ENSPTRG00000012501, c916f : CXCL12 : En:ENSPTRG00000046813, cfc4f : SMAD3 : En:ENSPTRG00000007199, c0b35 : BRD4 : En:ENSPTRG00000010619, b2b56 : FN1 : En:ENSPTRG00000012892, fbcf1 : COL1A1 : En:ENSPTRG00000009393, d89e0 : NOX4 : En:ENSPTRG00000004156, bcd80 : TAGLN : En:ENSPTRG00000004320, da495 : IFNA2 : En:ENSPTRG00000020820, a1ae3 : KLF4 : En:ENSPTRG00000021230, dbb66 : ptr-mir-145 : En:ENSPTRG00000027673, d7869 : BCL2 : En:ENSPTRG00000042753, d440f : SFRP2 : En:ENSPTRG00000016530, c9d21 : SNAI2 : En:ENSPTRG00000020235, fb8ef : IFNB1 : En:ENSPTRG00000020811, ef51a : KDR : En:ENSPTRG00000016069, eaabd : PECAM1 : En:ENSPTRG00000009538, eb5a1 : ACTA1 : En:ENSPTRG00000002086, fbd8f : SERPINH1 : En:ENSPTRG00000004083, a5137 : NFKB1 : En:ENSPTRG00000016320, f8879 : IL1B : En:ENSPTRG00000012372, e85c0 : ptr-mir-29b-1 : En:ENSPTRG00000027842, a6b7e : TNF : En:ENSPTRG00000017965, a5124 : COL1A1 : En:ENSPTRG00000009393, a2b97 : ptr-mir-29b-1 : En:ENSPTRG00000027842, b5c64 : MMP13 : En:ENSPTRG00000004222, a222e : FBN1 : En:ENSPTRG00000007046, b8ab0 : TNC : En:ENSPTRG00000021294, e0faf : ELN : En:ENSPTRG00000019283, e8151 : ICAM1 : En:ENSPTRG00000010463, e7292 : CXCR2 : En:ENSPTRG00000050817, f7e8f : TAGLN : En:ENSPTRG00000004320, aa8a5 : IL1A : En:ENSPTRG00000012371, b3eae : TNFAIP3 : En:ENSPTRG00000018644, b1ce5 : NFKBIZ : En:ENSPTRG00000015179, ad9f0 : NFKBIA : En:ENSPTRG00000006265, d1667 : ADAM12 : En:ENSPTRG00000003046, faf0f : FOXE1 : En:ENSPTRG00000029193, ecc95 : CD248 : En:ENSPTRG00000028521, fdbe8 : FLG : En:ENSPTRG00000001312, cd2f1 : MMP28 : En:ENSPTRG00000009025, e51bf : MMP1 : En:ENSPTRG00000023318, bdc66 : MMP3 : En:ENSPTRG00000004220, f062b : TIMP1 : En:ENSPTRG00000048487, e7f89 : TIMP2 : En:ENSPTRG00000040748, b12b6 : MMP2 : En:ENSPTRG00000008123, aa95b : TLR2 : En:ENSPTRG00000016528, cf6e3 : TLR3 : En:ENSPTRG00000016658, fae48 : TLR5 : En:ENSPTRG00000030151, fc8e0 : TLR7 : En:ENSPTRG00000028318, d1af9 : TLR8 : En:ENSPTRG00000021667, cbbe8 : TLR9 : En:ENSPTRG00000014992, a11bb : NOD1 : En:ENSPTRG00000019040, f429a : NOD2 : En:ENSPTRG00000008106, e8b02 : LY96 : En:ENSPTRG00000020351, f4589 : S100A6 : En:ENSPTRG00000001351, ceb4d : S100A9 : En:ENSPTRG00000001345, feb79 : S100A11 : En:ENSPTRG00000001303, eddbd : SLURP1 : En:ENSPTRG00000043368, c51ad : CASP3 : En:ENSPTRG00000016640, e916a : SFRP2 : En:ENSPTRG00000016530, b4aaa : SNAI2 : En:ENSPTRG00000020235, ebb8d : PECAM1 : En:ENSPTRG00000009538, fc7c0 : SERPINH1 : En:ENSPTRG00000004083, becdb : F13A1 : En:ENSPTRG00000017694, ca5cb : FGFR1 : En:ENSPTRG00000020176, d780c : FGFR2 : En:ENSPTRG00000003003, ee46d : FGFR3 : En:ENSPTRG00000015836, e17b6 : FGFR4 : En:ENSPTRG00000017574, ddec6 : CD3E : En:ENSPTRG00000004338, abd74 : IL15 : En:ENSPTRG00000016467, ff878 : HGF : En:ENSPTRG00000019349, e6c74 : CXCR4 : En:ENSPTRG00000012501, f66f3 : PDGFRB : En:ENSPTRG00000044533, b04ff : KRT222 : En:ENSPTRG00000034332, c89a9 : TP53 : En:ENSPTRG00000008703, a73b6 : HEXD : En:ENSPTRG00000009803, d55d9 : AMBP : En:ENSPTRG00000021284]	[]	[c1cd4 : hsa-miR-4485-3p : Mb:MI0016846, d7ff2 : GAS5 : En:ENSG00000234741, e872c : MIAT : En:ENSG00000225783, b622a : LINC00338 : En:ENSG00000234912, a58bd : XIST : En:ENSG00000229807, b6bf4 : HOTAIR : En:ENSG00000228630, df56f : CNN2 : En:ENSG00000064666, ef419 : K2C6A : S:P02538, b52db : TLR1 : En:ENSG00000174125, a9a85 : TLR6 : En:ENSG00000174130, f3c9d : HMGB1 : S:P09429]	[b6c26 : hsa-miR-181b : Mb:MI0003331, c73ef : HCP5 : En:ENSG00000237105, dada1 : hsa-miR-29b-3p : Mb:MIMAT0000100, a8374 : TGFB1 : S:P01137, b0a50 : bsmA  : S:P39297, b2f0f : Col1a1b : En:ENSDARG00000035809, b61f8 : Cspg4 : S:Q8VHY0, e648d : NOTCH2 : S:Q9QW30, d31e6 : MMP7 : S:P50280, ef510 : JAG2 : S:P97607]	[db8c1 : Activin : :]
Nephrogenesis (WP5052)	94.0	19	18	0	0	1	0	[null : OSR1 : En:ENSPTRG00000011683, null : FGF20 : En:ENSPTRG00000052715, null : GREB1L : En:ENSPTRG00000009906, null : SIX2 : En:ENSPTRG00000011888, null : BMP7 : En:ENSPTRG00000013656, null : FOXD1 : En:ENSPTRG00000047627, null : TCF21 : En:ENSPTRG00000018622, null : MEIS1 : En:ENSPTRG00000011994, null : ALDH1A2 : En:ENSPTRG00000007113, null : RSPO1 : En:ENSPTRG00000000550, null : FGF8 : En:ENSPTRG00000002874, null : JAG1 : En:ENSPTRG00000013250, null : PAX2 : En:ENSPTRG00000002853, d88f8 : RSPO3 : En:ENSPTRG00000018578, e44e9 : WNT9B  : En:ENSPTRG00000009322, e4683 : WNT4 : En:ENSPTRG00000052708, fd9b7 : WNT3A : En:ENSPTRG00000002064, d64ee : NOTCH2 : En:ENSPTRG00000048364]	[]	[]	[f2c27 : LHX1 : En:ENSG00000274577]	[]
Development of ureteric collection system (WP5053)	98.0	62	61	0	0	1	0	[null : CTNNB1 : En:ENSPTRG00000023062, null : ILK : En:ENSPTRG00000003298, null : GATA3 : En:ENSPTRG00000023695, null : ETV4 : En:ENSPTRG00000009247, null : FREM2 : En:ENSPTRG00000005800, null : GRIP1 : En:ENSPTRG00000005189, null : VANGL2 : En:ENSPTRG00000001552, null : CELSR1 : En:ENSPTRG00000014511, null : ROBO1 : En:ENSPTRG00000015118, null : FAT4 : En:ENSPTRG00000024046, null : LHX1 : En:ENSPTRG00000009050, null : ITGB1 : En:ENSPTRG00000002413, null : FGFR2 : En:ENSPTRG00000003003, null : ROBO2 : En:ENSPTRG00000015117, a38ea : GPC3 : En:ENSPTRG00000049006, a718e : FOXC1 : En:ENSPTRG00000051406, a77a4 : HOXD11 : En:ENSPTRG00000012666, a7bcf : BMP5 : En:ENSPTRG00000018300, a8496 : CCND1 : En:ENSPTRG00000052519, ac5fa : WT1 : En:ENSPTRG00000003476, aec12 : RARA : En:ENSPTRG00000009120, b0c84 : SHH : En:ENSPTRG00000019912, b0ec7 : RET : En:ENSPTRG00000002442, b5da3 : BMP4 : En:ENSPTRG00000051076, b72ab : GREB1L : En:ENSPTRG00000009906, b8011 : RARG : En:ENSPTRG00000005007, ba31f : PBX1 : En:ENSPTRG00000001611, ba57f : GDF11 : En:ENSPTRG00000005063, bb495 : FST : En:ENSPTRG00000016863, bc6e4 : CTDNEP1 : En:ENSPTRG00000008668, bdad2 : MYCN : En:ENSPTRG00000011672, c2092 : TGFB2 : En:ENSPTRG00000001992, c32f2 : BMPER : En:ENSPTRG00000019072, c5008 : CRIM1 : En:ENSPTRG00000011827, c7db5 : ANOS1 : En:ENSPTRG00000021645, ca8c3 : SIX1 : En:ENSPTRG00000049394, cb7ca : ITGA8 : En:ENSPTRG00000002321, cf735 : SALL1 : En:ENSPTRG00000008108, cfa0d : FRAS1 : En:ENSPTRG00000016200, dbdb3 : HNF1B : En:ENSPTRG00000009059, dda7c : SPRY1 : En:ENSPTRG00000052327, ddf68 : BMPR1A : En:ENSPTRG00000002706, e02bc : SMAD1 : En:ENSPTRG00000016485, e2c10 : BMP7 : En:ENSPTRG00000013656, e3325 : EYA1 : En:ENSPTRG00000020337, e5571 : RARB : En:ENSPTRG00000014698, e79e4 : HOXA11 : En:ENSPTRG00000019020, e8411 : SLIT2 : En:ENSPTRG00000024331, eaf6e : WNT11 : En:ENSPTRG00000004090, eb4a2 : GFRA1 : En:ENSPTRG00000002966, f0fd7 : PAX2 : En:ENSPTRG00000002853, f69bc : GDNF : En:ENSPTRG00000016807, f7577 : BMP2 : En:ENSPTRG00000013238, f8c2d : GLI1 : En:ENSPTRG00000005133, faf20 : SMO : En:ENSPTRG00000047167, fd4bd : BMPR2 : En:ENSPTRG00000029076, fe2be : GLI3 : En:ENSPTRG00000019117, null : FRAS1 : En:ENSPTRG00000016200, e6ffa : FREM1 : En:ENSPTRG00000020782, bfd18 : SIX2 : En:ENSPTRG00000011888, ac9c1 : GLI2 : En:ENSPTRG00000012413]	[]	[]	[dded6 : GREM1 : En:ENSG00000276886]	[]
Steroid biosynthesis (WP496)	94.0	37	35	0	0	2	0	[a47 : HSD17B4 : En:ENSPTRG00000017168, a4d : HSD3B1 : En:ENSPTRG00000024031, a55 : CPN1 : En:ENSPTRG00000045585, a5f : HSD17B2 : En:ENSPTRG00000008397, a9d : HSD3B1 : En:ENSPTRG00000024031, ab1 : HSD3B1 : En:ENSPTRG00000024031, b64 : HSD3B1 : En:ENSPTRG00000024031, b6a : HSD3B1 : En:ENSPTRG00000024031, b9d : F13B : En:ENSPTRG00000001806, bce : HSD3B2 : En:ENSPTRG00000023445, c11 : HSD3B1 : En:ENSPTRG00000024031, c4f : HSD3B1 : En:ENSPTRG00000024031, c68 : CYP17A1 : En:ENSPTRG00000002900, c90 : HSD3B1 : En:ENSPTRG00000024031, ceb : HSD3B1 : En:ENSPTRG00000024031, d04 : CYP17A1 : En:ENSPTRG00000002900, d0d : HSD3B1 : En:ENSPTRG00000024031, d18 : HSD3B1 : En:ENSPTRG00000024031, d1c : HSD3B2 : En:ENSPTRG00000023445, d38 : HSD3B2 : En:ENSPTRG00000023445, d3c : HSD17B1 : En:ENSPTRG00000052042, d86 : HSD3B1 : En:ENSPTRG00000024031, dad : HSD3B1 : En:ENSPTRG00000024031, dc0 : HSD17B3 : En:ENSPTRG00000021150, dcb : HSD3B1 : En:ENSPTRG00000024031, e0d : HSD3B1 : En:ENSPTRG00000024031, e35 : HSD3B1 : En:ENSPTRG00000024031, e4d : HSD3B1 : En:ENSPTRG00000024031, e69 : HSD17B7 : En:ENSPTRG00000049127, ef5 : HSD3B1 : En:ENSPTRG00000024031, f07 : HSD3B1 : En:ENSPTRG00000024031, f52 : HSD3B2 : En:ENSPTRG00000023445, fb1 : HSD3B1 : En:ENSPTRG00000024031, fb9 : HSD3B1 : En:ENSPTRG00000024031, abc1b : CPN1 : En:ENSPTRG00000045585]	[]	[]	[b50 : Hydroxyprogesterone aldolase : E:4.1.2.30, f69 : Hydroxyprogesterone aldolase : E:4.1.2.30]	[]
TCA cycle in senescence (WP5050)	90.0	11	10	0	0	0	1	[a057c : FH : En:ENSPTRG00000002163, add2d : BRAF : En:ENSPTRG00000051563, af18c : TP53 : En:ENSPTRG00000008703, b5ee3 : MDH1 : En:ENSPTRG00000011974, d05a7 : PDHA1 : En:ENSPTRG00000021717, d8281 : ME2 : En:ENSPTRG00000010026, dab63 : GOT1 : En:ENSPTRG00000002829, db38c : PDP2 : En:ENSPTRG00000047529, dfc95 : PDK1 : En:ENSPTRG00000012642, fa1a6 : ME1 : En:ENSPTRG00000018381]	[]	[]	[]	[a56a4 : AMPK : :]
