Pathway	Homology Score	Total genes	Mapped genes	Multi-mapped genes	No homology mapping genes	No mapping genes	No xref genes	mapped genes	multi-mapped genes	no homology mapping genes	no mapping genes	no xref genes
FOXA2 pathway (WP5066)	86.0	23	20	0	3	0	0	[a4688 : IRS2 : En:ENSSSCG00000034763, a6507 : APOB : En:ENSSSCG00000008595, a809b : FOXA2 : En:ENSSSCG00000007114, ab370 : PPARGC1B : En:ENSSSCG00000014437, ada54 : FASN : En:ENSSSCG00000029944, afc0c : ACACA : En:ENSSSCG00000017694, b22e0 : IRS1 : En:ENSSSCG00000025729, b45fc : ABCC4 : En:ENSSSCG00000026996, b4ce9 : ABCC3 : En:ENSSSCG00000017561, b7e83 : ABCC2 : En:ENSSSCG00000010543, c5c85 : MLXIPL : En:ENSSSCG00000007710, cb143 : SLC27A5 : En:ENSSSCG00000031449, d08a5 : SLCO1B1 : En:ENSSSCG00000021998, d7dc6 : SREBF1 : En:ENSSSCG00000033626, d94fb : FOXO1 : En:ENSSSCG00000009370, f01e6 : INS : En:ENSSSCG00000033740, f73b3 : FOXA1 : En:ENSSSCG00000037634, fcda0 : MTTP : En:ENSSSCG00000009179, ce4ba : FOXA2 : En:ENSSSCG00000007114, f7346 : INS : En:ENSSSCG00000033740]	[]	[afba4 : GSTA1 : En:ENSG00000243955, e6298 : GSTA2 : En:ENSG00000244067, fc7cf : GSTM2 : En:ENSG00000213366]	[]	[]
FOXP3 in COVID-19 (WP5063)	87.0	31	27	0	2	1	1	[b9eee : CD86 : En:ENSSSCG00000011877, c88f4 : IL6ST : En:ENSSSCG00000016916, e9a97 : IL6R : En:ENSSSCG00000027628, ec7ef : CD28 : En:ENSSSCG00000028561, f8f22 : CD80 : En:ENSSSCG00000011899, bc300 : IL2RB : En:ENSSSCG00000029668, f6c0b : FOXP3 : En:ENSSSCG00000012300, dbe46 : IL2RA : En:ENSSSCG00000022849, c6ad9 : FOXP3 : En:ENSSSCG00000012300, d8de6 : IL6 : En:ENSSSCG00000020970, bd0f4 : STAT3 : En:ENSSSCG00000017403, d3b3a : IL7R : En:ENSSSCG00000016832, d06a6 : IL2RG : En:ENSSSCG00000012397, a9782 : IL2 : En:ENSSSCG00000033267, fde26 : STAT5A : En:ENSSSCG00000017402, d91fa : IL2 : En:ENSSSCG00000033267, c175f : IL7R : En:ENSSSCG00000016832, b90e9 : IL2RB : En:ENSSSCG00000029668, f2e9c : IL2RA : En:ENSSSCG00000022849, dcf7b : IL2RG : En:ENSSSCG00000012397, cfeb2 : FOXP3 : En:ENSSSCG00000012300, b80c0 : FOXP3 : En:ENSSSCG00000012300, a3a45 : STAT3 : En:ENSSSCG00000017403, db807 : STAT5A : En:ENSSSCG00000017402, e7817 : IL6ST : En:ENSSSCG00000016916, fab48 : IL6R : En:ENSSSCG00000027628, b47d5 : IL6 : En:ENSSSCG00000020970]	[]	[b3743 : STAT5B : En:ENSG00000173757, b23df : STAT5B : En:ENSG00000173757]	[b9b92 : MHC-II beta : Pf:PF00969]	[beee1 : TCR : :]
Fatty acid transporters (WP5061)	85.0	84	72	0	0	12	0	[a56e9 : ACSBG1 : En:ENSSSCG00000001760, ac9f6 : ACSL1 : En:ENSSSCG00000015784, af31c : CD36 : En:ENSSSCG00000015405, b2ce9 : ACSL6 : En:ENSSSCG00000014272, b56b5 : FABP4 : En:ENSSSCG00000040681, b7197 : FABP1 : En:ENSSSCG00000008214, b7a11 : FABP5 : En:ENSSSCG00000006153, b9f7b : ACSL4 : En:ENSSSCG00000012583, ba802 : ACSBG1 : En:ENSSSCG00000001760, bf774 : FABP3 : En:ENSSSCG00000010936, c3bda : ACSL3 : En:ENSSSCG00000016223, cb2f2 : SLC27A4 : En:ENSSSCG00000005648, cc0ab : FABP7 : En:ENSSSCG00000004234, d96ea : DBI : En:ENSSSCG00000032213, df8f4 : FABP9 : En:ENSSSCG00000033728, e4723 : FABP3 : En:ENSSSCG00000010936, e612f : FABP2 : En:ENSSSCG00000037272, a4559 : CD36 : En:ENSSSCG00000015405, e547c : CD36 : En:ENSSSCG00000015405, ea80d : CD36 : En:ENSSSCG00000015405, b4321 : CD36 : En:ENSSSCG00000015405, cb4fb : CD36 : En:ENSSSCG00000015405, e0011 : ACSL3 : En:ENSSSCG00000016223, b767f : ACSL5 : En:ENSSSCG00000031789, aa18d : ACSL1 : En:ENSSSCG00000015784, c2954 : ACSL1 : En:ENSSSCG00000015784, a0192 : SLC27A4 : En:ENSSSCG00000005648, f9b83 : ACSL4 : En:ENSSSCG00000012583, f9c53 : ACSL5 : En:ENSSSCG00000031789, f71d9 : SLC27A4 : En:ENSSSCG00000005648, dada0 : CD36 : En:ENSSSCG00000015405, b5bbd : CD36 : En:ENSSSCG00000015405, e91cb : SLC27A4 : En:ENSSSCG00000005648, f6d56 : ACSL6 : En:ENSSSCG00000014272, c4c53 : ACSBG1 : En:ENSSSCG00000001760, f3190 : ACSL3 : En:ENSSSCG00000016223, c9ac7 : ACSBG1 : En:ENSSSCG00000001760, d5e1d : CD36 : En:ENSSSCG00000015405, a2b62 : CD36 : En:ENSSSCG00000015405, d1bc1 : ACSBG2 : En:ENSSSCG00000013536, b40e1 : FABP5 : En:ENSSSCG00000006153, e3088 : FABP1 : En:ENSSSCG00000008214, a50e0 : FABP5 : En:ENSSSCG00000006153, fdeca : FABP5 : En:ENSSSCG00000006153, e2ed8 : FABP6 : En:ENSSSCG00000017037, d31ef : FABP3 : En:ENSSSCG00000010936, daf1a : DBI : En:ENSSSCG00000032213, c431c : DBI : En:ENSSSCG00000032213, ffbf5 : DBI : En:ENSSSCG00000032213, c8499 : DBI : En:ENSSSCG00000032213, c57f6 : DBI : En:ENSSSCG00000032213, a847e : DBI : En:ENSSSCG00000032213, a821e : DBI : En:ENSSSCG00000032213, dda55 : DBI : En:ENSSSCG00000032213, a0128 : DBI : En:ENSSSCG00000032213, b52c4 : FABP3 : En:ENSSSCG00000010936, b0d67 : FABP5 : En:ENSSSCG00000006153, db9b7 : FABP5 : En:ENSSSCG00000006153, e4d86 : FABP1 : En:ENSSSCG00000008214, edc99 : FABP5 : En:ENSSSCG00000006153, c8210 : FABP6 : En:ENSSSCG00000017037, e7481 : FABP2 : En:ENSSSCG00000037272, e2e7a : FABP5 : En:ENSSSCG00000006153, de1b4 : FABP3 : En:ENSSSCG00000010936, c43e8 : FABP3 : En:ENSSSCG00000010936, a6a4c : FABP7 : En:ENSSSCG00000004234, ebd89 : FABP9 : En:ENSSSCG00000033728, e4f2e : FABP5 : En:ENSSSCG00000006153, aa94f : FABP3 : En:ENSSSCG00000010936, bb55d : FABP5 : En:ENSSSCG00000006153, dc1e1 : FABP3 : En:ENSSSCG00000010936, d01cf : FABP5 : En:ENSSSCG00000006153]	[]	[]	[aa530 : SLC27A6  : H:HGNC:11000, b2acf : SLC27A2  : H:HGNC:10996, edccd : SLC27A5 : H:HGNC:10999, efa1d : FABP1 : H:HGNC:3555, f96ad : SLC27A3  : H:HGNC:10997, a712d : SLC27A1  : H:HGNC:10995, b1615 : SLC27A1  : H:HGNC:10995, dc96b : SLC27A2  : H:HGNC:10996, a102e : SLC27A3  : H:HGNC:10997, ac6d0 : SLC27A3  : H:HGNC:10997, a6eed : SLC27A3  : H:HGNC:10997, a5e65 : SLC27A3  : H:HGNC:10997]	[]
Burn wound healing (WP5055)	81.0	129	105	0	13	10	1	[f29a2 : DCN : En:ENSSSCG00000000915, fc54f : EGF : En:ENSSSCG00000009134, c8800 : CXCL14 : En:ENSSSCG00000014310, a6d9d : CD248 : En:ENSSSCG00000029949, e00df : VIM : En:ENSSSCG00000011033, b90e6 : PFN1 : En:ENSSSCG00000033966, d2cb7 : SPARC : En:ENSSSCG00000017082, fe569 : TLR4 : En:ENSSSCG00000005503, f99bc : CXCL8 : En:ENSSSCG00000008953, d4d4f : IL6 : En:ENSSSCG00000020970, ed7a6 : CCL2 : En:ENSSSCG00000017723, c2c6f : MYD88 : En:ENSSSCG00000011251, aafcf : DCN : En:ENSSSCG00000000915, e857a : ACHA7 : En:ENSSSCG00000004839, c8b80 : ACHE : En:ENSSSCG00000030303, c1769 : ssc-mir-29a : En:ENSSSCG00000018841, f5267 : LIN28A : En:ENSSSCG00000003557, cf715 : ssc-mir-126 : En:ENSSSCG00000018210, e2b4b : SCEL : En:ENSSSCG00000009474, a1437 : VEGFA : En:ENSSSCG00000001695, c09e5 : COL1A2 : En:ENSSSCG00000015326, fcc37 : MMP9 : En:ENSSSCG00000007436, c3814 : TGFB2 : En:ENSSSCG00000010816, df56f : CNN2 : En:ENSSSCG00000039542, fa58d : TGFB3 : En:ENSSSCG00000002385, a2eba : FST : En:ENSSSCG00000016892, d6f3e : COL1A1 : En:ENSSSCG00000036135, a5529 : INHBA : En:ENSSSCG00000035077, d8133 : AKT1 : En:ENSSSCG00000039139, c49cf : CXCR4 : En:ENSSSCG00000039416, c916f : CXCL12 : En:ENSSSCG00000034973, cfc4f : SMAD3 : En:ENSSSCG00000004952, c0b35 : BRD4 : En:ENSSSCG00000022227, b2b56 : FN1 : En:ENSSSCG00000016174, fbcf1 : COL1A1 : En:ENSSSCG00000036135, d89e0 : NOX4 : En:ENSSSCG00000014927, bcd80 : TAGLN : En:ENSSSCG00000015073, da495 : IFN-ALPHA-15 : En:ENSSSCG00000031149, a1ae3 : KLF4 : En:ENSSSCG00000005437, dbb66 : ssc-mir-145 : En:ENSSSCG00000018513, d440f : SFRP2 : En:ENSSSCG00000009004, c9d21 : SNAI2 : En:ENSSSCG00000039568, fb8ef : IFNB1 : En:ENSSSCG00000005163, ef51a : KDR : En:ENSSSCG00000008844, eaabd : PECAM1 : En:ENSSSCG00000017277, fbd8f : SERPINH1 : En:ENSSSCG00000039468, a5137 : NFKB1 : En:ENSSSCG00000030957, f8879 : IL1B : En:ENSSSCG00000033667, e85c0 : ssc-mir-29b-1 : En:ENSSSCG00000018108, a6b7e : TNF : En:ENSSSCG00000001404, a5124 : COL1A1 : En:ENSSSCG00000036135, a2b97 : ssc-mir-29b-1 : En:ENSSSCG00000018108, b5c64 : MMP13 : En:ENSSSCG00000014988, a222e : FBN1 : En:ENSSSCG00000004658, b8ab0 : TNC : En:ENSSSCG00000005494, e0faf : ELN : En:ENSSSCG00000025858, e8151 : ICAM1 : En:ENSSSCG00000013655, e7292 : CXCR2 : En:ENSSSCG00000016184, f7e8f : TAGLN : En:ENSSSCG00000015073, aa8a5 : IL1A : En:ENSSSCG00000008090, b3eae : TNFAIP3 : En:ENSSSCG00000004154, b1ce5 : NFKBIZ : En:ENSSSCG00000011951, ad9f0 : NFKBIA : En:ENSSSCG00000001952, d1667 : ADAM12 : En:ENSSSCG00000010746, faf0f : FOXE1 : En:ENSSSCG00000005369, ecc95 : CD248 : En:ENSSSCG00000029949, fdbe8 : FILA : En:ENSSSCG00000044041, cd2f1 : MMP28 : En:ENSSSCG00000034440, bdc66 : MMP3 : En:ENSSSCG00000014985, f062b : TIMP1 : En:ENSSSCG00000012277, e7f89 : TIMP2 : En:ENSSSCG00000017164, b12b6 : MMP2 : En:ENSSSCG00000002829, b52db : TLR1 : En:ENSSSCG00000026583, aa95b : TLR2 : En:ENSSSCG00000009002, cf6e3 : TLR3 : En:ENSSSCG00000015801, fae48 : TLR5 : En:ENSSSCG00000010885, a9a85 : TLR6 : En:ENSSSCG00000026592, fc8e0 : PRPS2 : En:ENSSSCG00000012117, d1af9 : TLR8 : En:ENSSSCG00000012118, cbbe8 : TLR9 : En:ENSSSCG00000011436, f429a : NOD2 : En:ENSSSCG00000038073, e8b02 : LY96 : En:ENSSSCG00000006175, f4589 : S100A6 : En:ENSSSCG00000021084, ceb4d : S10A9 : En:ENSSSCG00000006588, feb79 : S100A11 : En:ENSSSCG00000006610, eddbd : SLUR1 : En:ENSSSCG00000049907, c51ad : CASP3 : En:ENSSSCG00000034012, e916a : SFRP2 : En:ENSSSCG00000009004, b4aaa : SNAI2 : En:ENSSSCG00000039568, ebb8d : PECAM1 : En:ENSSSCG00000017277, fc7c0 : SERPINH1 : En:ENSSSCG00000039468, becdb : F13A1 : En:ENSSSCG00000024310, ca5cb : FGFR1 : En:ENSSSCG00000015815, d780c : FGFR2 : En:ENSSSCG00000010698, ee46d : FGFR3 : En:ENSSSCG00000030827, e17b6 : FGFR4 : En:ENSSSCG00000014047, ddec6 : CD3E : En:ENSSSCG00000040140, abd74 : IL15 : En:ENSSSCG00000009051, ff878 : HGF : En:ENSSSCG00000015403, e6c74 : CXCR4 : En:ENSSSCG00000039416, f66f3 : PDGFRB : En:ENSSSCG00000022741, b04ff : Krt222 : En:ENSSSCG00000036089, c89a9 : TP53 : En:ENSSSCG00000017950, a73b6 : HEXD : En:ENSSSCG00000017128, d55d9 : AMBP : En:ENSSSCG00000005485]	[]	[c6e68 : GROA : S:P09341, c1cd4 : hsa-miR-4485-3p : Mb:MI0016846, d7ff2 : GAS5 : En:ENSG00000234741, e872c : MIAT : En:ENSG00000225783, b622a : LINC00338 : En:ENSG00000234912, a58bd : XIST : En:ENSG00000229807, b6bf4 : HOTAIR : En:ENSG00000228630, d7869 : BCL2 : S:P10415, eb5a1 : ACTA1 : S:P68133, ef419 : K2C6A : S:P02538, e51bf : MMP1 : En:ENSG00000196611, a11bb : NOD1 : En:ENSG00000106100, f3c9d : HMGB1 : S:P09429]	[b6c26 : hsa-miR-181b : Mb:MI0003331, c73ef : HCP5 : En:ENSG00000237105, dada1 : hsa-miR-29b-3p : Mb:MIMAT0000100, a8374 : TGFB1 : S:P01137, b0a50 : bsmA  : S:P39297, b2f0f : Col1a1b : En:ENSDARG00000035809, b61f8 : Cspg4 : S:Q8VHY0, e648d : NOTCH2 : S:Q9QW30, d31e6 : MMP7 : S:P50280, ef510 : JAG2 : S:P97607]	[db8c1 : Activin : :]
Nephrogenesis (WP5052)	94.0	19	18	0	0	1	0	[null : OSR1 : En:ENSSSCG00000008606, null : FGF20 : En:ENSSSCG00000006980, null : GREB1L : En:ENSSSCG00000003699, null : SIX2 : En:ENSSSCG00000008446, null : BMP7 : En:ENSSSCG00000007501, null : FOXD1 : En:ENSSSCG00000035878, null : TCF21 : En:ENSSSCG00000033258, null : MEIS1 : En:ENSSSCG00000039161, null : ALDH1A2 : En:ENSSSCG00000025578, null : RSPO1 : En:ENSSSCG00000032240, null : FGF8 : En:ENSSSCG00000036146, null : JAG1 : En:ENSSSCG00000007067, null : PAX2 : En:ENSSSCG00000010556, d88f8 : RSPO3 : En:ENSSSCG00000004218, e44e9 : WNT9B : En:ENSSSCG00000035524, e4683 : WNT4 : En:ENSSSCG00000003521, fd9b7 : WNT3A : En:ENSSSCG00000029870, d64ee : NOTCH2 : En:ENSSSCG00000006709]	[]	[]	[f2c27 : LHX1 : En:ENSG00000274577]	[]
Development of ureteric collection system (WP5053)	95.0	62	59	0	2	1	0	[null : CTNNB1 : En:ENSSSCG00000011274, null : ILK : En:ENSSSCG00000023272, null : GATA3 : En:ENSSSCG00000011125, null : ETV4 : En:ENSSSCG00000017379, null : FREM2 : En:ENSSSCG00000009364, null : GRIP1 : En:ENSSSCG00000000478, null : VANGL2 : En:ENSSSCG00000006383, null : CELSR1 : En:ENSSSCG00000031361, null : ROBO1 : En:ENSSSCG00000012001, null : LHX1 : En:ENSSSCG00000017692, null : ITGB1 : En:ENSSSCG00000011101, null : FGFR2 : En:ENSSSCG00000010698, null : ROBO2 : En:ENSSSCG00000012002, a38ea : GPC3 : En:ENSSSCG00000012680, a718e : FOXC1 : En:ENSSSCG00000039756, a77a4 : HOXD11 : En:ENSSSCG00000034741, a7bcf : BMP5 : En:ENSSSCG00000001478, a8496 : CCND1 : En:ENSSSCG00000037900, ac5fa : WT1 : En:ENSSSCG00000013316, aec12 : RARA : En:ENSSSCG00000017475, b0c84 : SHH : En:ENSSSCG00000016416, b0ec7 : RET : En:ENSSSCG00000010199, b5da3 : BMP4 : En:ENSSSCG00000005045, b72ab : GREB1L : En:ENSSSCG00000003699, b8011 : RARG : En:ENSSSCG00000000258, ba31f : PBX1 : En:ENSSSCG00000006331, ba57f : GDF11 : En:ENSSSCG00000000363, bb495 : FST : En:ENSSSCG00000016892, bc6e4 : CTDNEP1 : En:ENSSSCG00000017935, bdad2 : MYCN : En:ENSSSCG00000008618, c2092 : TGFB2 : En:ENSSSCG00000010816, c32f2 : BMPER : En:ENSSSCG00000016665, c5008 : CRIM1 : En:ENSSSCG00000008504, c7db5 : ANOS1 : En:ENSSSCG00000012101, ca8c3 : SIX1 : En:ENSSSCG00000005087, cb7ca : ITGA8 : En:ENSSSCG00000011046, cf735 : SALL1 : En:ENSSSCG00000002836, cfa0d : FRAS1 : En:ENSSSCG00000008991, dbdb3 : HNF1B : En:ENSSSCG00000022417, dda7c : SPRY1 : En:ENSSSCG00000009083, ddf68 : BMPR1A : En:ENSSSCG00000010360, e02bc : SMAD1 : En:ENSSSCG00000009040, e2c10 : BMP7 : En:ENSSSCG00000007501, e3325 : EYA1 : En:ENSSSCG00000040728, e79e4 : HOXA11 : En:ENSSSCG00000016698, e8411 : SLIT2 : En:ENSSSCG00000008749, eaf6e : WNT11 : En:ENSSSCG00000022347, eb4a2 : GFRA1 : En:ENSSSCG00000010655, f0fd7 : PAX2 : En:ENSSSCG00000010556, f69bc : GDNF : En:ENSSSCG00000038727, f7577 : BMP2 : En:ENSSSCG00000039442, f8c2d : GLI1 : En:ENSSSCG00000000443, faf20 : SMO : En:ENSSSCG00000016569, fd4bd : BMPR2 : En:ENSSSCG00000016113, fe2be : GLI3 : En:ENSSSCG00000016763, null : FRAS1 : En:ENSSSCG00000008991, e6ffa : FREM1 : En:ENSSSCG00000039025, bfd18 : SIX2 : En:ENSSSCG00000008446, ac9c1 : GLI2 : En:ENSSSCG00000015733]	[]	[null : FAT4 : En:ENSG00000196159, e5571 : RARB : En:ENSG00000077092]	[dded6 : GREM1 : En:ENSG00000276886]	[]
Steroid biosynthesis (WP496)	94.0	37	35	0	0	2	0	[a47 : HSD17B4 : En:ENSSSCG00000028431, a4d : HSD3B1 : En:ENSSSCG00000006719, a55 : CPN1 : En:ENSSSCG00000010545, a5f : HSD17B2 : En:ENSSSCG00000038221, a9d : HSD3B1 : En:ENSSSCG00000006719, ab1 : HSD3B1 : En:ENSSSCG00000006719, b64 : HSD3B1 : En:ENSSSCG00000006719, b6a : HSD3B1 : En:ENSSSCG00000006719, b9d : F13B : En:ENSSSCG00000023301, bce : HSD3B2 : En:ENSSSCG00000006719, c11 : HSD3B1 : En:ENSSSCG00000006719, c4f : HSD3B1 : En:ENSSSCG00000006719, c68 : CYP17A1 : En:ENSSSCG00000010591, c90 : HSD3B1 : En:ENSSSCG00000006719, ceb : HSD3B1 : En:ENSSSCG00000006719, d04 : CYP17A1 : En:ENSSSCG00000010591, d0d : HSD3B1 : En:ENSSSCG00000006719, d18 : HSD3B1 : En:ENSSSCG00000006719, d1c : HSD3B2 : En:ENSSSCG00000006719, d38 : HSD3B2 : En:ENSSSCG00000006719, d3c : HSD17B1 : En:ENSSSCG00000035147, d86 : HSD3B1 : En:ENSSSCG00000006719, dad : HSD3B1 : En:ENSSSCG00000006719, dc0 : HSD17B3 : En:ENSSSCG00000010937, dcb : HSD3B1 : En:ENSSSCG00000006719, e0d : HSD3B1 : En:ENSSSCG00000006719, e35 : HSD3B1 : En:ENSSSCG00000006719, e4d : HSD3B1 : En:ENSSSCG00000006719, e69 : HSD17B7 : En:ENSSSCG00000006337, ef5 : HSD3B1 : En:ENSSSCG00000006719, f07 : HSD3B1 : En:ENSSSCG00000006719, f52 : HSD3B2 : En:ENSSSCG00000006719, fb1 : HSD3B1 : En:ENSSSCG00000006719, fb9 : HSD3B1 : En:ENSSSCG00000006719, abc1b : CPN1 : En:ENSSSCG00000010545]	[]	[]	[b50 : Hydroxyprogesterone aldolase : E:4.1.2.30, f69 : Hydroxyprogesterone aldolase : E:4.1.2.30]	[]
TCA cycle in senescence (WP5050)	90.0	11	10	0	0	0	1	[a057c : FH : En:ENSSSCG00000028178, add2d : BRAF : En:ENSSSCG00000016494, af18c : TP53 : En:ENSSSCG00000017950, b5ee3 : MDH1 : En:ENSSSCG00000025751, d05a7 : PDHA1 : En:ENSSSCG00000023643, d8281 : ME2 : En:ENSSSCG00000004522, dab63 : GOT1 : En:ENSSSCG00000010537, db38c : PDP2 : En:ENSSSCG00000036067, dfc95 : PDK1 : En:ENSSSCG00000015958, fa1a6 : ME1 : En:ENSSSCG00000004454]	[]	[]	[]	[a56a4 : AMPK : :]
Immune response to tuberculosis (WP4197)	89.0	47	42	0	1	0	4	[a2d99 : IRF9 : En:ENSSSCG00000002002, ab622 : PSMB8 : En:ENSSSCG00000026951, aea67 : OAS1 : En:ENSSSCG00000046640, b1b9d : MX1 : En:ENSSSCG00000012077, bc85a : IRF1 : En:ENSSSCG00000014277, bdfa2 : SOCS1 : En:ENSSSCG00000027855, bfa49 : STAT1 : En:ENSSSCG00000016057, bfeee : PIAS1 : En:ENSSSCG00000004958, c001a : STAT1 : En:ENSSSCG00000016057, c292f : IFITM3 : En:ENSSSCG00000038912, c3ca9 : IRF9 : En:ENSSSCG00000002002, c454d : PSMB8 : En:ENSSSCG00000026951, c8726 : IFNGR1 : En:ENSSSCG00000004156, c8cd1 : IRF9 : En:ENSSSCG00000002002, cec9e : PTPN2 : En:ENSSSCG00000021738, d36c0 : TAP1 : En:ENSSSCG00000025618, d807b : IFI35 : En:ENSSSCG00000029763, df84d : IFITM3 : En:ENSSSCG00000038912, e30c3 : IFI35 : En:ENSSSCG00000029763, e7b35 : TYK2 : En:ENSSSCG00000013648, eb10a : JAK1 : En:ENSSSCG00000003809, f6a13 : IFIT1 : En:ENSSSCG00000010452, ffea2 : STAT1 : En:ENSSSCG00000016057, dc499 : STAT1 : En:ENSSSCG00000016057, cfcee : STAT1 : En:ENSSSCG00000016057, e44a9 : STAT1 : En:ENSSSCG00000016057, f3711 : STAT2 : En:ENSSSCG00000000396, fbb52 : STAT1 : En:ENSSSCG00000016057, a4f96 : STAT2 : En:ENSSSCG00000000396, e9cd1 : JAK2 : En:ENSSSCG00000005215, e08b5 : PTPN2 : En:ENSSSCG00000021738, f0122 : JAK1 : En:ENSSSCG00000003809, f61c4 : JAK2 : En:ENSSSCG00000005215, c6917 : JAK1 : En:ENSSSCG00000003809, d05a6 : STAT1 : En:ENSSSCG00000016057, ec48d : STAT2 : En:ENSSSCG00000000396, f9601 : PTPN2 : En:ENSSSCG00000021738, d0510 : IFNGR2 : En:ENSSSCG00000034378, a1e4e : IFNGR1 : En:ENSSSCG00000004156, bc367 : IFNGR2 : En:ENSSSCG00000034378, e58c2 : IFNAR1 : En:ENSSSCG00000033115, b1123 : IFNAR2 : En:ENSSSCG00000036556]	[]	[d9a96 : IFIT1 : En:ENSG00000185745]	[]	[a87b3 : IFNG : :, bea1c : GIP2 : :, f6872 : GIP3 : :, daf8b : IFNa/IFNb : :]
Kynurenine pathway and links to cell senescence (WP5044)	85.0	28	24	0	0	2	2	[a05b8 : KMO : En:ENSSSCG00000025686, aa86b : IFNG : En:ENSSSCG00000032963, ac223 : IDO1 : En:ENSSSCG00000007007, b2846 : EIF2AK1 : En:ENSSSCG00000007592, b3d5f : HAAO : En:ENSSSCG00000038660, b6727 : NOS1 : En:ENSSSCG00000009856, d0202 : TP53 : En:ENSSSCG00000017950, d1915 : ACMSD : En:ENSSSCG00000015699, e4ee2 : FOXO1 : En:ENSSSCG00000009370, e8717 : TDO2 : En:ENSSSCG00000008868, ee1bf : KYNU : En:ENSSSCG00000015673, f30e4 : KLF5 : En:ENSSSCG00000035101, fa89f : CDKN1A : En:ENSSSCG00000001565, fb7dd : AFMID : En:ENSSSCG00000033636, fe240 : QPRT : En:ENSSSCG00000027454, a5832 : KYNU : En:ENSSSCG00000015673, d4dba : AADAT : En:ENSSSCG00000009708, e35c9 : IDO2 : En:ENSSSCG00000023054, e0c55 : IFNB1 : En:ENSSSCG00000005163, cabc1 : TNF : En:ENSSSCG00000001404, d4a38 : AHR : En:ENSSSCG00000030484, fff3b : TLR4 : En:ENSSSCG00000005503, d1acf : IL1R2 : En:ENSSSCG00000028331, c37f6 : EIF2AK4 : En:ENSSSCG00000039061]	[]	[]	[a70e2 : miR-210-3p : Mb:MIMAT0000267, e7b79 : miR-493-5p : Mb:MIMAT0002813]	[e1e70 : IDO1 promoter  : :, eac1e : TGFβ : S:]
