Pathway	Homology Score	Total genes	Mapped genes	Multi-mapped genes	No homology mapping genes	No mapping genes	No xref genes	mapped genes	multi-mapped genes	no homology mapping genes	no mapping genes	no xref genes
FOXA2 pathway (WP5066)	91.0	23	21	0	2	0	0	[a4688 : Irs2 : En:ENSMUSG00000038894, a6507 : Apob : En:ENSMUSG00000020609, a809b : Foxa2 : En:ENSMUSG00000037025, ab370 : Ppargc1b : En:ENSMUSG00000033871, ada54 : Fasn : En:ENSMUSG00000025153, afc0c : Acaca : En:ENSMUSG00000020532, b22e0 : Irs1 : En:ENSMUSG00000055980, b45fc : Abcc4 : En:ENSMUSG00000032849, b4ce9 : Abcc3 : En:ENSMUSG00000020865, b7e83 : Abcc2 : En:ENSMUSG00000025194, c5c85 : Mlxipl : En:ENSMUSG00000005373, cb143 : Slc27a5 : En:ENSMUSG00000030382, d08a5 : Slco1b2 : En:ENSMUSG00000030236, d7dc6 : Srebf1 : En:ENSMUSG00000020538, d94fb : Foxo1 : En:ENSMUSG00000044167, f01e6 : Ins1 : En:ENSMUSG00000035804, f73b3 : Foxa1 : En:ENSMUSG00000035451, fc7cf : Gstm7 : En:ENSMUSG00000004035, fcda0 : Mttp : En:ENSMUSG00000028158, ce4ba : Foxa2 : En:ENSMUSG00000037025, f7346 : Ins1 : En:ENSMUSG00000035804]	[]	[afba4 : GSTA1 : En:ENSG00000243955, e6298 : GSTA2 : En:ENSG00000244067]	[]	[]
FOXP3 in COVID-19 (WP5063)	93.0	31	29	0	0	1	1	[b9eee : Cd86 : En:ENSMUSG00000022901, c88f4 : Il6st : En:ENSMUSG00000021756, e9a97 : Il6ra : En:ENSMUSG00000027947, ec7ef : Cd28 : En:ENSMUSG00000026012, f8f22 : Cd80 : En:ENSMUSG00000075122, bc300 : Il2rb : En:ENSMUSG00000068227, f6c0b : Foxp3 : En:ENSMUSG00000039521, dbe46 : Il2ra : En:ENSMUSG00000026770, c6ad9 : Foxp3 : En:ENSMUSG00000039521, d8de6 : Il6 : En:ENSMUSG00000025746, bd0f4 : Stat3 : En:ENSMUSG00000004040, d3b3a : Il7r : En:ENSMUSG00000003882, d06a6 : Il2rg : En:ENSMUSG00000031304, a9782 : Il2 : En:ENSMUSG00000027720, fde26 : Stat5a : En:ENSMUSG00000004043, b3743 : Stat5b : En:ENSMUSG00000020919, d91fa : Il2 : En:ENSMUSG00000027720, c175f : Il7r : En:ENSMUSG00000003882, b90e9 : Il2rb : En:ENSMUSG00000068227, f2e9c : Il2ra : En:ENSMUSG00000026770, dcf7b : Il2rg : En:ENSMUSG00000031304, cfeb2 : Foxp3 : En:ENSMUSG00000039521, b80c0 : Foxp3 : En:ENSMUSG00000039521, a3a45 : Stat3 : En:ENSMUSG00000004040, db807 : Stat5a : En:ENSMUSG00000004043, b23df : Stat5b : En:ENSMUSG00000020919, e7817 : Il6st : En:ENSMUSG00000021756, fab48 : Il6ra : En:ENSMUSG00000027947, b47d5 : Il6 : En:ENSMUSG00000025746]	[]	[]	[b9b92 : MHC-II beta : Pf:PF00969]	[beee1 : TCR : :]
7-oxo-C and 7-beta-HC pathways (WP5064)	91.0	58	53	0	0	4	1	[c8d02 : Cyp7a1 : En:ENSMUSG00000028240, ce628 : Npc1 : En:ENSMUSG00000024413, d8acd : Hsd11b1 : En:ENSMUSG00000016194, f0dd5 : Hsd11b2 : En:ENSMUSG00000031891, f42e2 : Cyp27a1 : En:ENSMUSG00000026170, d93c2 : Slc27a5 : En:ENSMUSG00000030382, f16e6 : Slc27a2 : En:ENSMUSG00000027359, ede2e : Amacr : En:ENSMUSG00000022244, fce34 : Acox2 : En:ENSMUSG00000021751, ff780 : Dbp : En:ENSMUSG00000059824, b8436 : Scp2 : En:ENSMUSG00000028603, f3434 : Dbp : En:ENSMUSG00000059824, cc0ca : Baat : En:ENSMUSG00000039653, b0361 : Acot1 : En:ENSMUSG00000072949, d36d4 : Acot1 : En:ENSMUSG00000072949, a650f : Acot4 : En:ENSMUSG00000052392, a3420 : Acot6 : En:ENSMUSG00000043487, b2f31 : Acot7 : En:ENSMUSG00000028937, ef3e5 : Acot8 : En:ENSMUSG00000017307, b4e8e : Acot9 : En:ENSMUSG00000025287, ea41e : Acot11 : En:ENSMUSG00000034853, ac1e6 : Acot12 : En:ENSMUSG00000021620, ef31c : Acot13 : En:ENSMUSG00000006717, ced7f : Them5 : En:ENSMUSG00000028148, c8de2 : Ephx2 : En:ENSMUSG00000022040, b8193 : Cyp27a1 : En:ENSMUSG00000026170, cd48d : Slc27a5 : En:ENSMUSG00000030382, d3a48 : Slc27a2 : En:ENSMUSG00000027359, ff065 : Amacr : En:ENSMUSG00000022244, e6239 : Acox2 : En:ENSMUSG00000021751, ce14d : Dbp : En:ENSMUSG00000059824, f9fcc : Scp2 : En:ENSMUSG00000028603, bb16c : Dbp : En:ENSMUSG00000059824, d16c6 : Baat : En:ENSMUSG00000039653, e0b6f : Acot1 : En:ENSMUSG00000072949, f8041 : Acot1 : En:ENSMUSG00000072949, ef2be : Acot4 : En:ENSMUSG00000052392, e4d80 : Acot6 : En:ENSMUSG00000043487, f2d97 : Acot7 : En:ENSMUSG00000028937, ff78a : Acot8 : En:ENSMUSG00000017307, b4b9f : Acot9 : En:ENSMUSG00000025287, e2bec : Acot11 : En:ENSMUSG00000034853, bfaec : Acot12 : En:ENSMUSG00000021620, d31d9 : Acot13 : En:ENSMUSG00000006717, ce523 : Them5 : En:ENSMUSG00000028148, e110d : Hsd11b2 : En:ENSMUSG00000031891, ef9e7 : Hsd11b1 : En:ENSMUSG00000016194, ef5ba : Hsd11b2 : En:ENSMUSG00000031891, a399e : Hsd11b1 : En:ENSMUSG00000016194, a3f32 : Hsd11b2 : En:ENSMUSG00000031891, de27d : Dhcr7 : En:ENSMUSG00000058454, b0a29 : Ebp : En:ENSMUSG00000031168, ea650 : Npc2 : En:ENSMUSG00000021242]	[]	[]	[be891 : ACOT : E:3.1.2.2, b0e4a : ACOT7L : S:Q6ZUV0, e51c1 : ACOT : E:3.1.2.2, ffc11 : ACOT7L : S:Q6ZUV0]	[c699f : 5alpha-specific DDA synthase : :]
Peroxisomal beta-oxidation of tetracosanoyl-CoA (WP1941)	100.0	5	5	0	0	0	0	[a3450 : Hsd17b4 : En:ENSMUSG00000024507, b0960 : Acaa1b : En:ENSMUSG00000010651, cf671 : Scp2 : En:ENSMUSG00000028603, fe505 : Acox1 : En:ENSMUSG00000020777, cbed1 : Hsd17b4 : En:ENSMUSG00000024507]	[]	[]	[]	[]
Fatty acid transporters (WP5061)	85.0	84	72	0	0	12	0	[a56e9 : Acsbg1 : En:ENSMUSG00000032281, ac9f6 : Acsl1 : En:ENSMUSG00000018796, af31c : Cd36 : En:ENSMUSG00000002944, b2ce9 : Acsl6 : En:ENSMUSG00000020333, b56b5 : Fabp4 : En:ENSMUSG00000062515, b7197 : Fabp1 : En:ENSMUSG00000054422, b7a11 : Fabp5 : En:ENSMUSG00000027533, b9f7b : Acsl4 : En:ENSMUSG00000031278, ba802 : Acsbg1 : En:ENSMUSG00000032281, bf774 : Fabp3 : En:ENSMUSG00000028773, c3bda : Acsl3 : En:ENSMUSG00000032883, cb2f2 : Slc27a4 : En:ENSMUSG00000059316, cc0ab : Fabp7 : En:ENSMUSG00000019874, d96ea : Dbi : En:ENSMUSG00000026385, df8f4 : Gm37389 : En:ENSMUSG00000103124, e4723 : Fabp3 : En:ENSMUSG00000028773, e612f : Fabp2 : En:ENSMUSG00000023057, a4559 : Cd36 : En:ENSMUSG00000002944, e547c : Cd36 : En:ENSMUSG00000002944, ea80d : Cd36 : En:ENSMUSG00000002944, b4321 : Cd36 : En:ENSMUSG00000002944, cb4fb : Cd36 : En:ENSMUSG00000002944, e0011 : Acsl3 : En:ENSMUSG00000032883, b767f : Acsl5 : En:ENSMUSG00000024981, aa18d : Acsl1 : En:ENSMUSG00000018796, c2954 : Acsl1 : En:ENSMUSG00000018796, a0192 : Slc27a4 : En:ENSMUSG00000059316, f9b83 : Acsl4 : En:ENSMUSG00000031278, f9c53 : Acsl5 : En:ENSMUSG00000024981, f71d9 : Slc27a4 : En:ENSMUSG00000059316, dada0 : Cd36 : En:ENSMUSG00000002944, b5bbd : Cd36 : En:ENSMUSG00000002944, e91cb : Slc27a4 : En:ENSMUSG00000059316, f6d56 : Acsl6 : En:ENSMUSG00000020333, c4c53 : Acsbg1 : En:ENSMUSG00000032281, f3190 : Acsl3 : En:ENSMUSG00000032883, c9ac7 : Acsbg1 : En:ENSMUSG00000032281, d5e1d : Cd36 : En:ENSMUSG00000002944, a2b62 : Cd36 : En:ENSMUSG00000002944, d1bc1 : Acsbg2 : En:ENSMUSG00000024207, b40e1 : Fabp5 : En:ENSMUSG00000027533, e3088 : Fabp1 : En:ENSMUSG00000054422, a50e0 : Fabp5 : En:ENSMUSG00000027533, fdeca : Fabp5 : En:ENSMUSG00000027533, e2ed8 : Fabp6 : En:ENSMUSG00000020405, d31ef : Fabp3 : En:ENSMUSG00000028773, daf1a : Dbi : En:ENSMUSG00000026385, c431c : Dbi : En:ENSMUSG00000026385, ffbf5 : Dbi : En:ENSMUSG00000026385, c8499 : Dbi : En:ENSMUSG00000026385, c57f6 : Dbi : En:ENSMUSG00000026385, a847e : Dbi : En:ENSMUSG00000026385, a821e : Dbi : En:ENSMUSG00000026385, dda55 : Dbi : En:ENSMUSG00000026385, a0128 : Dbi : En:ENSMUSG00000026385, b52c4 : Fabp3 : En:ENSMUSG00000028773, b0d67 : Fabp5 : En:ENSMUSG00000027533, db9b7 : Fabp5 : En:ENSMUSG00000027533, e4d86 : Fabp1 : En:ENSMUSG00000054422, edc99 : Fabp5 : En:ENSMUSG00000027533, c8210 : Fabp6 : En:ENSMUSG00000020405, e7481 : Fabp2 : En:ENSMUSG00000023057, e2e7a : Fabp5 : En:ENSMUSG00000027533, de1b4 : Fabp3 : En:ENSMUSG00000028773, c43e8 : Fabp3 : En:ENSMUSG00000028773, a6a4c : Fabp7 : En:ENSMUSG00000019874, ebd89 : Gm37389 : En:ENSMUSG00000103124, e4f2e : Fabp5 : En:ENSMUSG00000027533, aa94f : Fabp3 : En:ENSMUSG00000028773, bb55d : Fabp5 : En:ENSMUSG00000027533, dc1e1 : Fabp3 : En:ENSMUSG00000028773, d01cf : Fabp5 : En:ENSMUSG00000027533]	[]	[]	[aa530 : SLC27A6  : H:HGNC:11000, b2acf : SLC27A2  : H:HGNC:10996, edccd : SLC27A5 : H:HGNC:10999, efa1d : FABP1 : H:HGNC:3555, f96ad : SLC27A3  : H:HGNC:10997, a712d : SLC27A1  : H:HGNC:10995, b1615 : SLC27A1  : H:HGNC:10995, dc96b : SLC27A2  : H:HGNC:10996, a102e : SLC27A3  : H:HGNC:10997, ac6d0 : SLC27A3  : H:HGNC:10997, a6eed : SLC27A3  : H:HGNC:10997, a5e65 : SLC27A3  : H:HGNC:10997]	[]
Burn wound healing (WP5055)	83.0	129	108	0	10	10	1	[f29a2 : Dcn : En:ENSMUSG00000019929, fc54f : Egf : En:ENSMUSG00000028017, c8800 : Cxcl14 : En:ENSMUSG00000021508, a6d9d : Cd248 : En:ENSMUSG00000056481, e00df : Vim : En:ENSMUSG00000026728, b90e6 : Pfn1 : En:ENSMUSG00000018293, d2cb7 : Sparc : En:ENSMUSG00000018593, fe569 : Tlr4 : En:ENSMUSG00000039005, d4d4f : Il6 : En:ENSMUSG00000025746, c2c6f : Myd88 : En:ENSMUSG00000032508, aafcf : Dcn : En:ENSMUSG00000019929, e857a : Chrna7 : En:ENSMUSG00000030525, c8b80 : Ache : En:ENSMUSG00000023328, c1769 : Mir29a : En:ENSMUSG00000065610, f5267 : Lin28a : En:ENSMUSG00000050966, cf715 : Mir126a : En:ENSMUSG00000065540, e2b4b : Scel : En:ENSMUSG00000022123, a1437 : Vegfa : En:ENSMUSG00000023951, c09e5 : Col1a2 : En:ENSMUSG00000029661, fcc37 : Mmp9 : En:ENSMUSG00000017737, c3814 : Tgfb2 : En:ENSMUSG00000039239, df56f : Cnn2 : En:ENSMUSG00000004665, fa58d : Tgfb3 : En:ENSMUSG00000021253, a2eba : Fst : En:ENSMUSG00000021765, d6f3e : Col1a1 : En:ENSMUSG00000001506, a5529 : Inhba : En:ENSMUSG00000041324, d8133 : Akt1 : En:ENSMUSG00000001729, c49cf : Cxcr4 : En:ENSMUSG00000045382, c916f : Cxcl12 : En:ENSMUSG00000061353, cfc4f : Smad3 : En:ENSMUSG00000032402, c0b35 : Brd4 : En:ENSMUSG00000024002, b2b56 : Fn1 : En:ENSMUSG00000026193, fbcf1 : Col1a1 : En:ENSMUSG00000001506, d89e0 : Nox4 : En:ENSMUSG00000030562, bcd80 : Tagln : En:ENSMUSG00000032085, da495 : Ifna13 : En:ENSMUSG00000063376, a1ae3 : Klf4 : En:ENSMUSG00000003032, dbb66 : Mir145a : En:ENSMUSG00000065592, d7869 : Bcl2 : En:ENSMUSG00000057329, d440f : Sfrp2 : En:ENSMUSG00000027996, c9d21 : Snai2 : En:ENSMUSG00000022676, fb8ef : Ifnb1 : En:ENSMUSG00000048806, ef51a : Kdr : En:ENSMUSG00000062960, eaabd : Pecam1 : En:ENSMUSG00000020717, eb5a1 : Acta1 : En:ENSMUSG00000031972, fbd8f : Serpinh1 : En:ENSMUSG00000070436, a5137 : Nfkb1 : En:ENSMUSG00000028163, f8879 : Il1b : En:ENSMUSG00000027398, e85c0 : Mir29b-1 : En:ENSMUSG00000065604, a6b7e : Tnf : En:ENSMUSG00000024401, a5124 : Col1a1 : En:ENSMUSG00000001506, a2b97 : Mir29b-1 : En:ENSMUSG00000065604, b5c64 : Mmp13 : En:ENSMUSG00000050578, a222e : Fbn1 : En:ENSMUSG00000027204, b8ab0 : Tnc : En:ENSMUSG00000028364, e0faf : Eln : En:ENSMUSG00000029675, e8151 : Icam1 : En:ENSMUSG00000037405, e7292 : Cxcr2 : En:ENSMUSG00000026180, f7e8f : Tagln : En:ENSMUSG00000032085, aa8a5 : Il1a : En:ENSMUSG00000027399, b3eae : Tnfaip3 : En:ENSMUSG00000019850, b1ce5 : Nfkbiz : En:ENSMUSG00000035356, ad9f0 : Nfkbia : En:ENSMUSG00000021025, d1667 : Adam12 : En:ENSMUSG00000054555, faf0f : Foxe1 : En:ENSMUSG00000070990, ecc95 : Cd248 : En:ENSMUSG00000056481, fdbe8 : Flg : En:ENSMUSG00000102439, ef419 : Krt6b : En:ENSMUSG00000023041, cd2f1 : Mmp28 : En:ENSMUSG00000020682, e51bf : Mmp1b : En:ENSMUSG00000041620, bdc66 : Mmp3 : En:ENSMUSG00000043613, f062b : Timp1 : En:ENSMUSG00000001131, e7f89 : Timp2 : En:ENSMUSG00000017466, b12b6 : Mmp2 : En:ENSMUSG00000031740, b52db : Tlr1 : En:ENSMUSG00000044827, aa95b : Tlr2 : En:ENSMUSG00000027995, cf6e3 : Tlr3 : En:ENSMUSG00000031639, fae48 : Tlr5 : En:ENSMUSG00000079164, a9a85 : Tlr6 : En:ENSMUSG00000051498, fc8e0 : Tlr7 : En:ENSMUSG00000044583, d1af9 : Tlr8 : En:ENSMUSG00000040522, cbbe8 : Tlr9 : En:ENSMUSG00000045322, a11bb : Nod1 : En:ENSMUSG00000038058, f429a : Nod2 : En:ENSMUSG00000055994, e8b02 : Ly96 : En:ENSMUSG00000025779, f4589 : S100a6 : En:ENSMUSG00000001025, ceb4d : Gm5849 : En:ENSMUSG00000096621, feb79 : S100a11 : En:ENSMUSG00000027907, eddbd : Slurp1 : En:ENSMUSG00000022596, c51ad : Casp3 : En:ENSMUSG00000031628, e916a : Sfrp2 : En:ENSMUSG00000027996, b4aaa : Snai2 : En:ENSMUSG00000022676, ebb8d : Pecam1 : En:ENSMUSG00000020717, fc7c0 : Serpinh1 : En:ENSMUSG00000070436, becdb : F13a1 : En:ENSMUSG00000039109, ca5cb : Fgfr1 : En:ENSMUSG00000031565, d780c : Fgfr2 : En:ENSMUSG00000030849, ee46d : Fgfr3 : En:ENSMUSG00000054252, e17b6 : Fgfr4 : En:ENSMUSG00000005320, ddec6 : Cd3e : En:ENSMUSG00000032093, abd74 : Il15 : En:ENSMUSG00000031712, ff878 : Hgf : En:ENSMUSG00000028864, e6c74 : Cxcr4 : En:ENSMUSG00000045382, f66f3 : Pdgfrb : En:ENSMUSG00000024620, b04ff : Krt222 : En:ENSMUSG00000035849, c89a9 : Trp53 : En:ENSMUSG00000059552, a73b6 : Hexdc : En:ENSMUSG00000039307, d55d9 : Ambp : En:ENSMUSG00000028356]	[]	[c6e68 : GROA : S:P09341, c1cd4 : hsa-miR-4485-3p : Mb:MI0016846, f99bc : IL8 : S:P10145, ed7a6 : CCL2 : S:P13500, d7ff2 : GAS5 : En:ENSG00000234741, e872c : MIAT : En:ENSG00000225783, b622a : LINC00338 : En:ENSG00000234912, a58bd : XIST : En:ENSG00000229807, b6bf4 : HOTAIR : En:ENSG00000228630, f3c9d : HMGB1 : S:P09429]	[b6c26 : hsa-miR-181b : Mb:MI0003331, c73ef : HCP5 : En:ENSG00000237105, dada1 : hsa-miR-29b-3p : Mb:MIMAT0000100, a8374 : TGFB1 : S:P01137, b0a50 : bsmA  : S:P39297, b2f0f : Col1a1b : En:ENSDARG00000035809, b61f8 : Cspg4 : S:Q8VHY0, e648d : NOTCH2 : S:Q9QW30, d31e6 : MMP7 : S:P50280, ef510 : JAG2 : S:P97607]	[db8c1 : Activin : :]
Nephrogenesis (WP5052)	94.0	19	18	0	0	1	0	[null : Osr1 : En:ENSMUSG00000048387, null : Fgf20 : En:ENSMUSG00000031603, null : Greb1l : En:ENSMUSG00000042942, null : Six2 : En:ENSMUSG00000024134, null : Bmp7 : En:ENSMUSG00000008999, null : Foxd1 : En:ENSMUSG00000078302, null : Tcf21 : En:ENSMUSG00000045680, null : Meis1 : En:ENSMUSG00000020160, null : Aldh1a2 : En:ENSMUSG00000013584, null : Rspo1 : En:ENSMUSG00000028871, null : Fgf8 : En:ENSMUSG00000025219, null : Jag1 : En:ENSMUSG00000027276, null : Pax2 : En:ENSMUSG00000004231, d88f8 : Rspo3 : En:ENSMUSG00000019880, e44e9 : Wnt9b : En:ENSMUSG00000018486, e4683 : Wnt4 : En:ENSMUSG00000036856, fd9b7 : Wnt3a : En:ENSMUSG00000009900, d64ee : Notch2 : En:ENSMUSG00000027878]	[]	[]	[f2c27 : LHX1 : En:ENSG00000274577]	[]
Development of ureteric collection system (WP5053)	96.0	62	60	0	1	1	0	[null : Ctnnb1 : En:ENSMUSG00000006932, null : Ilk : En:ENSMUSG00000030890, null : Gata3 : En:ENSMUSG00000015619, null : Etv4 : En:ENSMUSG00000017724, null : Frem2 : En:ENSMUSG00000037016, null : Grip1 : En:ENSMUSG00000034813, null : Vangl2 : En:ENSMUSG00000026556, null : Celsr1 : En:ENSMUSG00000016028, null : Robo1 : En:ENSMUSG00000022883, null : Fat4 : En:ENSMUSG00000046743, null : Lhx1 : En:ENSMUSG00000018698, null : Itgb1 : En:ENSMUSG00000025809, null : Fgfr2 : En:ENSMUSG00000030849, null : Robo2 : En:ENSMUSG00000052516, a38ea : Gpc3 : En:ENSMUSG00000055653, a718e : Foxc1 : En:ENSMUSG00000050295, a77a4 : Hoxd11 : En:ENSMUSG00000042499, a7bcf : Bmp5 : En:ENSMUSG00000032179, a8496 : Ccnd1 : En:ENSMUSG00000070348, ac5fa : Wt1 : En:ENSMUSG00000016458, aec12 : Rara : En:ENSMUSG00000037992, b0c84 : Shh : En:ENSMUSG00000002633, b0ec7 : Ret : En:ENSMUSG00000030110, b5da3 : Bmp4 : En:ENSMUSG00000021835, b72ab : Greb1l : En:ENSMUSG00000042942, b8011 : Rarg : En:ENSMUSG00000001288, ba31f : Pbx1 : En:ENSMUSG00000052534, ba57f : Gdf11 : En:ENSMUSG00000025352, bb495 : Fst : En:ENSMUSG00000021765, bc6e4 : Ctdnep1 : En:ENSMUSG00000018559, bdad2 : Mycs : En:ENSMUSG00000044597, c2092 : Tgfb2 : En:ENSMUSG00000039239, c32f2 : Bmper : En:ENSMUSG00000031963, c5008 : Crim1 : En:ENSMUSG00000024074, ca8c3 : Six1 : En:ENSMUSG00000051367, cb7ca : Itga8 : En:ENSMUSG00000026768, cf735 : Sall1 : En:ENSMUSG00000031665, cfa0d : Fras1 : En:ENSMUSG00000034687, dbdb3 : Hnf1b : En:ENSMUSG00000020679, dda7c : Spry1 : En:ENSMUSG00000037211, ddf68 : Bmpr1a : En:ENSMUSG00000021796, e02bc : Smad1 : En:ENSMUSG00000031681, e2c10 : Bmp7 : En:ENSMUSG00000008999, e3325 : Eya1 : En:ENSMUSG00000025932, e5571 : Rarb : En:ENSMUSG00000017491, e79e4 : Hoxa11 : En:ENSMUSG00000038210, e8411 : Slit2 : En:ENSMUSG00000031558, eaf6e : Wnt11 : En:ENSMUSG00000015957, eb4a2 : Gfra1 : En:ENSMUSG00000025089, f0fd7 : Pax2 : En:ENSMUSG00000004231, f69bc : Gdnf : En:ENSMUSG00000022144, f7577 : Bmp2 : En:ENSMUSG00000027358, f8c2d : Gli1 : En:ENSMUSG00000025407, faf20 : Smo : En:ENSMUSG00000001761, fd4bd : Bmpr2 : En:ENSMUSG00000067336, fe2be : Gli3 : En:ENSMUSG00000021318, null : Fras1 : En:ENSMUSG00000034687, e6ffa : Frem1 : En:ENSMUSG00000059049, bfd18 : Six2 : En:ENSMUSG00000024134, ac9c1 : Gli2 : En:ENSMUSG00000048402]	[]	[c7db5 : ANOS1 : En:ENSG00000011201]	[dded6 : GREM1 : En:ENSG00000276886]	[]
Steroid biosynthesis (WP496)	94.0	37	35	0	0	2	0	[a47 : Hsd17b4 : En:ENSMUSG00000024507, a4d : Hsd3b5 : En:ENSMUSG00000038092, a55 : Cpn1 : En:ENSMUSG00000025196, a5f : Hsd17b2 : En:ENSMUSG00000031844, a9d : Hsd3b5 : En:ENSMUSG00000038092, ab1 : Hsd3b5 : En:ENSMUSG00000038092, b64 : Hsd3b5 : En:ENSMUSG00000038092, b6a : Hsd3b5 : En:ENSMUSG00000038092, b9d : F13b : En:ENSMUSG00000026368, bce : Hsd3b5 : En:ENSMUSG00000038092, c11 : Hsd3b5 : En:ENSMUSG00000038092, c4f : Hsd3b5 : En:ENSMUSG00000038092, c68 : Cyp17a1 : En:ENSMUSG00000003555, c90 : Hsd3b5 : En:ENSMUSG00000038092, ceb : Hsd3b5 : En:ENSMUSG00000038092, d04 : Cyp17a1 : En:ENSMUSG00000003555, d0d : Hsd3b5 : En:ENSMUSG00000038092, d18 : Hsd3b5 : En:ENSMUSG00000038092, d1c : Hsd3b5 : En:ENSMUSG00000038092, d38 : Hsd3b5 : En:ENSMUSG00000038092, d3c : Hsd17b1 : En:ENSMUSG00000019301, d86 : Hsd3b5 : En:ENSMUSG00000038092, dad : Hsd3b5 : En:ENSMUSG00000038092, dc0 : Hsd17b3 : En:ENSMUSG00000033122, dcb : Hsd3b5 : En:ENSMUSG00000038092, e0d : Hsd3b5 : En:ENSMUSG00000038092, e35 : Hsd3b5 : En:ENSMUSG00000038092, e4d : Hsd3b5 : En:ENSMUSG00000038092, e69 : Hsd17b7 : En:ENSMUSG00000026675, ef5 : Hsd3b5 : En:ENSMUSG00000038092, f07 : Hsd3b5 : En:ENSMUSG00000038092, f52 : Hsd3b5 : En:ENSMUSG00000038092, fb1 : Hsd3b5 : En:ENSMUSG00000038092, fb9 : Hsd3b5 : En:ENSMUSG00000038092, abc1b : Cpn1 : En:ENSMUSG00000025196]	[]	[]	[b50 : Hydroxyprogesterone aldolase : E:4.1.2.30, f69 : Hydroxyprogesterone aldolase : E:4.1.2.30]	[]
TCA cycle in senescence (WP5050)	90.0	11	10	0	0	0	1	[a057c : Fh1 : En:ENSMUSG00000026526, add2d : Braf : En:ENSMUSG00000002413, af18c : Trp53 : En:ENSMUSG00000059552, b5ee3 : Mdh1 : En:ENSMUSG00000020321, d05a7 : Pdha1 : En:ENSMUSG00000031299, d8281 : Me2 : En:ENSMUSG00000024556, dab63 : Got1 : En:ENSMUSG00000025190, db38c : Pdp2 : En:ENSMUSG00000048371, dfc95 : Pdk1 : En:ENSMUSG00000006494, fa1a6 : Me1 : En:ENSMUSG00000032418]	[]	[]	[]	[a56a4 : AMPK : :]
