Pathway	Homology Score	Total genes	Mapped genes	Multi-mapped genes	No homology mapping genes	No mapping genes	No xref genes	mapped genes	multi-mapped genes	no homology mapping genes	no mapping genes	no xref genes
FOXA2 pathway (WP5066)	95.0	23	22	0	1	0	0	[a4688 : IRS2 : En:ENSCAFG00845018486, a6507 : APOB : En:ENSCAFG00845020315, a809b : FOXA2 : En:ENSCAFG00845027259, ab370 : PPARGC1B : En:ENSCAFG00845009130, ada54 : FASN : En:ENSCAFG00845007524, afba4 : GSTA1 : En:ENSCAFG00845009595, afc0c : ACACA : En:ENSCAFG00845007007, b22e0 : IRS1 : En:ENSCAFG00845015145, b45fc : ABCC4 : En:ENSCAFG00845008054, b4ce9 : ABCC3 : En:ENSCAFG00845014515, b7e83 : ABCC2 : En:ENSCAFG00845030901, c5c85 : MLXIPL : En:ENSCAFG00845003394, cb143 : ZBTB45 : En:ENSCAFG00845000308, d08a5 : SLCO1B3 : En:ENSCAFG00845015602, d7dc6 : SREBF1 : En:ENSCAFG00845023192, d94fb : FOXO1 : En:ENSCAFG00845024108, e6298 : GSTA2 : En:ENSCAFG00845009595, f01e6 : INS : En:ENSCAFG00845011141, f73b3 : FOXA1 : En:ENSCAFG00845002956, fcda0 : MTTP : En:ENSCAFG00845024902, ce4ba : FOXA2 : En:ENSCAFG00845027259, f7346 : INS : En:ENSCAFG00845011141]	[]	[fc7cf : GSTM2 : En:ENSG00000213366]	[]	[]
FOXP3 in COVID-19 (WP5063)	87.0	31	27	0	2	1	1	[b9eee : CD86 : En:ENSCAFG00845022561, c88f4 : IL6ST : En:ENSCAFG00845028368, e9a97 : IL6R : En:ENSCAFG00845014397, ec7ef : CD28 : En:ENSCAFG00845018097, f8f22 : CD80 : En:ENSCAFG00845016834, bc300 : IL2RB : En:ENSCAFG00845007511, f6c0b : FOXP3 : En:ENSCAFG00845025452, dbe46 : IL2RA : En:ENSCAFG00845002030, c6ad9 : FOXP3 : En:ENSCAFG00845025452, d8de6 : IL6 : En:ENSCAFG00845008825, bd0f4 : STAT3 : En:ENSCAFG00845009322, d3b3a : IL7R : En:ENSCAFG00845000499, d06a6 : IL2RG : En:ENSCAFG00845017057, a9782 : IL2 : En:ENSCAFG00845020168, fde26 : STAT5A : En:ENSCAFG00845009709, d91fa : IL2 : En:ENSCAFG00845020168, c175f : IL7R : En:ENSCAFG00845000499, b90e9 : IL2RB : En:ENSCAFG00845007511, f2e9c : IL2RA : En:ENSCAFG00845002030, dcf7b : IL2RG : En:ENSCAFG00845017057, cfeb2 : FOXP3 : En:ENSCAFG00845025452, b80c0 : FOXP3 : En:ENSCAFG00845025452, a3a45 : STAT3 : En:ENSCAFG00845009322, db807 : STAT5A : En:ENSCAFG00845009709, e7817 : IL6ST : En:ENSCAFG00845028368, fab48 : IL6R : En:ENSCAFG00845014397, b47d5 : IL6 : En:ENSCAFG00845008825]	[]	[b3743 : STAT5B : En:ENSG00000173757, b23df : STAT5B : En:ENSG00000173757]	[b9b92 : MHC-II beta : Pf:PF00969]	[beee1 : TCR : :]
Peroxisomal beta-oxidation of tetracosanoyl-CoA (WP1941)	100.0	5	5	0	0	0	0	[a3450 : HSD17B4 : En:ENSCAFG00845006702, b0960 : ACAA1 : En:ENSCAFG00845029630, cf671 : SCP2 : En:ENSCAFG00845018123, fe505 : ACOX1 : En:ENSCAFG00845021096, cbed1 : HSD17B4 : En:ENSCAFG00845006702]	[]	[]	[]	[]
Fatty acid transporters (WP5061)	83.0	84	70	0	2	12	0	[a56e9 : ACSBG1 : En:ENSCAFG00845007144, ac9f6 : ACSL1 : En:ENSCAFG00845023265, af31c : CD36 : En:ENSCAFG00845025442, b2ce9 : ACSL6 : En:ENSCAFG00845009224, b56b5 : FABP4 : En:ENSCAFG00845013478, b7197 : FABP1 : En:ENSCAFG00845013057, b7a11 : FABP5 : En:ENSCAFG00845026922, b9f7b : ACSL4 : En:ENSCAFG00845021378, ba802 : ACSBG1 : En:ENSCAFG00845007144, bf774 : FABP3 : En:ENSCAFG00845006076, c3bda : ACSL3 : En:ENSCAFG00845024588, cb2f2 : SLC27A4 : En:ENSCAFG00845029005, d96ea : DBI : En:ENSCAFG00845019111, df8f4 : FABP9 : En:ENSCAFG00845014937, e4723 : FABP3 : En:ENSCAFG00845006076, e612f : FABP2 : En:ENSCAFG00845030144, a4559 : CD36 : En:ENSCAFG00845025442, e547c : CD36 : En:ENSCAFG00845025442, ea80d : CD36 : En:ENSCAFG00845025442, b4321 : CD36 : En:ENSCAFG00845025442, cb4fb : CD36 : En:ENSCAFG00845025442, e0011 : ACSL3 : En:ENSCAFG00845024588, b767f : ACSL5 : En:ENSCAFG00845029720, aa18d : ACSL1 : En:ENSCAFG00845023265, c2954 : ACSL1 : En:ENSCAFG00845023265, a0192 : SLC27A4 : En:ENSCAFG00845029005, f9b83 : ACSL4 : En:ENSCAFG00845021378, f9c53 : ACSL5 : En:ENSCAFG00845029720, f71d9 : SLC27A4 : En:ENSCAFG00845029005, dada0 : CD36 : En:ENSCAFG00845025442, b5bbd : CD36 : En:ENSCAFG00845025442, e91cb : SLC27A4 : En:ENSCAFG00845029005, f6d56 : ACSL6 : En:ENSCAFG00845009224, c4c53 : ACSBG1 : En:ENSCAFG00845007144, f3190 : ACSL3 : En:ENSCAFG00845024588, c9ac7 : ACSBG1 : En:ENSCAFG00845007144, d5e1d : CD36 : En:ENSCAFG00845025442, a2b62 : CD36 : En:ENSCAFG00845025442, d1bc1 : ACSBG2 : En:ENSCAFG00845011716, b40e1 : FABP5 : En:ENSCAFG00845026922, e3088 : FABP1 : En:ENSCAFG00845013057, a50e0 : FABP5 : En:ENSCAFG00845026922, fdeca : FABP5 : En:ENSCAFG00845026922, e2ed8 : FABP6 : En:ENSCAFG00845001171, d31ef : FABP3 : En:ENSCAFG00845006076, daf1a : DBI : En:ENSCAFG00845019111, c431c : DBI : En:ENSCAFG00845019111, ffbf5 : DBI : En:ENSCAFG00845019111, c8499 : DBI : En:ENSCAFG00845019111, c57f6 : DBI : En:ENSCAFG00845019111, a847e : DBI : En:ENSCAFG00845019111, a821e : DBI : En:ENSCAFG00845019111, dda55 : DBI : En:ENSCAFG00845019111, a0128 : DBI : En:ENSCAFG00845019111, b52c4 : FABP3 : En:ENSCAFG00845006076, b0d67 : FABP5 : En:ENSCAFG00845026922, db9b7 : FABP5 : En:ENSCAFG00845026922, e4d86 : FABP1 : En:ENSCAFG00845013057, edc99 : FABP5 : En:ENSCAFG00845026922, c8210 : FABP6 : En:ENSCAFG00845001171, e7481 : FABP2 : En:ENSCAFG00845030144, e2e7a : FABP5 : En:ENSCAFG00845026922, de1b4 : FABP3 : En:ENSCAFG00845006076, c43e8 : FABP3 : En:ENSCAFG00845006076, ebd89 : FABP9 : En:ENSCAFG00845014937, e4f2e : FABP5 : En:ENSCAFG00845026922, aa94f : FABP3 : En:ENSCAFG00845006076, bb55d : FABP5 : En:ENSCAFG00845026922, dc1e1 : FABP3 : En:ENSCAFG00845006076, d01cf : FABP5 : En:ENSCAFG00845026922]	[]	[cc0ab : FABP7 : En:ENSG00000164434, a6a4c : FABP7 : En:ENSG00000164434]	[aa530 : SLC27A6  : H:HGNC:11000, b2acf : SLC27A2  : H:HGNC:10996, edccd : SLC27A5 : H:HGNC:10999, efa1d : FABP1 : H:HGNC:3555, f96ad : SLC27A3  : H:HGNC:10997, a712d : SLC27A1  : H:HGNC:10995, b1615 : SLC27A1  : H:HGNC:10995, dc96b : SLC27A2  : H:HGNC:10996, a102e : SLC27A3  : H:HGNC:10997, ac6d0 : SLC27A3  : H:HGNC:10997, a6eed : SLC27A3  : H:HGNC:10997, a5e65 : SLC27A3  : H:HGNC:10997]	[]
Nephrogenesis (WP5052)	94.0	19	18	0	0	1	0	[null : OSR1 : En:ENSCAFG00845017551, null : FGF20 : En:ENSCAFG00845014402, null : GREB1L : En:ENSCAFG00845016277, null : SIX2 : En:ENSCAFG00845027100, null : BMP7 : En:ENSCAFG00845029691, null : FOXD1 : En:ENSCAFG00845000688, null : TCF21 : En:ENSCAFG00845004920, null : MEIS1 : En:ENSCAFG00845022164, null : ALDH1A2 : En:ENSCAFG00845030136, null : RSPO1 : En:ENSCAFG00845030653, null : FGF8 : En:ENSCAFG00845021086, null : JAG1 : En:ENSCAFG00845024085, null : PAX2 : En:ENSCAFG00845018449, d88f8 : RSPO3 : En:ENSCAFG00845000408, e44e9 : WNT9B : En:ENSCAFG00845023985, e4683 : WNT4 : En:ENSCAFG00845000755, fd9b7 : WNT3A : En:ENSCAFG00845007960, d64ee : NOTCH2 : En:ENSCAFG00845007331]	[]	[]	[f2c27 : LHX1 : En:ENSG00000274577]	[]
Development of ureteric collection system (WP5053)	98.0	62	61	0	0	1	0	[null : CTNNB1 : En:ENSCAFG00845017609, null : ILK : En:ENSCAFG00845008689, null : GATA3 : En:ENSCAFG00845001133, null : ETV4 : En:ENSCAFG00845010762, null : FREM2 : En:ENSCAFG00845025571, null : GRIP1 : En:ENSCAFG00845013018, null : VANGL2 : En:ENSCAFG00845030473, null : CELSR1 : En:ENSCAFG00845009628, null : ROBO1 : En:ENSCAFG00845020071, null : FAT4 : En:ENSCAFG00845018366, null : LHX1 : En:ENSCAFG00845029047, null : ITGB1 : En:ENSCAFG00845002947, null : FGFR2 : En:ENSCAFG00845019372, null : ROBO2 : En:ENSCAFG00845020871, a38ea : GPC3 : En:ENSCAFG00845031100, a718e : FOXC1 : En:ENSCAFG00845016313, a77a4 : HOXD11 : En:ENSCAFG00845018802, a7bcf : BMP5 : En:ENSCAFG00845011840, a8496 : CCND1 : En:ENSCAFG00845015348, ac5fa : WT1 : En:ENSCAFG00845027359, aec12 : RARA : En:ENSCAFG00845008607, b0c84 : SHH : En:ENSCAFG00845013237, b0ec7 : RET : En:ENSCAFG00845027877, b5da3 : BMP4 : En:ENSCAFG00845004370, b72ab : GREB1L : En:ENSCAFG00845016277, b8011 : RARG : En:ENSCAFG00845021228, ba31f : PBX1 : En:ENSCAFG00845025355, ba57f : GDF11 : En:ENSCAFG00845005484, bb495 : FST : En:ENSCAFG00845000357, bc6e4 : CTDNEP1 : En:ENSCAFG00845020365, bdad2 : MYCN : En:ENSCAFG00845016124, c2092 : TGFB2 : En:ENSCAFG00845028176, c32f2 : BMPER : En:ENSCAFG00845025444, c5008 : CRIM1 : En:ENSCAFG00845017126, c7db5 : ANOS1 : En:ENSCAFG00845024786, ca8c3 : SIX1 : En:ENSCAFG00845022548, cb7ca : ITGA8 : En:ENSCAFG00845014426, cf735 : SALL1 : En:ENSCAFG00845003739, cfa0d : FRAS1 : En:ENSCAFG00845016022, dbdb3 : HNF1B : En:ENSCAFG00845008106, dda7c : SPRY1 : En:ENSCAFG00845019042, ddf68 : BMPR1A : En:ENSCAFG00845006910, e02bc : SMAD1 : En:ENSCAFG00845012104, e2c10 : BMP7 : En:ENSCAFG00845029691, e3325 : EYA1 : En:ENSCAFG00845026616, e5571 : RARB : En:ENSCAFG00845019290, e79e4 : HOXA11 : En:ENSCAFG00845016202, e8411 : SLIT2 : En:ENSCAFG00845010097, eaf6e : WNT11 : En:ENSCAFG00845010773, eb4a2 : GFRA1 : En:ENSCAFG00845030969, f0fd7 : PAX2 : En:ENSCAFG00845018449, f69bc : GDNF : En:ENSCAFG00845003744, f7577 : BMP2 : En:ENSCAFG00845027004, f8c2d : GLI1 : En:ENSCAFG00845011836, faf20 : SMO : En:ENSCAFG00845020728, fd4bd : BMPR2 : En:ENSCAFG00845015459, fe2be : GLI3 : En:ENSCAFG00845018240, null : FRAS1 : En:ENSCAFG00845016022, e6ffa : FREM1 : En:ENSCAFG00845011452, bfd18 : SIX2 : En:ENSCAFG00845027100, ac9c1 : GLI2 : En:ENSCAFG00845026918]	[]	[]	[dded6 : GREM1 : En:ENSG00000276886]	[]
Steroid biosynthesis (WP496)	91.0	37	34	0	1	2	0	[a47 : HSD17B4 : En:ENSCAFG00845006702, a4d : HSD3B2 : En:ENSCAFG00845006351, a55 : CPN1 : En:ENSCAFG00845016127, a5f : HSD17B2 : En:ENSCAFG00845017721, a9d : HSD3B2 : En:ENSCAFG00845006351, ab1 : HSD3B2 : En:ENSCAFG00845006351, b64 : HSD3B2 : En:ENSCAFG00845006351, b6a : HSD3B2 : En:ENSCAFG00845006351, b9d : F13B : En:ENSCAFG00845001160, bce : HSD3B2 : En:ENSCAFG00845006351, c11 : HSD3B2 : En:ENSCAFG00845006351, c4f : HSD3B2 : En:ENSCAFG00845006351, c68 : CYP17A1 : En:ENSCAFG00845025701, c90 : HSD3B2 : En:ENSCAFG00845006351, ceb : HSD3B2 : En:ENSCAFG00845006351, d04 : CYP17A1 : En:ENSCAFG00845025701, d0d : HSD3B2 : En:ENSCAFG00845006351, d18 : HSD3B2 : En:ENSCAFG00845006351, d1c : HSD3B2 : En:ENSCAFG00845006351, d38 : HSD3B2 : En:ENSCAFG00845006351, d3c : HSD17B1 : En:ENSCAFG00845008784, d86 : HSD3B2 : En:ENSCAFG00845006351, dad : HSD3B2 : En:ENSCAFG00845006351, dcb : HSD3B2 : En:ENSCAFG00845006351, e0d : HSD3B2 : En:ENSCAFG00845006351, e35 : HSD3B2 : En:ENSCAFG00845006351, e4d : HSD3B2 : En:ENSCAFG00845006351, e69 : HSD17B7 : En:ENSCAFG00845026233, ef5 : HSD3B2 : En:ENSCAFG00845006351, f07 : HSD3B2 : En:ENSCAFG00845006351, f52 : HSD3B2 : En:ENSCAFG00845006351, fb1 : HSD3B2 : En:ENSCAFG00845006351, fb9 : HSD3B2 : En:ENSCAFG00845006351, abc1b : CPN1 : En:ENSCAFG00845016127]	[]	[dc0 : HSD17B3 : L:3293]	[b50 : Hydroxyprogesterone aldolase : E:4.1.2.30, f69 : Hydroxyprogesterone aldolase : E:4.1.2.30]	[]
TCA cycle in senescence (WP5050)	90.0	11	10	0	0	0	1	[a057c : FH : En:ENSCAFG00845004348, add2d : BRAF : En:ENSCAFG00845031038, af18c : TP53 : En:ENSCAFG00845024647, b5ee3 : MDH1 : En:ENSCAFG00845019026, d05a7 : PDHA1 : En:ENSCAFG00845028035, d8281 : ME2 : En:ENSCAFG00845003293, dab63 : GOT1 : En:ENSCAFG00845030772, db38c : PDP2 : En:ENSCAFG00845011036, dfc95 : PDK1 : En:ENSCAFG00845028798, fa1a6 : ME1 : En:ENSCAFG00845011557]	[]	[]	[]	[a56a4 : AMPK : :]
Kynurenine pathway and links to cell senescence (WP5044)	85.0	28	24	0	0	2	2	[a05b8 : KMO : En:ENSCAFG00845004366, aa86b : IFNG : En:ENSCAFG00845013680, ac223 : IDO1 : En:ENSCAFG00845009259, b2846 : EIF2AK1 : En:ENSCAFG00845010328, b3d5f : 3-HAO : En:ENSCAFG00845025017, b6727 : NOS1 : En:ENSCAFG00845026722, d0202 : TP53 : En:ENSCAFG00845024647, d1915 : ACMSD : En:ENSCAFG00845008146, e4ee2 : FOXO1 : En:ENSCAFG00845024108, e8717 : TDO2 : En:ENSCAFG00845010812, ee1bf : KYNU : En:ENSCAFG00845013520, f30e4 : KLF5 : En:ENSCAFG00845023297, fa89f : p21 : En:ENSCAFG00845009606, fb7dd : BIRC5 : En:ENSCAFG00845014719, fe240 : QPRT : En:ENSCAFG00845014366, a5832 : KYNU : En:ENSCAFG00845013520, d4dba : AADAT : En:ENSCAFG00845028500, e35c9 : IDO2 : En:ENSCAFG00845009109, e0c55 : IFNB1 : En:ENSCAFG00845016293, cabc1 : TNF : En:ENSCAFG00845010558, d4a38 : AHR : En:ENSCAFG00845005867, fff3b : TLR4 : En:ENSCAFG00845012026, d1acf : IL1R2 : En:ENSCAFG00845010877, c37f6 : GCN2 : En:ENSCAFG00845027013]	[]	[]	[a70e2 : miR-210-3p : Mb:MIMAT0000267, e7b79 : miR-493-5p : Mb:MIMAT0002813]	[e1e70 : IDO1 promoter  : :, eac1e : TGFβ : S:]
Pentose phosphate pathway in senescent cells (WP5043)	84.0	13	11	0	0	0	2	[a65df : RPE : En:ENSCAFG00845016841, ab70f : RPE : En:ENSCAFG00845016841, ad486 : TALDO1 : En:ENSCAFG00845018137, b2c18 : TP53 : En:ENSCAFG00845024647, b3776 : PRPS1L1 : En:ENSCAFG00845006516, b5dc3 : G6PD : En:ENSCAFG00845029388, b622d : TKT : En:ENSCAFG00845028646, e801b : DERA : En:ENSCAFG00845019634, e9731 : TKT : En:ENSCAFG00845028646, fccd6 : RPIA : En:ENSCAFG00845012847, fd3d1 : PGLS : En:ENSCAFG00845027095]	[]	[]	[]	[c13fd : 6-phosphogluconolactonate dehydrogenase : Br:, e8f08 : Phosphoglucomutase : :]
