Pathway	Homology Score	Total genes	Mapped genes	Multi-mapped genes	No homology mapping genes	No mapping genes	No xref genes	mapped genes	multi-mapped genes	no homology mapping genes	no mapping genes	no xref genes
FOXA2 pathway (WP5066)	91.0	23	21	0	2	0	0	[a4688 : IRS2 : En:ENSBTAG00000012019, a6507 : APOB : En:ENSBTAG00000008505, a809b : FOXA2 : En:ENSBTAG00000012407, ab370 : PPARGC1B : En:ENSBTAG00000012943, ada54 : FASN : En:ENSBTAG00000015980, afc0c : ACACA : En:ENSBTAG00000017567, b22e0 : IRS1 : En:ENSBTAG00000021308, b45fc : ABCC4 : En:ENSBTAG00000047181, b4ce9 : ABCC3 : En:ENSBTAG00000020070, b7e83 : ABCC2 : En:ENSBTAG00000008936, c5c85 : MLXIPL : En:ENSBTAG00000009153, cb143 : SLC27A5 : En:ENSBTAG00000015164, d08a5 : SLCO1B3 : En:ENSBTAG00000022329, d7dc6 : SREBF1 : En:ENSBTAG00000007884, d94fb : FOXO1 : En:ENSBTAG00000044105, f01e6 : INS : En:ENSBTAG00000013003, f73b3 : FOXA1 : En:ENSBTAG00000013888, fc7cf : GSTM1 : En:ENSBTAG00000037673, fcda0 : MTTP : En:ENSBTAG00000011944, ce4ba : FOXA2 : En:ENSBTAG00000012407, f7346 : INS : En:ENSBTAG00000013003]	[]	[afba4 : GSTA1 : En:ENSG00000243955, e6298 : GSTA2 : En:ENSG00000244067]	[]	[]
FOXP3 in COVID-19 (WP5063)	87.0	31	27	0	2	1	1	[b9eee : CD86 : En:ENSBTAG00000013118, c88f4 : IL6ST : En:ENSBTAG00000017745, e9a97 : IL6R : En:ENSBTAG00000018474, ec7ef : CD28 : En:ENSBTAG00000007445, f8f22 : CD80 : En:ENSBTAG00000018059, bc300 : IL2RB : En:ENSBTAG00000016345, f6c0b : FOXP3 : En:ENSBTAG00000013279, dbe46 : IL2RA : En:ENSBTAG00000020892, c6ad9 : FOXP3 : En:ENSBTAG00000013279, d8de6 : IL6 : En:ENSBTAG00000014921, bd0f4 : STAT3 : En:ENSBTAG00000021523, d3b3a : IL7R : En:ENSBTAG00000019975, d06a6 : IL2RG : En:ENSBTAG00000007626, a9782 : IL2 : En:ENSBTAG00000020883, fde26 : STAT5A : En:ENSBTAG00000009496, d91fa : IL2 : En:ENSBTAG00000020883, c175f : IL7R : En:ENSBTAG00000019975, b90e9 : IL2RB : En:ENSBTAG00000016345, f2e9c : IL2RA : En:ENSBTAG00000020892, dcf7b : IL2RG : En:ENSBTAG00000007626, cfeb2 : FOXP3 : En:ENSBTAG00000013279, b80c0 : FOXP3 : En:ENSBTAG00000013279, a3a45 : STAT3 : En:ENSBTAG00000021523, db807 : STAT5A : En:ENSBTAG00000009496, e7817 : IL6ST : En:ENSBTAG00000017745, fab48 : IL6R : En:ENSBTAG00000018474, b47d5 : IL6 : En:ENSBTAG00000014921]	[]	[b3743 : STAT5B : En:ENSG00000173757, b23df : STAT5B : En:ENSG00000173757]	[b9b92 : MHC-II beta : Pf:PF00969]	[beee1 : TCR : :]
7-oxo-C and 7-beta-HC pathways (WP5064)	86.0	58	50	0	3	4	1	[c8d02 : CYP7A1 : En:ENSBTAG00000005287, ce628 : NPC1 : En:ENSBTAG00000015195, d8acd : HSD11B1 : En:ENSBTAG00000015086, f0dd5 : HSD11B2 : En:ENSBTAG00000005685, f42e2 : CYP27A1 : En:ENSBTAG00000013489, d93c2 : SLC27A5 : En:ENSBTAG00000015164, f16e6 : SLC27A2 : En:ENSBTAG00000004303, ede2e : AMACR : En:ENSBTAG00000021813, fce34 : ACOX2 : En:ENSBTAG00000004178, ff780 : DBP : En:ENSBTAG00000006754, b8436 : SCP2 : En:ENSBTAG00000003746, f3434 : DBP : En:ENSBTAG00000006754, b0361 : ACOT2 : En:ENSBTAG00000046814, d36d4 : ACOT2 : En:ENSBTAG00000046814, a650f : ACOT4 : En:ENSBTAG00000010270, a3420 : DNAL1 : En:ENSBTAG00000015930, b2f31 : ACOT7 : En:ENSBTAG00000021202, ef3e5 : ACOT8 : En:ENSBTAG00000020371, b4e8e : ACOT9 : En:ENSBTAG00000011258, ea41e : ACOT11 : En:ENSBTAG00000039686, ac1e6 : ACOT12 : En:ENSBTAG00000011110, ef31c : ACOT13 : En:ENSBTAG00000016337, ced7f : THEM5 : En:ENSBTAG00000000690, c8de2 : EPHX2 : En:ENSBTAG00000015241, b8193 : CYP27A1 : En:ENSBTAG00000013489, cd48d : SLC27A5 : En:ENSBTAG00000015164, d3a48 : SLC27A2 : En:ENSBTAG00000004303, ff065 : AMACR : En:ENSBTAG00000021813, e6239 : ACOX2 : En:ENSBTAG00000004178, ce14d : DBP : En:ENSBTAG00000006754, f9fcc : SCP2 : En:ENSBTAG00000003746, bb16c : DBP : En:ENSBTAG00000006754, e0b6f : ACOT2 : En:ENSBTAG00000046814, f8041 : ACOT2 : En:ENSBTAG00000046814, ef2be : ACOT4 : En:ENSBTAG00000010270, e4d80 : DNAL1 : En:ENSBTAG00000015930, f2d97 : ACOT7 : En:ENSBTAG00000021202, ff78a : ACOT8 : En:ENSBTAG00000020371, b4b9f : ACOT9 : En:ENSBTAG00000011258, e2bec : ACOT11 : En:ENSBTAG00000039686, bfaec : ACOT12 : En:ENSBTAG00000011110, d31d9 : ACOT13 : En:ENSBTAG00000016337, ce523 : THEM5 : En:ENSBTAG00000000690, e110d : HSD11B2 : En:ENSBTAG00000005685, ef9e7 : HSD11B1 : En:ENSBTAG00000015086, ef5ba : HSD11B2 : En:ENSBTAG00000005685, a399e : HSD11B1 : En:ENSBTAG00000015086, a3f32 : HSD11B2 : En:ENSBTAG00000005685, de27d : DHCR7 : En:ENSBTAG00000016465, ea650 : NPC2 : En:ENSBTAG00000021955]	[]	[cc0ca : BAAT : H:BAAT, d16c6 : BAAT : H:BAAT, b0a29 : D8D7I : S:Q15125]	[be891 : ACOT : E:3.1.2.2, b0e4a : ACOT7L : S:Q6ZUV0, e51c1 : ACOT : E:3.1.2.2, ffc11 : ACOT7L : S:Q6ZUV0]	[c699f : 5alpha-specific DDA synthase : :]
Peroxisomal beta-oxidation of tetracosanoyl-CoA (WP1941)	100.0	5	5	0	0	0	0	[a3450 : HSD17B4 : En:ENSBTAG00000006978, b0960 : ACAA1 : En:ENSBTAG00000018283, cf671 : SCP2 : En:ENSBTAG00000003746, fe505 : ACOX1 : En:ENSBTAG00000030174, cbed1 : HSD17B4 : En:ENSBTAG00000006978]	[]	[]	[]	[]
Fatty acid transporters (WP5061)	85.0	84	72	0	0	12	0	[a56e9 : ACSBG1 : En:ENSBTAG00000006231, ac9f6 : ACSL1 : En:ENSBTAG00000004344, af31c : CD36 : En:ENSBTAG00000014220, b2ce9 : ACSL6 : En:ENSBTAG00000019708, b56b5 : FABP4 : En:ENSBTAG00000037526, b7197 : FABP1 : En:ENSBTAG00000018054, b7a11 : FABP5 : En:ENSBTAG00000047330, b9f7b : ACSL4 : En:ENSBTAG00000018986, ba802 : ACSBG1 : En:ENSBTAG00000006231, bf774 : FABP3 : En:ENSBTAG00000046788, c3bda : ACSL3 : En:ENSBTAG00000017258, cb2f2 : SLC27A4 : En:ENSBTAG00000015436, cc0ab : FABP7 : En:ENSBTAG00000033803, d96ea : DBI : En:ENSBTAG00000009517, df8f4 : FABP9 : En:ENSBTAG00000039718, e4723 : FABP3 : En:ENSBTAG00000046788, e612f : FABP2 : En:ENSBTAG00000017045, a4559 : CD36 : En:ENSBTAG00000014220, e547c : CD36 : En:ENSBTAG00000014220, ea80d : CD36 : En:ENSBTAG00000014220, b4321 : CD36 : En:ENSBTAG00000014220, cb4fb : CD36 : En:ENSBTAG00000014220, e0011 : ACSL3 : En:ENSBTAG00000017258, b767f : ACSL5 : En:ENSBTAG00000006707, aa18d : ACSL1 : En:ENSBTAG00000004344, c2954 : ACSL1 : En:ENSBTAG00000004344, a0192 : SLC27A4 : En:ENSBTAG00000015436, f9b83 : ACSL4 : En:ENSBTAG00000018986, f9c53 : ACSL5 : En:ENSBTAG00000006707, f71d9 : SLC27A4 : En:ENSBTAG00000015436, dada0 : CD36 : En:ENSBTAG00000014220, b5bbd : CD36 : En:ENSBTAG00000014220, e91cb : SLC27A4 : En:ENSBTAG00000015436, f6d56 : ACSL6 : En:ENSBTAG00000019708, c4c53 : ACSBG1 : En:ENSBTAG00000006231, f3190 : ACSL3 : En:ENSBTAG00000017258, c9ac7 : ACSBG1 : En:ENSBTAG00000006231, d5e1d : CD36 : En:ENSBTAG00000014220, a2b62 : CD36 : En:ENSBTAG00000014220, d1bc1 : ACSBG2 : En:ENSBTAG00000049278, b40e1 : FABP5 : En:ENSBTAG00000047330, e3088 : FABP1 : En:ENSBTAG00000018054, a50e0 : FABP5 : En:ENSBTAG00000047330, fdeca : FABP5 : En:ENSBTAG00000047330, e2ed8 : FABP6 : En:ENSBTAG00000010632, d31ef : FABP3 : En:ENSBTAG00000046788, daf1a : DBI : En:ENSBTAG00000009517, c431c : DBI : En:ENSBTAG00000009517, ffbf5 : DBI : En:ENSBTAG00000009517, c8499 : DBI : En:ENSBTAG00000009517, c57f6 : DBI : En:ENSBTAG00000009517, a847e : DBI : En:ENSBTAG00000009517, a821e : DBI : En:ENSBTAG00000009517, dda55 : DBI : En:ENSBTAG00000009517, a0128 : DBI : En:ENSBTAG00000009517, b52c4 : FABP3 : En:ENSBTAG00000046788, b0d67 : FABP5 : En:ENSBTAG00000047330, db9b7 : FABP5 : En:ENSBTAG00000047330, e4d86 : FABP1 : En:ENSBTAG00000018054, edc99 : FABP5 : En:ENSBTAG00000047330, c8210 : FABP6 : En:ENSBTAG00000010632, e7481 : FABP2 : En:ENSBTAG00000017045, e2e7a : FABP5 : En:ENSBTAG00000047330, de1b4 : FABP3 : En:ENSBTAG00000046788, c43e8 : FABP3 : En:ENSBTAG00000046788, a6a4c : FABP7 : En:ENSBTAG00000033803, ebd89 : FABP9 : En:ENSBTAG00000039718, e4f2e : FABP5 : En:ENSBTAG00000047330, aa94f : FABP3 : En:ENSBTAG00000046788, bb55d : FABP5 : En:ENSBTAG00000047330, dc1e1 : FABP3 : En:ENSBTAG00000046788, d01cf : FABP5 : En:ENSBTAG00000047330]	[]	[]	[aa530 : SLC27A6  : H:HGNC:11000, b2acf : SLC27A2  : H:HGNC:10996, edccd : SLC27A5 : H:HGNC:10999, efa1d : FABP1 : H:HGNC:3555, f96ad : SLC27A3  : H:HGNC:10997, a712d : SLC27A1  : H:HGNC:10995, b1615 : SLC27A1  : H:HGNC:10995, dc96b : SLC27A2  : H:HGNC:10996, a102e : SLC27A3  : H:HGNC:10997, ac6d0 : SLC27A3  : H:HGNC:10997, a6eed : SLC27A3  : H:HGNC:10997, a5e65 : SLC27A3  : H:HGNC:10997]	[]
Nephrogenesis (WP5052)	89.0	19	17	0	1	1	0	[null : OSR1 : En:ENSBTAG00000008113, null : FGF20 : En:ENSBTAG00000044043, null : GREB1L : En:ENSBTAG00000008275, null : SIX2 : En:ENSBTAG00000004159, null : BMP7 : En:ENSBTAG00000015362, null : TCF21 : En:ENSBTAG00000021827, null : MEIS1 : En:ENSBTAG00000008448, null : ALDH1A2 : En:ENSBTAG00000010119, null : RSPO1 : En:ENSBTAG00000003837, null : FGF8 : En:ENSBTAG00000001530, null : JAG1 : En:ENSBTAG00000012817, null : PAX2 : En:ENSBTAG00000021566, d88f8 : RSPO3 : En:ENSBTAG00000008121, e44e9 : WNT9B : En:ENSBTAG00000002664, e4683 : WNT4 : En:ENSBTAG00000051083, fd9b7 : WNT3A : En:ENSBTAG00000039397, d64ee : NOTCH2 : En:ENSBTAG00000007909]	[]	[null : FOXD1 : En:ENSG00000251493]	[f2c27 : LHX1 : En:ENSG00000274577]	[]
Development of ureteric collection system (WP5053)	98.0	62	61	0	0	1	0	[null : CTNNB1 : En:ENSBTAG00000016420, null : ILK : En:ENSBTAG00000000696, null : GATA3 : En:ENSBTAG00000017243, null : ETV4 : En:ENSBTAG00000008333, null : FREM2 : En:ENSBTAG00000017032, null : GRIP1 : En:ENSBTAG00000033726, null : VANGL2 : En:ENSBTAG00000006560, null : CELSR1 : En:ENSBTAG00000008036, null : ROBO1 : En:ENSBTAG00000009851, null : FAT4 : En:ENSBTAG00000003345, null : LHX1 : En:ENSBTAG00000033562, null : ITGB1 : En:ENSBTAG00000015910, null : FGFR2 : En:ENSBTAG00000014064, null : ROBO2 : En:ENSBTAG00000010462, a38ea : GPC3 : En:ENSBTAG00000020406, a718e : FOXC1 : En:ENSBTAG00000050875, a77a4 : HOXD11 : En:ENSBTAG00000033330, a7bcf : BMP5 : En:ENSBTAG00000012870, a8496 : CCND1 : En:ENSBTAG00000017514, ac5fa : WT1 : En:ENSBTAG00000047268, aec12 : RARA : En:ENSBTAG00000012500, b0c84 : SHH : En:ENSBTAG00000024552, b0ec7 : RET : En:ENSBTAG00000000570, b5da3 : BMP4 : En:ENSBTAG00000003835, b72ab : GREB1L : En:ENSBTAG00000008275, b8011 : RARG : En:ENSBTAG00000007592, ba31f : PBX1 : En:ENSBTAG00000013801, ba57f : GDF11 : En:ENSBTAG00000007417, bb495 : FST : En:ENSBTAG00000003329, bc6e4 : CTDNEP1 : En:ENSBTAG00000019443, bdad2 : MYCN : En:ENSBTAG00000023372, c2092 : TGFB2 : En:ENSBTAG00000005359, c32f2 : BMPER : En:ENSBTAG00000010866, c5008 : CRIM1 : En:ENSBTAG00000009020, c7db5 : ANOS1 : En:ENSBTAG00000001049, ca8c3 : SIX1 : En:ENSBTAG00000012139, cb7ca : ITGA8 : En:ENSBTAG00000007602, cf735 : SALL1 : En:ENSBTAG00000008544, cfa0d : FRAS1 : En:ENSBTAG00000010716, dbdb3 : HNF1B : En:ENSBTAG00000004710, dda7c : SPRY1 : En:ENSBTAG00000021245, ddf68 : BMPR1A : En:ENSBTAG00000000231, e02bc : SMAD1 : En:ENSBTAG00000002835, e2c10 : BMP7 : En:ENSBTAG00000015362, e3325 : EYA1 : En:ENSBTAG00000011298, e5571 : RARB : En:ENSBTAG00000011518, e79e4 : HOXA11 : En:ENSBTAG00000014738, e8411 : SLIT2 : En:ENSBTAG00000005108, eaf6e : WNT11 : En:ENSBTAG00000010820, eb4a2 : GFRA1 : En:ENSBTAG00000019297, f0fd7 : PAX2 : En:ENSBTAG00000021566, f69bc : GDNF : En:ENSBTAG00000005176, f7577 : BMP2 : En:ENSBTAG00000005111, f8c2d : GLI1 : En:ENSBTAG00000006631, faf20 : SMO : En:ENSBTAG00000013287, fd4bd : BMPR2 : En:ENSBTAG00000006420, fe2be : GLI3 : En:ENSBTAG00000010671, null : FRAS1 : En:ENSBTAG00000010716, e6ffa : FREM1 : En:ENSBTAG00000020141, bfd18 : SIX2 : En:ENSBTAG00000004159, ac9c1 : GLI2 : En:ENSBTAG00000011682]	[]	[]	[dded6 : GREM1 : En:ENSG00000276886]	[]
Steroid biosynthesis (WP496)	94.0	37	35	0	0	2	0	[a47 : HSD17B4 : En:ENSBTAG00000006978, a4d : HSD3B1 : En:ENSBTAG00000006769, a55 : CPN1 : En:ENSBTAG00000023941, a5f : HSD17B2 : En:ENSBTAG00000003234, a9d : HSD3B1 : En:ENSBTAG00000006769, ab1 : HSD3B1 : En:ENSBTAG00000006769, b64 : HSD3B1 : En:ENSBTAG00000006769, b6a : HSD3B1 : En:ENSBTAG00000006769, b9d : F13B : En:ENSBTAG00000000070, bce : HSD3B1 : En:ENSBTAG00000006769, c11 : HSD3B1 : En:ENSBTAG00000006769, c4f : HSD3B1 : En:ENSBTAG00000006769, c68 : CYP17A1 : En:ENSBTAG00000054516, c90 : HSD3B1 : En:ENSBTAG00000006769, ceb : HSD3B1 : En:ENSBTAG00000006769, d04 : CYP17A1 : En:ENSBTAG00000054516, d0d : HSD3B1 : En:ENSBTAG00000006769, d18 : HSD3B1 : En:ENSBTAG00000006769, d1c : HSD3B1 : En:ENSBTAG00000006769, d38 : HSD3B1 : En:ENSBTAG00000006769, d3c : HSD17B1 : En:ENSBTAG00000047604, d86 : HSD3B1 : En:ENSBTAG00000006769, dad : HSD3B1 : En:ENSBTAG00000006769, dc0 : HSD17B3 : En:ENSBTAG00000016867, dcb : HSD3B1 : En:ENSBTAG00000006769, e0d : HSD3B1 : En:ENSBTAG00000006769, e35 : HSD3B1 : En:ENSBTAG00000006769, e4d : HSD3B1 : En:ENSBTAG00000006769, e69 : HSD17B7 : En:ENSBTAG00000005976, ef5 : HSD3B1 : En:ENSBTAG00000006769, f07 : HSD3B1 : En:ENSBTAG00000006769, f52 : HSD3B1 : En:ENSBTAG00000006769, fb1 : HSD3B1 : En:ENSBTAG00000006769, fb9 : HSD3B1 : En:ENSBTAG00000006769, abc1b : CPN1 : En:ENSBTAG00000023941]	[]	[]	[b50 : Hydroxyprogesterone aldolase : E:4.1.2.30, f69 : Hydroxyprogesterone aldolase : E:4.1.2.30]	[]
TCA cycle in senescence (WP5050)	90.0	11	10	0	0	0	1	[a057c : FH : En:ENSBTAG00000021688, add2d : BRAF : En:ENSBTAG00000021761, af18c : TP53 : En:ENSBTAG00000001069, b5ee3 : MDH1 : En:ENSBTAG00000019295, d05a7 : PDHA1 : En:ENSBTAG00000019852, d8281 : ME2 : En:ENSBTAG00000016269, dab63 : GOT1 : En:ENSBTAG00000011960, db38c : PDP2 : En:ENSBTAG00000046708, dfc95 : PDK1 : En:ENSBTAG00000016836, fa1a6 : ME1 : En:ENSBTAG00000005681]	[]	[]	[]	[a56a4 : AMPK : :]
Immune response to tuberculosis (WP4197)	87.0	47	41	0	2	0	4	[a2d99 : IRF9 : En:ENSBTAG00000005816, ab622 : PSMB8 : En:ENSBTAG00000003039, aea67 : OAS1X : En:ENSBTAG00000053807, b1b9d : MX1 : En:ENSBTAG00000030913, bc85a : IRF1 : En:ENSBTAG00000031231, bdfa2 : SOCS1 : En:ENSBTAG00000004386, bfa49 : STAT1 : En:ENSBTAG00000007867, bfeee : PIAS1 : En:ENSBTAG00000005564, c001a : STAT1 : En:ENSBTAG00000007867, c292f : IFITM1 : En:ENSBTAG00000048470, c3ca9 : IRF9 : En:ENSBTAG00000005816, c454d : PSMB8 : En:ENSBTAG00000003039, c8726 : IFNGR1 : En:ENSBTAG00000012544, c8cd1 : IRF9 : En:ENSBTAG00000005816, cec9e : PTPN2 : En:ENSBTAG00000010563, d36c0 : TAP1 : En:ENSBTAG00000008953, d807b : IFI35 : En:ENSBTAG00000007389, d9a96 : IFIT1 : En:ENSBTAG00000007881, df84d : IFITM1 : En:ENSBTAG00000048470, e30c3 : IFI35 : En:ENSBTAG00000007389, e7b35 : TYK2 : En:ENSBTAG00000011698, eb10a : JAK1 : En:ENSBTAG00000003147, f6a13 : IFIT3 : En:ENSBTAG00000009768, ffea2 : STAT1 : En:ENSBTAG00000007867, dc499 : STAT1 : En:ENSBTAG00000007867, cfcee : STAT1 : En:ENSBTAG00000007867, e44a9 : STAT1 : En:ENSBTAG00000007867, f3711 : STAT2 : En:ENSBTAG00000004380, fbb52 : STAT1 : En:ENSBTAG00000007867, a4f96 : STAT2 : En:ENSBTAG00000004380, e08b5 : PTPN2 : En:ENSBTAG00000010563, f0122 : JAK1 : En:ENSBTAG00000003147, c6917 : JAK1 : En:ENSBTAG00000003147, d05a6 : STAT1 : En:ENSBTAG00000007867, ec48d : STAT2 : En:ENSBTAG00000004380, f9601 : PTPN2 : En:ENSBTAG00000010563, d0510 : IFNGR2 : En:ENSBTAG00000012899, a1e4e : IFNGR1 : En:ENSBTAG00000012544, bc367 : IFNGR2 : En:ENSBTAG00000012899, e58c2 : IFNAR1 : En:ENSBTAG00000021819, b1123 : IFNAR2 : En:ENSBTAG00000015212]	[]	[e9cd1 : JAK2 : En:ENSG00000096968, f61c4 : JAK2 : En:ENSG00000096968]	[]	[a87b3 : IFNG : :, bea1c : GIP2 : :, f6872 : GIP3 : :, daf8b : IFNa/IFNb : :]
