Label	Type	ID	Database	Comment
NDUFAF6 	Protein	Q330K2	Uniprot-TrEMBL	
FMN 	Metabolite	CHEBI:17621	ChEBI	
GDP 	Metabolite	CHEBI:17552	ChEBI	
FADH2 	Metabolite	CHEBI:17877	ChEBI	
NDUFA2 	Protein	O43678	Uniprot-TrEMBL	
NDUFA5 	Protein	Q16718	Uniprot-TrEMBL	
NDUFB8 	Protein	O95169	Uniprot-TrEMBL	
FMN 	Metabolite	CHEBI:17621	ChEBI	
FMN 	Metabolite	CHEBI:17621	ChEBI	
COX14 	Protein	Q96I36	Uniprot-TrEMBL	
Heme 1 cytochrome c1 cofactor 	Unknown	R-ALL-164585	Reactome	
NDUFAF6	Protein	Q330K2	Uniprot-TrEMBL	
NDUFA7 	Protein	O95182	Uniprot-TrEMBL	
NDUFB10 	Protein	O96000	Uniprot-TrEMBL	
MT-ND3 	Protein	P03897	Uniprot-TrEMBL	
ETFB 	Protein	P38117	Uniprot-TrEMBL	
NDUFA1 	Protein	O15239	Uniprot-TrEMBL	
NDUFA3 	Protein	O95167	Uniprot-TrEMBL	
NDUFB5 	Protein	O43674	Uniprot-TrEMBL	
ATP5E 	Protein	P56381	Uniprot-TrEMBL	
ATP5O 	Protein	P48047	Uniprot-TrEMBL	
NDUFB6 	Protein	O95139	Uniprot-TrEMBL	
ATP5C1 	Protein	P36542	Uniprot-TrEMBL	
ATP5G2 	Protein	Q06055	Uniprot-TrEMBL	
H+	Metabolite	CHEBI:15378	ChEBI	
MT-ND1 	Protein	P03886	Uniprot-TrEMBL	
ATP5L 	Protein	O75964	Uniprot-TrEMBL	
NDUFAF3 	Protein	Q9BU61	Uniprot-TrEMBL	
NDUFB4 	Protein	O95168	Uniprot-TrEMBL	
SLC25A27 	Protein	O95847	Uniprot-TrEMBL	
NDUFA6 	Protein	P56556	Uniprot-TrEMBL	
NDUFAF4 	Protein	Q9P032	Uniprot-TrEMBL	
NDUFS3 	Protein	O75489	Uniprot-TrEMBL	
UQCRC1 	Protein	P31930	Uniprot-TrEMBL	
MT-CO1 	Protein	P00395	Uniprot-TrEMBL	
H2O	Metabolite	CHEBI:15377	ChEBI	
COX8A 	Protein	P10176	Uniprot-TrEMBL	
NDUFA13 	Protein	Q9P0J0	Uniprot-TrEMBL	
ATP5A1 	Protein	P25705	Uniprot-TrEMBL	
H+	Metabolite	CHEBI:15378	ChEBI	
NDUFB5 	Protein	O43674	Uniprot-TrEMBL	
NDUFB2 	Protein	O95178	Uniprot-TrEMBL	
ATP5O 	Protein	P48047	Uniprot-TrEMBL	
NDUFAF7 	Protein	Q7L592	Uniprot-TrEMBL	
NDUFV1 	Protein	P49821	Uniprot-TrEMBL	
MT-ND5 	Protein	P03915	Uniprot-TrEMBL	
ETF:FAD	Complex	R-HSA-169267	Reactome	
MT-ND2 	Protein	P03891	Uniprot-TrEMBL	
NDUFB1 	Protein	O75438	Uniprot-TrEMBL	
FAD 	Metabolite	CHEBI:16238	ChEBI	
H+	Metabolite	CHEBI:15378	ChEBI	
NDUFAF6 	Protein	Q330K2	Uniprot-TrEMBL	
NDUFC1 	Protein	O43677	Uniprot-TrEMBL	
Heme bL 	Unknown	R-ALL-164657	Reactome	
H2O	Metabolite	CHEBI:15377	ChEBI	
4Fe-4S 	Unknown	R-ALL-169274	Reactome	
COX4I1 	Protein	P13073	Uniprot-TrEMBL	
SLC25A14 	Protein	O95258	Uniprot-TrEMBL	
COX5B 	Protein	P10606	Uniprot-TrEMBL	
NDUFS6 	Protein	O75380	Uniprot-TrEMBL	
NDUFA10 	Protein	O95299	Uniprot-TrEMBL	
NDUFAF6 	Protein	Q330K2	Uniprot-TrEMBL	
H+	Metabolite	CHEBI:15378	ChEBI	
Pi	Metabolite	CHEBI:43474	ChEBI	
FAD 	Metabolite	CHEBI:16238	ChEBI	
ECSIT 	Protein	Q9BQ95	Uniprot-TrEMBL	
FA anion:UCP dimer
"head-in" complex	Complex	R-HSA-166218	Reactome	
ATP5L 	Protein	O75964	Uniprot-TrEMBL	
SDHC 	Protein	Q99643	Uniprot-TrEMBL	
Heme 2 cytochrome c1 cofactor 	Unknown	R-ALL-164586	Reactome	
NDUFA3 	Protein	O95167	Uniprot-TrEMBL	
NDUFS8 	Protein	O00217	Uniprot-TrEMBL	
4Fe-4S 	Unknown	R-ALL-169274	Reactome	
370 kDa subcomplex	Complex	R-HSA-6799190	Reactome	
315kDa subcomplex	Complex	R-HSA-6799189	Reactome	
Cytochrome c
(oxidised)	Complex	R-HSA-352607	Reactome	
NDUFA10 	Protein	O95299	Uniprot-TrEMBL	
NDUFS2 	Protein	O75306	Uniprot-TrEMBL	
MT-ND2	Protein	P03891	Uniprot-TrEMBL	
UCP1 	Protein	P25874	Uniprot-TrEMBL	
SLC25A14 	Protein	O95258	Uniprot-TrEMBL	
NDUFB5 	Protein	O43674	Uniprot-TrEMBL	
MT-ATP8 	Protein	P03928	Uniprot-TrEMBL	
MT-ND4	Protein	P03905	Uniprot-TrEMBL	
NDUFA6 	Protein	P56556	Uniprot-TrEMBL	
FAD 	Metabolite	CHEBI:16238	ChEBI	
MT-ND5 	Protein	P03915	Uniprot-TrEMBL	
COX7A2L 	Protein	O14548	Uniprot-TrEMBL	
NDUFC2 	Protein	O95298	Uniprot-TrEMBL	
H+	Metabolite	CHEBI:15378	ChEBI	
