Gene stable ID	Gene name
ENSBTAG00000006648	
ENSBTAG00000049697	5S_rRNA
ENSBTAG00000047028	5S_rRNA
ENSBTAG00000053686	5S_rRNA
ENSBTAG00000054829	
ENSBTAG00000046619	5S_rRNA
ENSBTAG00000001753	
ENSBTAG00000045402	
ENSBTAG00000046015	
ENSBTAG00000043654	U6
ENSBTAG00000043295	SNORA13
ENSBTAG00000042741	SNORD104
ENSBTAG00000050969	
ENSBTAG00000052378	
ENSBTAG00000012375	KLHL9
ENSBTAG00000021251	RIPK4
ENSBTAG00000020516	
ENSBTAG00000025434	ZFP36L1
ENSBTAG00000017421	SLC3A1
ENSBTAG00000018645	DLX5
ENSBTAG00000042398	
ENSBTAG00000052685	SNORA50C
ENSBTAG00000017790	B9D1
ENSBTAG00000015741	
ENSBTAG00000021325	SLC19A3
ENSBTAG00000044350	
ENSBTAG00000024453	RD3
ENSBTAG00000050601	
ENSBTAG00000010414	DMRTA2
ENSBTAG00000019227	
ENSBTAG00000045142	U6
ENSBTAG00000005603	CXCL11
ENSBTAG00000018642	RCCD1
ENSBTAG00000053156	ISCA1
ENSBTAG00000044169	PRELID2
ENSBTAG00000013315	ATP5F1B
ENSBTAG00000001164	ACAD10
ENSBTAG00000007316	NDST3
ENSBTAG00000020035	RCAN1
ENSBTAG00000051430	
ENSBTAG00000046443	IFNAG
ENSBTAG00000050420	
ENSBTAG00000004723	TEX2
ENSBTAG00000054432	
ENSBTAG00000000682	
ENSBTAG00000035868	
ENSBTAG00000035966	GRXCR2
ENSBTAG00000029918	MIR99B
ENSBTAG00000018639	UNC45A
ENSBTAG00000012020	TRAF5
ENSBTAG00000011338	NREP
ENSBTAG00000006560	VANGL2
ENSBTAG00000050194	
ENSBTAG00000007127	
ENSBTAG00000054132	
ENSBTAG00000010955	NUP54
ENSBTAG00000017429	PREPL
ENSBTAG00000034844	
ENSBTAG00000001737	TUT7
ENSBTAG00000020040	LPCAT4
ENSBTAG00000021046	ELAVL4
ENSBTAG00000029880	MIRLET7E
ENSBTAG00000029844	bta-mir-125a
ENSBTAG00000048541	
ENSBTAG00000052475	
ENSBTAG00000048204	SPACA6
ENSBTAG00000006762	SH3RF2
ENSBTAG00000021326	CCL20
ENSBTAG00000018255	ACTN1
ENSBTAG00000040564	
ENSBTAG00000043048	SNORD59A
ENSBTAG00000005540	
ENSBTAG00000004334	NCSTN
ENSBTAG00000014099	YTHDC2
ENSBTAG00000043226	
ENSBTAG00000042677	bta-mir-677
ENSBTAG00000049930	bta-mir-677
ENSBTAG00000017840	BAZ2A
ENSBTAG00000032519	CAMKMT
ENSBTAG00000015925	SDHAF3
ENSBTAG00000001150	KCNE1
ENSBTAG00000021327	DAW1
ENSBTAG00000017771	EPN2
ENSBTAG00000012066	PECAM1
ENSBTAG00000048331	
ENSBTAG00000051854	
ENSBTAG00000034849	
ENSBTAG00000044067	PLAC8L1
ENSBTAG00000010956	SCARB2
ENSBTAG00000054611	bta-mir-12018
ENSBTAG00000017830	RBMS2
ENSBTAG00000026259	
ENSBTAG00000045185	7SK
ENSBTAG00000052859	
ENSBTAG00000053149	
ENSBTAG00000052120	
ENSBTAG00000051226	
