Gene stable ID	Gene name
ENSCAFG00845000002	PHLPP1
ENSCAFG00845000003	
ENSCAFG00845000004	
ENSCAFG00845000005	
ENSCAFG00845000006	
ENSCAFG00845000007	RMND1
ENSCAFG00845000008	ENPP1
ENSCAFG00845000009	CLVS2
ENSCAFG00845000010	
ENSCAFG00845000011	U4
ENSCAFG00845000012	
ENSCAFG00845000013	
ENSCAFG00845000014	ARMT1
ENSCAFG00845000015	
ENSCAFG00845000016	ZCCHC2
ENSCAFG00845000017	
ENSCAFG00845000018	
ENSCAFG00845000019	
ENSCAFG00845000020	CCDC170
ENSCAFG00845000021	ADNP2
ENSCAFG00845000022	
ENSCAFG00845000023	
ENSCAFG00845000024	RBFA
ENSCAFG00845000025	
ENSCAFG00845000026	TXNL4A
ENSCAFG00845000027	
ENSCAFG00845000028	ESR1
ENSCAFG00845000029	TRDN
ENSCAFG00845000030	HSBP1L1
ENSCAFG00845000031	
ENSCAFG00845000032	TNFRSF11A
ENSCAFG00845000033	
ENSCAFG00845000034	
ENSCAFG00845000035	
ENSCAFG00845000036	RELCH
ENSCAFG00845000037	
ENSCAFG00845000038	U6
ENSCAFG00845000039	U4
ENSCAFG00845000040	ANXA1
ENSCAFG00845000041	NKAIN2
ENSCAFG00845000042	ALDH1A1
ENSCAFG00845000043	SYNE1
ENSCAFG00845000044	RNF217
ENSCAFG00845000045	CTDP1
ENSCAFG00845000046	TMC1
ENSCAFG00845000047	
ENSCAFG00845000048	TPD52L1
ENSCAFG00845000049	
ENSCAFG00845000050	
ENSCAFG00845000051	
ENSCAFG00845000052	U6
ENSCAFG00845000053	
ENSCAFG00845000054	
ENSCAFG00845000055	
ENSCAFG00845000056	ZFAND5
ENSCAFG00845000057	
ENSCAFG00845000058	
ENSCAFG00845000059	
ENSCAFG00845000060	
ENSCAFG00845000061	
ENSCAFG00845000062	
ENSCAFG00845000063	
ENSCAFG00845000064	NOL8
ENSCAFG00845000065	
ENSCAFG00845000066	HDDC2
ENSCAFG00845000067	
ENSCAFG00845000068	PIGN
ENSCAFG00845000069	GDA
ENSCAFG00845000070	OR6Z1
ENSCAFG00845000071	
ENSCAFG00845000072	U6
ENSCAFG00845000073	NFATC1
ENSCAFG00845000074	
ENSCAFG00845000075	U2
ENSCAFG00845000076	
ENSCAFG00845000077	MYCT1
ENSCAFG00845000078	ZNF428
ENSCAFG00845000079	SNORA70
ENSCAFG00845000080	
ENSCAFG00845000081	
ENSCAFG00845000082	OR6Z1
ENSCAFG00845000083	
ENSCAFG00845000084	SRRM5
ENSCAFG00845000085	VIP
ENSCAFG00845000086	KCTD15
ENSCAFG00845000087	
ENSCAFG00845000088	ZNF576
ENSCAFG00845000089	HEY2
ENSCAFG00845000090	DKKL1
ENSCAFG00845000091	
ENSCAFG00845000092	IARS1
ENSCAFG00845000093	U6
ENSCAFG00845000094	
ENSCAFG00845000095	
ENSCAFG00845000096	
ENSCAFG00845000097	IRGQ
ENSCAFG00845000098	CHST8
ENSCAFG00845000099	C1H9orf85
ENSCAFG00845000100	
ENSCAFG00845000101	
ENSCAFG00845000102	
ENSCAFG00845000103	
ENSCAFG00845000104	FBXO5
ENSCAFG00845000105	
ENSCAFG00845000106	
ENSCAFG00845000107	
ENSCAFG00845000108	PINLYP
ENSCAFG00845000109	
ENSCAFG00845000110	
ENSCAFG00845000111	TEAD2
ENSCAFG00845000112	
ENSCAFG00845000113	ZNF529
ENSCAFG00845000114	
ENSCAFG00845000115	
ENSCAFG00845000116	
ENSCAFG00845000117	
ENSCAFG00845000118	
ENSCAFG00845000119	
ENSCAFG00845000120	MTRF1L
ENSCAFG00845000121	
ENSCAFG00845000122	
ENSCAFG00845000123	ABHD17B
ENSCAFG00845000124	
ENSCAFG00845000125	
ENSCAFG00845000126	ZNF382
ENSCAFG00845000127	U4
ENSCAFG00845000128	PEPD
ENSCAFG00845000129	CDH20
ENSCAFG00845000130	ADARB2
ENSCAFG00845000131	U6
ENSCAFG00845000132	
ENSCAFG00845000133	ZNF484
ENSCAFG00845000134	ATP9B
ENSCAFG00845000135	XRCC1
ENSCAFG00845000136	
ENSCAFG00845000137	
ENSCAFG00845000138	ZNF71
ENSCAFG00845000139	NCOA7
ENSCAFG00845000140	
ENSCAFG00845000141	RGS17
ENSCAFG00845000142	
ENSCAFG00845000143	
ENSCAFG00845000144	
ENSCAFG00845000145	MFSD14B
ENSCAFG00845000146	
ENSCAFG00845000147	
ENSCAFG00845000148	
ENSCAFG00845000149	
