Gene stable ID	Gene name
ENSDARG00000063344	fam162a
ENSDARG00000097685	si:ch211-235i11.3
ENSDARG00000036008	caly
ENSDARG00000069301	tmem177
ENSDARG00000104901	ostc
ENSDARG00000031836	vps37c
ENSDARG00000103391	rab9b
ENSDARG00000030463	tppp3
ENSDARG00000103031	znf1029
ENSDARG00000070447	slc39a9
ENSDARG00000080018	kif16bb
ENSDARG00000036109	mtx1b
ENSDARG00000029612	gpkow
ENSDARG00000075759	samd4a
ENSDARG00000068484	CABZ01100185.1
ENSDARG00000057635	wdr34
ENSDARG00000032737	gria3a
ENSDARG00000053517	EML5
ENSDARG00000111826	zgc:174354
ENSDARG00000098335	BX537137.2
ENSDARG00000092715	CR847503.1
ENSDARG00000095834	AL954317.1
ENSDARG00000015793	creb3l1
ENSDARG00000044573	cdc42
ENSDARG00000025206	syt2a
ENSDARG00000042189	tspan33b
ENSDARG00000076270	adamts13
ENSDARG00000045415	gnal
ENSDARG00000100099	si:dkey-238o14.1
ENSDARG00000087916	tmem240a
ENSDARG00000023058	foxo3a
ENSDARG00000100738	osmr
ENSDARG00000097888	BX293559.1
ENSDARG00000067711	parvg
ENSDARG00000091834	si:ch211-198m17.1
ENSDARG00000068468	dnah3
ENSDARG00000101806	or104-1
ENSDARG00000105445	CR769769.2
ENSDARG00000078805	ap5b1
ENSDARG00000058893	nhej1
ENSDARG00000088881	si:dkeyp-69b9.3
ENSDARG00000095893	si:dkey-85n7.7
ENSDARG00000062376	nlgn3b
ENSDARG00000039490	pitpnaa
ENSDARG00000020986	ctu1
ENSDARG00000098626	nitr12
ENSDARG00000089187	wfdc2
ENSDARG00000101165	si:dkey-157e10.8
ENSDARG00000003175	stx5al
ENSDARG00000074846	si:dkeyp-68b7.12
ENSDARG00000026759	ldlrb
ENSDARG00000098213	BX465836.1
ENSDARG00000033099	kif7
ENSDARG00000096970	BX119902.2
ENSDARG00000024184	narf
ENSDARG00000076901	CR376751.1
ENSDARG00000009341	nrap
ENSDARG00000100546	or108-2
ENSDARG00000090804	gpr155a
ENSDARG00000016977	snx27b
ENSDARG00000058538	alcamb
ENSDARG00000102175	hamp
ENSDARG00000018153	nt5c1ba
ENSDARG00000054533	araf
ENSDARG00000092243	BX005065.1
ENSDARG00000038154	isca2
ENSDARG00000036420	si:dkey-33c9.6
ENSDARG00000098726	rptor
ENSDARG00000098677	zgc:174180
ENSDARG00000096511	BX842692.1
ENSDARG00000037652	C1H7orf26
ENSDARG00000027963	camkva
ENSDARG00000097726	si:ch211-149e23.4
ENSDARG00000105456	FO834831.1
ENSDARG00000095680	AL845324.2
ENSDARG00000011821	plod2
ENSDARG00000095576	si:ch211-122l14.7
ENSDARG00000035875	tmem54b
ENSDARG00000057074	rpgrb
ENSDARG00000075181	crfb16
ENSDARG00000077950	tor1
ENSDARG00000079355	flrt2
ENSDARG00000044251	rasgef1bb
ENSDARG00000096398	si:ch211-276a17.5
ENSDARG00000003144	pxmp2
ENSDARG00000016968	tmem214
ENSDARG00000090063	fa2h
ENSDARG00000033789	ndufb7
ENSDARG00000017522	ctdp1
ENSDARG00000077860	ankhd1
ENSDARG00000097025	CR354383.1
ENSDARG00000052097	trim35-31
ENSDARG00000098675	traj55
ENSDARG00000045015	cyp27b1
ENSDARG00000101490	si:ch73-281i18.6
ENSDARG00000008100	slc7a10a
ENSDARG00000041340	mrpl51
ENSDARG00000087757	pimr190
ENSDARG00000110990	BX908796.2
ENSDARG00000092491	si:dkey-149i17.8
ENSDARG00000045873	frs2a
ENSDARG00000088072	usp43b
ENSDARG00000096208	si:dkeyp-100h4.8
ENSDARG00000070874	asmt2
ENSDARG00000105588	CU464087.1
ENSDARG00000075339	ipp
ENSDARG00000045641	usp3
ENSDARG00000103025	hmgcs1
ENSDARG00000061439	ugt5c3
ENSDARG00000102553	traj6
ENSDARG00000104269	si:ch211-271d10.2
ENSDARG00000052520	sgms2a
ENSDARG00000018542	hapln4
ENSDARG00000074253	olig3
ENSDARG00000078768	abhd15a
ENSDARG00000100858	zgc:171695
ENSDARG00000062357	tafa1a
ENSDARG00000019135	ankef1a
ENSDARG00000068711	crfb4
ENSDARG00000043002	vmo1a
ENSDARG00000090854	lsm11
ENSDARG00000056683	cdk5
ENSDARG00000098676	CU467043.1
ENSDARG00000012446	zgc:113057
ENSDARG00000078567	lonrf1l
ENSDARG00000021444	prf1.2
ENSDARG00000029263	hoxb3a
ENSDARG00000030472	slc16a5a
ENSDARG00000042515	gpr176
ENSDARG00000042018	fhl2a
ENSDARG00000036943	golph3l
ENSDARG00000015476	iqch
ENSDARG00000089954	si:ch211-189e2.3
ENSDARG00000002355	shpk
