Gene stable ID	Gene name
ENSRNOG00000066169	
ENSRNOG00000064641	
ENSRNOG00000033395	Olr473
ENSRNOG00000066660	
ENSRNOG00000070168	Olr56
ENSRNOG00000070901	Irgq
ENSRNOG00000064338	
ENSRNOG00000018029	Doc2g
ENSRNOG00000031391	Ceacam16
ENSRNOG00000055342	U7
ENSRNOG00000068698	
ENSRNOG00000064173	
ENSRNOG00000067904	SNORD115
ENSRNOG00000063979	U4
ENSRNOG00000064851	
ENSRNOG00000067593	
ENSRNOG00000063562	
ENSRNOG00000050129	AABR07000137.1
ENSRNOG00000056886	Mir291b
ENSRNOG00000029996	AABR07054368.1
ENSRNOG00000032625	AC118165.1
ENSRNOG00000029315	AC099294.1
ENSRNOG00000016356	Got1
ENSRNOG00000028288	Clrn3
ENSRNOG00000062643	Olr760
ENSRNOG00000015810	Trip13
ENSRNOG00000013596	Dimt1
ENSRNOG00000022863	Lingo4
ENSRNOG00000017538	Lrrc27
ENSRNOG00000009377	Nelfb
ENSRNOG00000069093	
ENSRNOG00000010349	Ghrl
ENSRNOG00000027204	Map6
ENSRNOG00000058651	AABR07004871.1
ENSRNOG00000070886	
ENSRNOG00000056005	U7
ENSRNOG00000069847	
ENSRNOG00000035453	Mir3596c
ENSRNOG00000063396	SNORD115
ENSRNOG00000062736	
ENSRNOG00000015499	Serinc4
ENSRNOG00000065199	Hoxa10
ENSRNOG00000068709	
ENSRNOG00000069410	Olr218
ENSRNOG00000014903	Zfyve27
ENSRNOG00000055477	U1
ENSRNOG00000066157	
ENSRNOG00000069518	
ENSRNOG00000059537	U4
ENSRNOG00000070280	
ENSRNOG00000064304	Olr361
ENSRNOG00000035530	Mir192
ENSRNOG00000021051	Cyth2
ENSRNOG00000069804	SNORD116
ENSRNOG00000055569	SNORD15
ENSRNOG00000011160	Sv2b
ENSRNOG00000063599	
ENSRNOG00000017748	Nkx6-2
ENSRNOG00000067237	
ENSRNOG00000065307	
ENSRNOG00000062707	
ENSRNOG00000016227	Glrx3
ENSRNOG00000070826	U6
ENSRNOG00000013395	Pglyrp1
ENSRNOG00000004753	Napb
ENSRNOG00000016906	Lipt2
ENSRNOG00000066860	
ENSRNOG00000069365	
ENSRNOG00000020317	Rab5if
ENSRNOG00000062499	SNORD116
ENSRNOG00000015691	Inka2
ENSRNOG00000067382	
ENSRNOG00000067821	
