Gene stable ID	Gene name
ENSPTRG00000042638	
ENSPTRG00000042646	
ENSPTRG00000042654	
ENSPTRG00000042645	
ENSPTRG00000042644	
ENSPTRG00000042641	MT-ND1
ENSPTRG00000042627	
ENSPTRG00000042647	
ENSPTRG00000042652	
ENSPTRG00000042626	MT-ND2
ENSPTRG00000042656	
ENSPTRG00000042642	MT-TA
ENSPTRG00000042648	
ENSPTRG00000042629	
ENSPTRG00000042655	
ENSPTRG00000042657	MT-CO1
ENSPTRG00000042634	
ENSPTRG00000042636	
ENSPTRG00000042660	MT-CO2
ENSPTRG00000042633	
ENSPTRG00000042653	MT-ATP8
ENSPTRG00000042650	MT-ATP6
ENSPTRG00000042661	MT-CO3
ENSPTRG00000042643	
ENSPTRG00000042628	MT-ND3
ENSPTRG00000042659	
ENSPTRG00000042631	MT-ND4L
ENSPTRG00000042639	MT-ND4
ENSPTRG00000042635	
ENSPTRG00000042649	
ENSPTRG00000042632	
ENSPTRG00000042651	MT-ND5
ENSPTRG00000042630	MT-ND6
ENSPTRG00000042625	MT-TE
ENSPTRG00000042637	MT-CYB
ENSPTRG00000042658	
ENSPTRG00000042640	
ENSPTRG00000047976	
ENSPTRG00000013652	FAM209B
ENSPTRG00000020443	SDC2
ENSPTRG00000044534	
ENSPTRG00000045991	C8H8orf89
ENSPTRG00000004551	FGF23
ENSPTRG00000050844	
ENSPTRG00000049297	
ENSPTRG00000002780	CYP2C9
ENSPTRG00000006251	SPTSSA
ENSPTRG00000017084	ARSK
ENSPTRG00000043514	
ENSPTRG00000023303	ZNF789
ENSPTRG00000017391	ADRB2
ENSPTRG00000047027	
ENSPTRG00000042775	
ENSPTRG00000008173	MMP15
ENSPTRG00000040239	
ENSPTRG00000049109	
ENSPTRG00000012937	CFAP65
ENSPTRG00000046839	
ENSPTRG00000048397	
ENSPTRG00000040083	
ENSPTRG00000010515	ZNF700
ENSPTRG00000019020	HOXA11
ENSPTRG00000052463	
ENSPTRG00000002298	OPTN
ENSPTRG00000035209	MIR548N
ENSPTRG00000007985	TBX6
ENSPTRG00000009828	METTL4
ENSPTRG00000009989	EPG5
ENSPTRG00000052620	
ENSPTRG00000026914	5S_rRNA
ENSPTRG00000042737	
ENSPTRG00000002374	PDSS1
ENSPTRG00000052035	
ENSPTRG00000008604	ZMYND15
ENSPTRG00000048304	
ENSPTRG00000035679	7SK
ENSPTRG00000013170	
ENSPTRG00000037971	U7
ENSPTRG00000045998	
ENSPTRG00000044249	
ENSPTRG00000045856	
ENSPTRG00000010264	FZR1
ENSPTRG00000027894	ptr-mir-601
ENSPTRG00000045184	
ENSPTRG00000018709	PLEKHG1
ENSPTRG00000040303	Metazoa_SRP
ENSPTRG00000013942	TMPRSS3
ENSPTRG00000008744	NDEL1
ENSPTRG00000000799	HOOK1
ENSPTRG00000005568	HPD
ENSPTRG00000008871	SLC47A1
ENSPTRG00000052875	
ENSPTRG00000045085	
ENSPTRG00000052256	
ENSPTRG00000045014	Metazoa_SRP
ENSPTRG00000037983	U7
ENSPTRG00000045906	5S_rRNA
ENSPTRG00000034800	RNU6ATAC19P
ENSPTRG00000025245	7SK
ENSPTRG00000043178	MIR4276
ENSPTRG00000020607	ZFAT
ENSPTRG00000043221	
