Gene stable ID	Gene name
ENSGALG00000041922	
ENSGALG00000036956	
ENSGALG00000032059	
ENSGALG00000043598	
ENSGALG00000040296	
ENSGALG00000042750	ND1
ENSGALG00000035975	
ENSGALG00000029193	
ENSGALG00000038760	
ENSGALG00000043768	MT-ND2
ENSGALG00000035685	
ENSGALG00000035392	
ENSGALG00000033139	
ENSGALG00000034813	
ENSGALG00000037641	
ENSGALG00000032142	MT-CO1
ENSGALG00000033462	
ENSGALG00000031197	
ENSGALG00000032456	COII
ENSGALG00000038283	
ENSGALG00000032465	ATP8
ENSGALG00000041091	ATP6
ENSGALG00000035334	COX3
ENSGALG00000038243	
ENSGALG00000030436	ND3
ENSGALG00000037369	
ENSGALG00000042478	ND4L
ENSGALG00000036229	ND4
ENSGALG00000042903	
ENSGALG00000034022	
ENSGALG00000036970	
ENSGALG00000029500	ND5
ENSGALG00000032079	CYTB
ENSGALG00000032370	
ENSGALG00000042677	
ENSGALG00000037838	ND6
ENSGALG00000039249	
ENSGALG00000048947	
ENSGALG00000051701	
ENSGALG00000047330	
ENSGALG00000051699	
ENSGALG00000051400	
ENSGALG00000051410	
ENSGALG00000047969	
ENSGALG00000052082	
ENSGALG00000049220	
ENSGALG00000009692	SH3RF1
ENSGALG00000048477	
ENSGALG00000042494	
ENSGALG00000051910	
ENSGALG00000004571	PPP1CC
ENSGALG00000009966	FRS2
ENSGALG00000034000	
ENSGALG00000049806	
ENSGALG00000035332	
ENSGALG00000051966	
ENSGALG00000050290	
ENSGALG00000050437	
ENSGALG00000051571	
ENSGALG00000048690	
ENSGALG00000053759	
ENSGALG00000050778	
ENSGALG00000034421	SENP1
ENSGALG00000036738	IGSF3
ENSGALG00000052160	
ENSGALG00000047186	
ENSGALG00000050423	
ENSGALG00000047541	
ENSGALG00000053138	
ENSGALG00000034587	
ENSGALG00000049387	
ENSGALG00000038763	
ENSGALG00000048970	
ENSGALG00000050236	
ENSGALG00000053022	
ENSGALG00000046901	
ENSGALG00000047803	
ENSGALG00000050247	
ENSGALG00000053011	
ENSGALG00000050032	
ENSGALG00000048793	
ENSGALG00000051108	
ENSGALG00000052817	
ENSGALG00000048835	
ENSGALG00000050227	
ENSGALG00000054728	
ENSGALG00000047655	
ENSGALG00000052085	
ENSGALG00000049277	
ENSGALG00000042128	
ENSGALG00000054409	
ENSGALG00000050839	
ENSGALG00000035624	
ENSGALG00000028471	CNPY3
ENSGALG00000020921	
ENSGALG00000039356	HEPACAM
ENSGALG00000052483	
ENSGALG00000046322	
ENSGALG00000053940	
ENSGALG00000035908	
ENSGALG00000030592	
ENSGALG00000051963	
ENSGALG00000049630	
ENSGALG00000055062	
ENSGALG00000049135	
ENSGALG00000046919	
ENSGALG00000001103	PSMB7
ENSGALG00000041746	ZMAT2
ENSGALG00000048542	
ENSGALG00000054325	
ENSGALG00000045045	
ENSGALG00000050891	
ENSGALG00000049338	
ENSGALG00000052409	
ENSGALG00000036226	
ENSGALG00000049410	
ENSGALG00000052618	
ENSGALG00000047714	
ENSGALG00000048052	
ENSGALG00000041794	
ENSGALG00000051762	
